dataset,generator,config,config_name,n_real,n_fake,auc,ap
comgenvid,Sora,reference_8fps_2s,reference_8fps_2s,898,898,0.8433638722030148,0.8515571118427068
comgenvid,VEO3,reference_8fps_2s,reference_8fps_2s,898,898,0.8907371491212841,0.8924713918822123
comgenvid,Sora,uniform_4fps_2s,uniform_4fps_2s,898,898,0.8264424531624348,0.8408557671785324
comgenvid,VEO3,uniform_4fps_2s,uniform_4fps_2s,898,898,0.8688250554312726,0.8785071050589168
comgenvid,Sora,central_8fps_1s,central_8fps_1s,898,898,0.8453386887961865,0.8545270522941396
comgenvid,VEO3,central_8fps_1s,central_8fps_1s,898,898,0.885553643087088,0.889623003705041
comgenvid,Sora,frame_drop_one,frame_drop_one,898,898,0.8405985089359677,0.8501587074571274
comgenvid,VEO3,frame_drop_one,frame_drop_one,898,898,0.8875117186918716,0.8900070303932797
comgenvid,Sora,frame_duplicate_two,frame_duplicate_two,898,898,0.8417034141695726,0.8479028012219982
comgenvid,VEO3,frame_duplicate_two,frame_duplicate_two,898,898,0.8969176740194741,0.8987120726488904
comgenvid,Sora,remove_exact_duplicates,remove_exact_duplicates,898,898,0.8433663523494427,0.8515637813504651
comgenvid,VEO3,remove_exact_duplicates,remove_exact_duplicates,898,898,0.8907371491212841,0.8924713918822123
videofeedback,AnimateDiff,reference_8fps_2s,reference_8fps_2s,300,300,0.7725111111111111,0.8128449765705487
videofeedback,Fast-SVD,reference_8fps_2s,reference_8fps_2s,300,300,0.8922,0.8979213000643707
videofeedback,LVDM,reference_8fps_2s,reference_8fps_2s,300,300,0.7295222222222222,0.8092824465047961
videofeedback,LaVie-base,reference_8fps_2s,reference_8fps_2s,300,300,0.7306888888888889,0.7634369620633329
videofeedback,ModelScope,reference_8fps_2s,reference_8fps_2s,300,300,0.7246888888888889,0.770020985488009
videofeedback,Pika,reference_8fps_2s,reference_8fps_2s,300,300,0.9201666666666666,0.9240254222402322
videofeedback,SoRA-Clip,reference_8fps_2s,reference_8fps_2s,300,300,0.7413333333333334,0.7561794216566268
videofeedback,Text2Video-Zero,reference_8fps_2s,reference_8fps_2s,300,300,0.5405222222222222,0.6419494505153196
videofeedback,VideoCrafter2,reference_8fps_2s,reference_8fps_2s,300,300,0.893288888888889,0.9083899992626538
videofeedback,ZeroScope-576w,reference_8fps_2s,reference_8fps_2s,300,300,0.5923,0.6901691751343693
videofeedback,AnimateDiff,uniform_4fps_2s,uniform_4fps_2s,300,300,0.8650666666666667,0.8794076033133067
videofeedback,Fast-SVD,uniform_4fps_2s,uniform_4fps_2s,300,300,0.8921000000000001,0.8970505741756276
videofeedback,LVDM,uniform_4fps_2s,uniform_4fps_2s,300,300,0.7428666666666668,0.8121211669453078
videofeedback,LaVie-base,uniform_4fps_2s,uniform_4fps_2s,300,300,0.7637333333333334,0.7850276769233866
videofeedback,ModelScope,uniform_4fps_2s,uniform_4fps_2s,300,300,0.723888888888889,0.7614787002687928
videofeedback,Pika,uniform_4fps_2s,uniform_4fps_2s,300,300,0.9148333333333334,0.916782938372436
videofeedback,SoRA-Clip,uniform_4fps_2s,uniform_4fps_2s,300,300,0.8028,0.8013588982630285
videofeedback,Text2Video-Zero,uniform_4fps_2s,uniform_4fps_2s,300,300,0.7358333333333333,0.7622904846579106
videofeedback,VideoCrafter2,uniform_4fps_2s,uniform_4fps_2s,300,300,0.84645,0.8769079724278095
videofeedback,ZeroScope-576w,uniform_4fps_2s,uniform_4fps_2s,300,300,0.6064,0.6914119900739337
videofeedback,AnimateDiff,central_8fps_1s,central_8fps_1s,300,300,0.6660444444444444,0.7541516290918937
videofeedback,Fast-SVD,central_8fps_1s,central_8fps_1s,300,300,0.8616666666666666,0.8723017678174355
videofeedback,LVDM,central_8fps_1s,central_8fps_1s,300,300,0.7042722222222222,0.7947801879593434
videofeedback,LaVie-base,central_8fps_1s,central_8fps_1s,300,300,0.7598,0.788545576982463
videofeedback,ModelScope,central_8fps_1s,central_8fps_1s,300,300,0.7066222222222223,0.7579699441209122
videofeedback,Pika,central_8fps_1s,central_8fps_1s,300,300,0.8979111111111111,0.9033466359381516
videofeedback,SoRA-Clip,central_8fps_1s,central_8fps_1s,300,300,0.8016888888888889,0.8032531759829309
videofeedback,Text2Video-Zero,central_8fps_1s,central_8fps_1s,300,300,0.6097111111111111,0.6884653998348872
videofeedback,VideoCrafter2,central_8fps_1s,central_8fps_1s,300,300,0.9200666666666666,0.9234297047372579
videofeedback,ZeroScope-576w,central_8fps_1s,central_8fps_1s,300,300,0.6119666666666667,0.7056195185475995
videofeedback,AnimateDiff,frame_drop_one,frame_drop_one,300,300,0.7923222222222223,0.8258069802726448
videofeedback,Fast-SVD,frame_drop_one,frame_drop_one,300,300,0.8909555555555556,0.8984932931165446
videofeedback,LVDM,frame_drop_one,frame_drop_one,300,300,0.7354777777777778,0.8135738376808854
videofeedback,LaVie-base,frame_drop_one,frame_drop_one,300,300,0.7350555555555556,0.7669310960498138
videofeedback,ModelScope,frame_drop_one,frame_drop_one,300,300,0.7280111111111112,0.7711947444436248
videofeedback,Pika,frame_drop_one,frame_drop_one,300,300,0.9173444444444444,0.9225935635877341
videofeedback,SoRA-Clip,frame_drop_one,frame_drop_one,300,300,0.7379333333333333,0.7545784286159376
videofeedback,Text2Video-Zero,frame_drop_one,frame_drop_one,300,300,0.5452055555555556,0.6442469501331936
videofeedback,VideoCrafter2,frame_drop_one,frame_drop_one,300,300,0.8936666666666666,0.9088856239571155
videofeedback,ZeroScope-576w,frame_drop_one,frame_drop_one,300,300,0.5965777777777779,0.6923489011951738
videofeedback,AnimateDiff,frame_duplicate_two,frame_duplicate_two,300,300,0.8372222222222222,0.850956346983098
videofeedback,Fast-SVD,frame_duplicate_two,frame_duplicate_two,300,300,0.9100444444444443,0.9097308422367745
videofeedback,LVDM,frame_duplicate_two,frame_duplicate_two,300,300,0.6879777777777778,0.7808074263719907
videofeedback,LaVie-base,frame_duplicate_two,frame_duplicate_two,300,300,0.7568999999999999,0.7793493223712239
videofeedback,ModelScope,frame_duplicate_two,frame_duplicate_two,300,300,0.6982555555555556,0.7412673926999913
videofeedback,Pika,frame_duplicate_two,frame_duplicate_two,300,300,0.9259222222222223,0.9284820401311266
videofeedback,SoRA-Clip,frame_duplicate_two,frame_duplicate_two,300,300,0.7749222222222223,0.7744608891344488
videofeedback,Text2Video-Zero,frame_duplicate_two,frame_duplicate_two,300,300,0.5521333333333334,0.6447988298666735
videofeedback,VideoCrafter2,frame_duplicate_two,frame_duplicate_two,300,300,0.9411222222222222,0.942525144003753
videofeedback,ZeroScope-576w,frame_duplicate_two,frame_duplicate_two,300,300,0.6079666666666668,0.6908582366178626
videofeedback,AnimateDiff,remove_exact_duplicates,remove_exact_duplicates,300,300,0.7731222222222223,0.8134116378306088
videofeedback,Fast-SVD,remove_exact_duplicates,remove_exact_duplicates,300,300,0.8921888888888888,0.8979600501767574
videofeedback,LVDM,remove_exact_duplicates,remove_exact_duplicates,300,300,0.7291000000000001,0.8088946296889783
videofeedback,LaVie-base,remove_exact_duplicates,remove_exact_duplicates,300,300,0.7307666666666668,0.7636287787099456
videofeedback,ModelScope,remove_exact_duplicates,remove_exact_duplicates,300,300,0.7244999999999999,0.769814872901347
videofeedback,Pika,remove_exact_duplicates,remove_exact_duplicates,300,300,0.9202,0.9240780535431803
videofeedback,SoRA-Clip,remove_exact_duplicates,remove_exact_duplicates,300,300,0.7414666666666666,0.7563527580351757
videofeedback,Text2Video-Zero,remove_exact_duplicates,remove_exact_duplicates,300,300,0.5440111111111111,0.6429168677104167
videofeedback,VideoCrafter2,remove_exact_duplicates,remove_exact_duplicates,300,300,0.8934222222222223,0.9083827691660431
videofeedback,ZeroScope-576w,remove_exact_duplicates,remove_exact_duplicates,300,300,0.5917555555555556,0.6897944491196735
genvideo,Crafter,reference_8fps_2s,reference_8fps_2s,188,188,0.83541760977818,0.8334237667919273
genvideo,Gen2,reference_8fps_2s,reference_8fps_2s,1380,1380,0.9378720331863053,0.9475971981056369
genvideo,Lavie,reference_8fps_2s,reference_8fps_2s,1400,1400,0.818086224489796,0.8336866888254642
genvideo,ModelScope,reference_8fps_2s,reference_8fps_2s,700,700,0.7570591836734695,0.7900464666636879
genvideo,MorphStudio,reference_8fps_2s,reference_8fps_2s,700,700,0.7983448979591836,0.8275199238173744
genvideo,Show_1,reference_8fps_2s,reference_8fps_2s,700,700,0.8304795918367347,0.8309413430142636
genvideo,Sora,reference_8fps_2s,reference_8fps_2s,56,56,0.8376913265306122,0.8585563194325578
genvideo,WildScrape,reference_8fps_2s,reference_8fps_2s,515,515,0.7367103402771231,0.6999754048346272
genvideo,Crafter,uniform_4fps_2s,uniform_4fps_2s,188,188,0.8242700316885467,0.8245153928641282
genvideo,Gen2,uniform_4fps_2s,uniform_4fps_2s,1380,1380,0.9253187355597563,0.9377769674795223
genvideo,Lavie,uniform_4fps_2s,uniform_4fps_2s,1400,1400,0.824045918367347,0.8365068560907627
genvideo,ModelScope,uniform_4fps_2s,uniform_4fps_2s,700,700,0.7608755102040816,0.7924282662003581
genvideo,MorphStudio,uniform_4fps_2s,uniform_4fps_2s,700,700,0.7975285714285714,0.8283197640067073
genvideo,Show_1,uniform_4fps_2s,uniform_4fps_2s,700,700,0.8371979591836735,0.8386283941327256
genvideo,Sora,uniform_4fps_2s,uniform_4fps_2s,56,56,0.8396045918367346,0.8510833589017779
genvideo,WildScrape,uniform_4fps_2s,uniform_4fps_2s,515,515,0.7375624469789802,0.7068700124888001
genvideo,Crafter,central_8fps_1s,central_8fps_1s,188,188,0.8069262109551832,0.8048846162827058
genvideo,Gen2,central_8fps_1s,central_8fps_1s,1380,1380,0.9211195127074143,0.9337533672832504
genvideo,Lavie,central_8fps_1s,central_8fps_1s,1400,1400,0.8005515306122448,0.817152772023344
genvideo,ModelScope,central_8fps_1s,central_8fps_1s,700,700,0.7308591836734695,0.7685380392868284
genvideo,MorphStudio,central_8fps_1s,central_8fps_1s,700,700,0.7662326530612245,0.8022185440127756
genvideo,Show_1,central_8fps_1s,central_8fps_1s,700,700,0.8020683673469388,0.80816233642371
genvideo,Sora,central_8fps_1s,central_8fps_1s,56,56,0.822704081632653,0.8476381247249504
genvideo,WildScrape,central_8fps_1s,central_8fps_1s,515,515,0.7123272692996512,0.6818266477297033
genvideo,Crafter,frame_drop_one,frame_drop_one,188,188,0.8314848347668627,0.8302864070303264
genvideo,Gen2,frame_drop_one,frame_drop_one,1380,1380,0.9326149968494013,0.9440740697694233
genvideo,Lavie,frame_drop_one,frame_drop_one,1400,1400,0.8174061224489796,0.8330686734819512
genvideo,ModelScope,frame_drop_one,frame_drop_one,700,700,0.7544183673469388,0.7880923194067136
genvideo,MorphStudio,frame_drop_one,frame_drop_one,700,700,0.7968102040816327,0.8262153988929934
genvideo,Show_1,frame_drop_one,frame_drop_one,700,700,0.8305183673469387,0.8302898262308487
genvideo,Sora,frame_drop_one,frame_drop_one,56,56,0.8351403061224489,0.8582207863232508
genvideo,WildScrape,frame_drop_one,frame_drop_one,515,515,0.7359675747007257,0.6996459457307243
genvideo,Crafter,frame_duplicate_two,frame_duplicate_two,188,188,0.8177342688999547,0.8096661926630069
genvideo,Gen2,frame_duplicate_two,frame_duplicate_two,1380,1380,0.9311730728838479,0.9445728889787227
genvideo,Lavie,frame_duplicate_two,frame_duplicate_two,1400,1400,0.8106698979591838,0.8237935875629958
genvideo,ModelScope,frame_duplicate_two,frame_duplicate_two,700,700,0.7255183673469388,0.7662395309251362
genvideo,MorphStudio,frame_duplicate_two,frame_duplicate_two,700,700,0.7794877551020407,0.8082258542226517
genvideo,Show_1,frame_duplicate_two,frame_duplicate_two,700,700,0.8147020408163266,0.8157821001704053
genvideo,Sora,frame_duplicate_two,frame_duplicate_two,56,56,0.8080357142857143,0.8373566016362854
genvideo,WildScrape,frame_duplicate_two,frame_duplicate_two,515,515,0.7201244226600056,0.6898899084079129
genvideo,Crafter,remove_exact_duplicates,remove_exact_duplicates,188,188,0.8466783612494342,0.8250395546169467
genvideo,Gen2,remove_exact_duplicates,remove_exact_duplicates,1380,1380,0.937763074984247,0.9457882369852812
genvideo,Lavie,remove_exact_duplicates,remove_exact_duplicates,1400,1400,0.810380612244898,0.8252390332241499
genvideo,ModelScope,remove_exact_duplicates,remove_exact_duplicates,700,700,0.7578918367346938,0.7833914831432154
genvideo,MorphStudio,remove_exact_duplicates,remove_exact_duplicates,700,700,0.8007897959183674,0.8227541010382311
genvideo,Show_1,remove_exact_duplicates,remove_exact_duplicates,700,700,0.8364061224489796,0.8295255959619252
genvideo,Sora,remove_exact_duplicates,remove_exact_duplicates,56,56,0.8510841836734694,0.8502687400143906
genvideo,WildScrape,remove_exact_duplicates,remove_exact_duplicates,515,515,0.740303515882741,0.6935512498053534
