dataset,motion_group,n_real,n_fake,auc,ap
comgenvid,0,261,2172,0.8628433634625291,0.5665779459533234
comgenvid,1,250,778,0.7917789203084833,0.6354471440274659
comgenvid,2,208,293,0.7609608821212916,0.7218088107531215
comgenvid,3,179,157,0.7858235775539978,0.8365544601556787
genvideo,0,1805,2656,0.82085123735941,0.7950511596179931
genvideo,1,2070,1407,0.8386112913692407,0.8876365804330795
genvideo,2,2192,890,0.8167939596489789,0.9099865705796347
genvideo,3,1917,686,0.7985197656080094,0.9035979782799403
videofeedback,0,124,1337,0.7941889642193645,0.4424380375139585
videofeedback,1,131,473,0.6756935590594387,0.48567315807784317
videofeedback,2,94,360,0.7426122931442081,0.6154106824781824
videofeedback,3,151,830,0.7425676214792946,0.5172508712124092
