dataset,subset,source_model,filename,condition,n_frames,d3_raw,motion_raw,max_step_distance,d3_one_sided,d3_two_sided,motion_group,scene_cut_proxy
comgenvid,annotated,Sora,-ahmed-_776843120%2Fmd.mp4,reference_8fps_2s,16,0.46179112792015076,3.3605339527130127,4.164999485015869,0.03,0.06,1,False
comgenvid,annotated,Sora,0065464654_4804233%2Fmd.mp4,reference_8fps_2s,16,0.7307395935058594,2.0354223251342773,3.0796823501586914,0.19,0.38,0,False
comgenvid,annotated,Sora,050221_138598904%2Fmd.mp4,reference_8fps_2s,16,3.40952730178833,3.9651520252227783,12.446407318115234,0.845,0.31000000000000005,1,False
comgenvid,annotated,Sora,09045_552603156%2Fmd.mp4,reference_8fps_2s,16,0.7384535670280457,2.6310696601867676,3.984804153442383,0.195,0.39,0,False
comgenvid,annotated,Sora,111111111111_421748285%2Fmd.mp4,reference_8fps_2s,16,0.8752754926681519,2.2179863452911377,3.6682698726654053,0.285,0.57,0,False
comgenvid,annotated,Sora,1121231231231231_643574533%2Fmd.mp4,reference_8fps_2s,16,0.6198839545249939,2.0790719985961914,3.4238150119781494,0.115,0.23,0,False
comgenvid,annotated,Sora,12345-90086_161537791%2Fmd.mp4,reference_8fps_2s,16,1.1041368246078491,3.8683149814605713,6.569055080413818,0.445,0.89,1,False
comgenvid,annotated,Sora,12348822_520388045%2Fmd.mp4,reference_8fps_2s,16,0.4336538016796112,1.8618494272232056,2.366795301437378,0.025,0.05,0,False
comgenvid,annotated,Sora,1235311_468903194%2Fmd.mp4,reference_8fps_2s,16,0.4907892942428589,2.0900070667266846,3.072557210922241,0.04,0.08,0,False
comgenvid,annotated,Sora,1554545_990274538%2Fmd.mp4,reference_8fps_2s,16,0.2075917273759842,0.4061310887336731,0.7155370712280273,0.0,0.0,0,False
comgenvid,annotated,Sora,1656511_927926754%2Fmd.mp4,reference_8fps_2s,16,0.6669703722000122,2.0905604362487793,2.744779586791992,0.15,0.3,0,False
comgenvid,annotated,Sora,1tree2_75260605%2Fmd.mp4,reference_8fps_2s,16,0.9655716419219971,3.413602352142334,5.67038631439209,0.345,0.69,1,False
comgenvid,annotated,Sora,2111132_923581868%2Fmd.mp4,reference_8fps_2s,16,0.5959368348121643,1.8523852825164795,3.2186172008514404,0.095,0.19,0,False
comgenvid,annotated,Sora,22225591_159614590%2Fmd.mp4,reference_8fps_2s,16,1.0170027017593384,2.8188204765319824,5.914341926574707,0.405,0.81,0,False
comgenvid,annotated,Sora,22322777_980901699%2Fmd.mp4,reference_8fps_2s,16,0.45720720291137695,2.167950391769409,3.273747444152832,0.03,0.06,0,False
comgenvid,annotated,Sora,23234111213123123123_474219769%2Fmd.mp4,reference_8fps_2s,16,0.9964062571525574,4.613090515136719,9.32291316986084,0.375,0.75,2,False
comgenvid,annotated,Sora,23446k_310435470%2Fmd.mp4,reference_8fps_2s,16,0.6338368058204651,3.9818434715270996,5.320994853973389,0.13,0.26,1,False
comgenvid,annotated,Sora,247axel_879229487%2Fmd.mp4,reference_8fps_2s,16,0.7997645139694214,2.8266913890838623,4.2360053062438965,0.22,0.44,0,False
comgenvid,annotated,Sora,2592108_968226828%2Fmd.mp4,reference_8fps_2s,16,0.6061602830886841,2.8073720932006836,4.032083034515381,0.105,0.21,0,False
comgenvid,annotated,Sora,2kota_345048458%2Fmd.mp4,reference_8fps_2s,16,0.4415954053401947,3.3118536472320557,4.173100471496582,0.025,0.05,1,False
comgenvid,annotated,Sora,2mas_968402667%2Fmd.mp4,reference_8fps_2s,16,1.2215253114700317,5.505216121673584,7.0161237716674805,0.5,1.0,2,False
comgenvid,annotated,Sora,331212222122_15392619%2Fmd.mp4,reference_8fps_2s,16,0.3193596601486206,1.0848861932754517,1.668562650680542,0.015,0.03,0,False
comgenvid,annotated,Sora,35h_783477259%2Fmd.mp4,reference_8fps_2s,16,1.1849910020828247,4.9437150955200195,7.3936920166015625,0.495,0.99,2,False
comgenvid,annotated,Sora,360video_921703662%2Fmd.mp4,reference_8fps_2s,16,0.4079118072986603,1.292665719985962,1.8044614791870117,0.02,0.04,0,False
comgenvid,annotated,Sora,3769_109597890%2Fmd.mp4,reference_8fps_2s,16,0.33257341384887695,3.152991533279419,3.7694084644317627,0.015,0.03,0,False
comgenvid,annotated,Sora,3dq_200412742%2Fmd.mp4,reference_8fps_2s,16,0.23135045170783997,1.7249661684036255,2.1141130924224854,0.0,0.0,0,False
comgenvid,annotated,Sora,40-_747442607%2Fmd.mp4,reference_8fps_2s,16,0.8169308304786682,3.7304279804229736,5.263945579528809,0.235,0.47,1,False
comgenvid,annotated,Sora,444enki_753218487%2Fmd.mp4,reference_8fps_2s,16,0.2336394041776657,0.9934263825416565,1.2304426431655884,0.0,0.0,0,False
comgenvid,annotated,Sora,454555555555555555555555_393753335%2Fmd.mp4,reference_8fps_2s,16,0.34114503860473633,1.6903541088104248,2.428420066833496,0.015,0.03,0,False
comgenvid,annotated,Sora,54888787787_225275064%2Fmd.mp4,reference_8fps_2s,16,4.405782699584961,8.601283073425293,16.984086990356445,0.895,0.20999999999999996,3,False
comgenvid,annotated,Sora,5ej_26436982%2Fmd.mp4,reference_8fps_2s,16,0.6307182312011719,3.247734308242798,4.244838714599609,0.13,0.26,1,False
comgenvid,annotated,Sora,624329_926004613%2Fmd.mp4,reference_8fps_2s,16,1.1666299104690552,4.737665176391602,6.63599967956543,0.47,0.94,2,False
comgenvid,annotated,Sora,7adi1_961703618%2Fmd.mp4,reference_8fps_2s,16,0.19697220623493195,0.8659061789512634,1.328596830368042,0.0,0.0,0,False
comgenvid,annotated,Sora,7negiashish_371783258%2Fmd.mp4,reference_8fps_2s,16,0.43877020478248596,1.659813404083252,2.3153417110443115,0.025,0.05,0,False
comgenvid,annotated,Sora,8---d7652_28389355%2Fmd.mp4,reference_8fps_2s,16,1.5251861810684204,4.338151931762695,9.536344528198242,0.66,0.6799999999999999,2,False
comgenvid,annotated,Sora,951963_106836580%2Fmd.mp4,reference_8fps_2s,16,1.0824899673461914,2.6671524047851562,5.235641956329346,0.44,0.88,0,False
comgenvid,annotated,Sora,95trevorthompson_watermarked.mp4,reference_8fps_2s,16,0.30748501420021057,1.8806531429290771,2.5836517810821533,0.015,0.03,0,False
comgenvid,annotated,Sora,_dri__121308411%2Fmd.mp4,reference_8fps_2s,16,0.617566704750061,2.1493284702301025,3.294492721557617,0.105,0.21,0,False
comgenvid,annotated,Sora,_horse_619318200%2Fmd.mp4,reference_8fps_2s,16,0.36694347858428955,2.270294666290283,2.6693191528320312,0.015,0.03,0,False
comgenvid,annotated,Sora,_kx_283277740%2Fmd.mp4,reference_8fps_2s,16,1.0008584260940552,5.346039295196533,7.624802589416504,0.38,0.76,2,False
comgenvid,annotated,Sora,aaabnnon_466467197%2Fmd.mp4,reference_8fps_2s,16,0.32548823952674866,0.7821532487869263,1.499645471572876,0.015,0.03,0,False
comgenvid,annotated,Sora,aadeseveruz_88242328%2Fmd.mp4,reference_8fps_2s,16,0.6573868989944458,2.998897075653076,4.489433288574219,0.15,0.3,0,False
comgenvid,annotated,Sora,aaroneboyce_443104867%2Fmd.mp4,reference_8fps_2s,16,0.3173421323299408,2.0655555725097656,2.8141705989837646,0.015,0.03,0,False
comgenvid,annotated,Sora,aarya121212_594284790%2Fmd.mp4,reference_8fps_2s,16,1.0108513832092285,3.990032911300659,5.928309917449951,0.39,0.78,1,False
comgenvid,annotated,Sora,abanuni_29343697%2Fmd.mp4,reference_8fps_2s,16,0.48843076825141907,3.507979393005371,4.235579967498779,0.04,0.08,1,False
comgenvid,annotated,Sora,abbasi303_277787488%2Fmd.mp4,reference_8fps_2s,16,1.2712489366531372,3.2040317058563232,6.677891731262207,0.525,0.95,1,False
comgenvid,annotated,Sora,abbasshahwan_871443816%2Fmd.mp4,reference_8fps_2s,16,1.1825834512710571,4.807362079620361,8.335875511169434,0.495,0.99,2,False
comgenvid,annotated,Sora,abcd-x_714432516%2Fmd.mp4,reference_8fps_2s,16,0.6042618155479431,1.6903846263885498,2.6372015476226807,0.105,0.21,0,False
comgenvid,annotated,Sora,abcdefghijfdsfsdfsf_302058589%2Fmd.mp4,reference_8fps_2s,16,0.9675410985946655,4.48479700088501,5.402431964874268,0.35,0.7,2,False
comgenvid,annotated,Sora,abcolp_973369478%2Fmd.mp4,reference_8fps_2s,16,0.6208080649375916,4.46810245513916,6.079554557800293,0.115,0.23,2,False
comgenvid,annotated,Sora,abddu_393690614%2Fmd.mp4,reference_8fps_2s,16,0.42929527163505554,1.8506462574005127,2.604398012161255,0.025,0.05,0,False
comgenvid,annotated,Sora,abdujaliliy_109159782%2Fmd.mp4,reference_8fps_2s,16,0.3266587257385254,1.0848815441131592,1.651182770729065,0.015,0.03,0,False
comgenvid,annotated,Sora,abdulrahmaruss_974098107%2Fmd.mp4,reference_8fps_2s,16,0.5389999747276306,2.599339723587036,3.7109384536743164,0.075,0.15,0,False
comgenvid,annotated,Sora,abdurrahmaneymenolu_706897355%2Fmd.mp4,reference_8fps_2s,16,0.4061451256275177,1.457541823387146,2.4790971279144287,0.02,0.04,0,False
comgenvid,annotated,Sora,abhilashdwarakish_136979546%2Fmd.mp4,reference_8fps_2s,16,0.8519869446754456,0.9192498326301575,2.719459056854248,0.255,0.51,0,False
comgenvid,annotated,Sora,abo1221_434152204%2Fmd.mp4,reference_8fps_2s,16,0.8666302561759949,4.010587215423584,5.378378868103027,0.275,0.55,1,False
comgenvid,annotated,Sora,abrahamgs_591406678%2Fmd.mp4,reference_8fps_2s,16,0.8609460592269897,4.426714897155762,5.439849376678467,0.265,0.53,2,False
comgenvid,annotated,Sora,acasssss_358588184%2Fmd.mp4,reference_8fps_2s,16,0.4521227777004242,3.014693260192871,4.054074764251709,0.03,0.06,0,False
comgenvid,annotated,Sora,accalmie_531835679%2Fmd.mp4,reference_8fps_2s,16,0.8175755143165588,1.8257418870925903,2.953688144683838,0.235,0.47,0,False
comgenvid,annotated,Sora,acfofangel_890043053%2Fmd.mp4,reference_8fps_2s,16,1.7256900072097778,5.68648099899292,9.464813232421875,0.685,0.6299999999999999,3,False
comgenvid,annotated,Sora,achigala_611943440%2Fmd.mp4,reference_8fps_2s,16,0.7368573546409607,4.441150188446045,5.952517032623291,0.195,0.39,2,False
comgenvid,annotated,Sora,adabaharat_376490481%2Fmd.mp4,reference_8fps_2s,16,1.0605616569519043,5.241187572479248,7.338266372680664,0.425,0.85,2,False
comgenvid,annotated,Sora,adafafffaf5455_136583813%2Fmd.mp4,reference_8fps_2s,16,1.8786988258361816,6.110313415527344,12.3444242477417,0.73,0.54,3,False
comgenvid,annotated,Sora,adarsh1431a_967753927%2Fmd.mp4,reference_8fps_2s,16,3.532904624938965,4.676089763641357,13.581549644470215,0.85,0.30000000000000004,2,False
comgenvid,annotated,Sora,adcollective_150185417%2Fmd.mp4,reference_8fps_2s,16,2.1350786685943604,7.3850202560424805,13.566787719726562,0.76,0.48,3,False
comgenvid,annotated,Sora,adil104_297888031%2Fmd.mp4,reference_8fps_2s,16,0.3599482476711273,3.1995949745178223,4.017326831817627,0.015,0.03,1,False
comgenvid,annotated,Sora,aditya992_151486281%2Fmd.mp4,reference_8fps_2s,16,0.8631669878959656,2.679971218109131,3.891664505004883,0.265,0.53,0,False
comgenvid,annotated,Sora,adityanayak23_431329179%2Fmd.mp4,reference_8fps_2s,16,0.6719337701797485,2.9493539333343506,4.923541069030762,0.15,0.3,0,False
comgenvid,annotated,Sora,adlgcxpm_635548396%2Fmd.mp4,reference_8fps_2s,16,0.4856858551502228,1.8847066164016724,2.419475555419922,0.035,0.07,0,False
comgenvid,annotated,Sora,adosphere01_656411819%2Fmd.mp4,reference_8fps_2s,16,0.48309561610221863,1.9771097898483276,2.5726370811462402,0.035,0.07,0,False
comgenvid,annotated,Sora,adryan91_80558088%2Fmd.mp4,reference_8fps_2s,16,1.1949342489242554,5.970605850219727,7.42359733581543,0.495,0.99,3,False
comgenvid,annotated,Sora,advivedi9_742747348%2Fmd.mp4,reference_8fps_2s,16,0.45970165729522705,1.7782806158065796,2.4078164100646973,0.03,0.06,0,False
comgenvid,annotated,Sora,aedtetg_210017708%2Fmd.mp4,reference_8fps_2s,16,0.45507410168647766,2.5231246948242188,3.1959500312805176,0.03,0.06,0,False
comgenvid,annotated,Sora,aerobott_375068661%2Fmd.mp4,reference_8fps_2s,16,0.7471093535423279,3.7309930324554443,5.035319805145264,0.195,0.39,1,False
comgenvid,annotated,Sora,afsinsahin_379807705%2Fmd.mp4,reference_8fps_2s,16,0.6661555767059326,2.8916351795196533,3.9359607696533203,0.15,0.3,0,False
comgenvid,annotated,Sora,afterburner739_499935257%2Fmd.mp4,reference_8fps_2s,16,1.0503110885620117,4.424497127532959,6.514373302459717,0.42,0.84,2,False
comgenvid,annotated,Sora,agpdd_759040193%2Fmd.mp4,reference_8fps_2s,16,1.4936388731002808,4.452993869781494,6.199197292327881,0.645,0.71,2,False
comgenvid,annotated,Sora,ahnsungmin_677028767%2Fmd.mp4,reference_8fps_2s,16,1.1264588832855225,3.4894983768463135,5.510987281799316,0.465,0.93,1,False
comgenvid,annotated,Sora,aidenchoi0929_115923825%2Fmd.mp4,reference_8fps_2s,16,0.7328401207923889,4.8053154945373535,6.324562072753906,0.195,0.39,2,False
comgenvid,annotated,Sora,aienjoyer42_97516890%2Fmd.mp4,reference_8fps_2s,16,1.4711881875991821,2.0691492557525635,5.059894561767578,0.64,0.72,0,False
comgenvid,annotated,Sora,aifirst_758361788%2Fmd.mp4,reference_8fps_2s,16,2.7382876873016357,3.91580867767334,10.181313514709473,0.805,0.3899999999999999,1,False
comgenvid,annotated,Sora,ailiver9787_847228081%2Fmd.mp4,reference_8fps_2s,16,1.3175450563430786,5.144902229309082,9.56267261505127,0.56,0.8799999999999999,2,False
comgenvid,annotated,Sora,aira1918_591101039%2Fmd.mp4,reference_8fps_2s,16,0.7971521019935608,2.849022150039673,4.213534832000732,0.215,0.43,0,False
comgenvid,annotated,Sora,aix_innovation_lab_655744264%2Fmd.mp4,reference_8fps_2s,16,1.135373830795288,4.07329797744751,5.903031826019287,0.465,0.93,1,False
comgenvid,annotated,Sora,ajaykr09_547123938%2Fmd.mp4,reference_8fps_2s,16,0.23131440579891205,0.3828392028808594,0.7483753561973572,0.0,0.0,0,False
comgenvid,annotated,Sora,ajilus_483238082%2Fmd.mp4,reference_8fps_2s,16,0.3556399345397949,0.930377721786499,1.484808087348938,0.015,0.03,0,False
comgenvid,annotated,Sora,ak1990_679900919%2Fmd.mp4,reference_8fps_2s,16,0.7393220067024231,2.3094723224639893,3.3490536212921143,0.195,0.39,0,False
comgenvid,annotated,Sora,akash_28072002_824906559%2Fmd.mp4,reference_8fps_2s,16,0.549299418926239,1.344749093055725,2.4547290802001953,0.075,0.15,0,False
comgenvid,annotated,Sora,akashb_468014520%2Fmd.mp4,reference_8fps_2s,16,3.5742695331573486,3.7333273887634277,12.885933876037598,0.865,0.27,1,False
comgenvid,annotated,Sora,akbarkareorg_452587540%2Fmd.mp4,reference_8fps_2s,16,0.6697449088096619,3.287799596786499,4.279824733734131,0.15,0.3,1,False
comgenvid,annotated,Sora,akihiro_n_525531899%2Fmd.mp4,reference_8fps_2s,16,0.980679988861084,3.1292340755462646,4.6099677085876465,0.36,0.72,0,False
comgenvid,annotated,Sora,akira12343_871344059%2Fmd.mp4,reference_8fps_2s,16,0.4935479164123535,2.0782902240753174,3.6286747455596924,0.045,0.09,0,False
comgenvid,annotated,Sora,akirakaweade_593876105%2Fmd.mp4,reference_8fps_2s,16,1.2669646739959717,4.220368385314941,7.371136665344238,0.525,0.95,1,False
comgenvid,annotated,Sora,akkarma_181967214%2Fmd.mp4,reference_8fps_2s,16,0.39031845331192017,1.9915813207626343,2.70754075050354,0.015,0.03,0,False
comgenvid,annotated,Sora,akshit-sarin_764972304%2Fmd.mp4,reference_8fps_2s,16,0.43285492062568665,1.8608964681625366,2.945591449737549,0.025,0.05,0,False
comgenvid,annotated,Sora,alan4649_199924089%2Fmd.mp4,reference_8fps_2s,16,2.298356533050537,4.973578929901123,9.674095153808594,0.785,0.42999999999999994,2,False
comgenvid,annotated,Sora,alanjack_489722798%2Fmd.mp4,reference_8fps_2s,16,0.8230713605880737,4.1235246658325195,5.765868663787842,0.24,0.48,1,False
comgenvid,annotated,Sora,alankam_988968402%2Fmd.mp4,reference_8fps_2s,16,1.8144235610961914,3.5258891582489014,6.88497257232666,0.715,0.5700000000000001,1,False
comgenvid,annotated,Sora,alanpaulpanassiti_287632183%2Fmd.mp4,reference_8fps_2s,16,1.7983753681182861,1.993859052658081,7.100633144378662,0.71,0.5800000000000001,0,False
comgenvid,annotated,Sora,albrchetti_153064388%2Fmd.mp4,reference_8fps_2s,16,0.42412713170051575,2.326915740966797,2.9887008666992188,0.025,0.05,0,False
comgenvid,annotated,Sora,aleks007_362820217%2Fmd.mp4,reference_8fps_2s,16,0.759114146232605,2.1432929039001465,3.5634000301361084,0.21,0.42,0,False
comgenvid,annotated,Sora,aleks8622_375234076%2Fmd.mp4,reference_8fps_2s,16,0.30795785784721375,2.821523904800415,3.1243410110473633,0.015,0.03,0,False
comgenvid,annotated,Sora,alexa90_19844171%2Fmd.mp4,reference_8fps_2s,16,0.7155595421791077,4.701942443847656,6.2331156730651855,0.175,0.35,2,False
comgenvid,annotated,Sora,alexabrazura_414697163%2Fmd.mp4,reference_8fps_2s,16,0.4230574667453766,1.2818694114685059,2.0708930492401123,0.025,0.05,0,False
comgenvid,annotated,Sora,alexkolarov94_780280004%2Fmd.mp4,reference_8fps_2s,16,0.5197843313217163,1.979169487953186,2.87673020362854,0.065,0.13,0,False
comgenvid,annotated,Sora,alexkuehndirector_506818934%2Fmd.mp4,reference_8fps_2s,16,0.4384957551956177,1.3628801107406616,2.1200056076049805,0.025,0.05,0,False
comgenvid,annotated,Sora,alfredo70_760449309%2Fmd.mp4,reference_8fps_2s,16,2.681957721710205,3.5003933906555176,9.116198539733887,0.805,0.3899999999999999,1,False
comgenvid,annotated,Sora,alienornc_693341583%2Fmd.mp4,reference_8fps_2s,16,2.397376537322998,3.5521981716156006,7.568227767944336,0.795,0.4099999999999999,1,False
comgenvid,annotated,Sora,alivecoaching_362499862%2Fmd.mp4,reference_8fps_2s,16,0.6315661668777466,1.935552954673767,3.2336976528167725,0.13,0.26,0,False
