dataset,config,config_name,n_generators,auc,ap
comgenvid,B0,Global spatial,2,0.8364241124796008,0.8647572705230226
comgenvid,B1,Global first-order temporal,2,0.823394353202613,0.8048301734911123
comgenvid,B2,Original STALL,2,0.8550469119696826,0.8606202676490113
comgenvid,B3,Raw D3 percentile,2,0.7421298753478406,0.7151769033389603
comgenvid,B4,STALL + raw D3,2,0.8279420116963706,0.8260121872347621
comgenvid,B5,Patch spatial,2,0.8285635983948492,0.8450522587332994
comgenvid,B6,Patch same-grid D2,2,0.9280831940317757,0.9298010187178793
comgenvid,B7,Current patch,2,0.9288365385092336,0.9314913557457127
comgenvid,B8,Current global + patch,2,0.9198739093556083,0.9230508814780509
genvideo,B0,Global spatial,8,0.7957675332978404,0.8064168874620586
genvideo,B1,Global first-order temporal,8,0.7655349397858072,0.7558083794480701
genvideo,B2,Original STALL,8,0.808539680156072,0.8036171003973996
genvideo,B3,Raw D3 percentile,8,0.721817519584403,0.7480240373772257
genvideo,B4,STALL + raw D3,8,0.7950202903843243,0.8160896621666529
genvideo,B5,Patch spatial,8,0.7651174270348047,0.7693856570036494
genvideo,B6,Patch same-grid D2,8,0.815666124130776,0.8048511806497882
genvideo,B7,Current patch,8,0.8177938110731681,0.8102998946991223
genvideo,B8,Current global + patch,8,0.8452304856098348,0.8332379862303385
videofeedback,B0,Global spatial,10,0.8006116666666667,0.8250300790359708
videofeedback,B1,Global first-order temporal,10,0.849226111111111,0.8535852589290576
videofeedback,B2,Original STALL,10,0.8527533333333335,0.8640436044276271
videofeedback,B3,Raw D3 percentile,10,0.5245261111111111,0.5636993124954606
videofeedback,B4,STALL + raw D3,10,0.6630322222222222,0.7152585848417876
videofeedback,B5,Patch spatial,10,0.7373955555555556,0.7455015325402768
videofeedback,B6,Patch same-grid D2,10,0.8059761111111111,0.8153091465593286
videofeedback,B7,Current patch,10,0.8079172222222223,0.8205817202355888
videofeedback,B8,Current global + patch,10,0.8561200000000001,0.8687439608024764
Macro-3,B0,Global spatial,20,0.8109344374813693,0.8320680790070174
Macro-3,B1,Global first-order temporal,20,0.812718468033177,0.8047412706227467
Macro-3,B2,Original STALL,20,0.8387799751530295,0.8427603241580126
Macro-3,B3,Raw D3 percentile,20,0.6628245020144515,0.6756334177372155
Macro-3,B4,STALL + raw D3,20,0.7619981747676391,0.7857868114144009
Macro-3,B5,Patch spatial,20,0.7770255269950699,0.7866464827590752
Macro-3,B6,Patch same-grid D2,20,0.8499084764245542,0.8499871153089987
Macro-3,B7,Current patch,20,0.851515857268208,0.8541243235601413
Macro-3,B8,Current global + patch,20,0.873741464988481,0.8750109428369552
