dataset,scope,comparison,new_config,base_config,metric,delta,ci95_low,ci95_high,bootstrap_iterations
comgenvid,generator_macro,selected_vs_original_stall,final_selected,B2,auc,0.014839026096100716,0.012566591931587682,0.017316715628890797,1000
comgenvid,generator_macro,selected_vs_original_stall,final_selected,B2,ap,0.021308140720224522,0.01781771894510841,0.024904484110508572,1000
comgenvid,generator_macro,selected_vs_current_alpha_stalled,final_selected,B8,auc,-0.0499885913264318,-0.05624113347652051,-0.04386502454104892,1000
comgenvid,generator_macro,selected_vs_current_alpha_stalled,final_selected,B8,ap,-0.04112428806080537,-0.046092733610111396,-0.03606560637166138,1000
videofeedback,generator_macro,selected_vs_original_stall,final_selected,B2,auc,0.010330555555555598,0.00446184722222219,0.016132430555555535,1000
videofeedback,generator_macro,selected_vs_original_stall,final_selected,B2,ap,0.006809437955568409,0.001781271034487043,0.012229366990277333,1000
videofeedback,generator_macro,selected_vs_current_alpha_stalled,final_selected,B8,auc,0.006962222222222236,0.004188722222222144,0.009796694444444462,1000
videofeedback,generator_macro,selected_vs_current_alpha_stalled,final_selected,B8,ap,0.002105576343721871,-0.00028132746525231676,0.0046165699431599755,1000
genvideo,generator_macro,selected_vs_original_stall,final_selected,B2,auc,0.029627557490498294,0.02420356268724138,0.03558900563058485,1000
genvideo,generator_macro,selected_vs_original_stall,final_selected,B2,ap,0.023744231934710397,0.01830754028235414,0.029544628725082282,1000
genvideo,generator_macro,selected_vs_current_alpha_stalled,final_selected,B8,auc,-0.007064085423721209,-0.011534312180002549,-0.0029280216566803076,1000
genvideo,generator_macro,selected_vs_current_alpha_stalled,final_selected,B8,ap,-0.005877392779475202,-0.009454059736996095,-0.0025086488344208298,1000
