dataset,local,alpha_global,n_generators,auc,ap
comgenvid,L0,0.2,2,0.8820160242260704,0.8941474367049088
comgenvid,L0,0.4,2,0.8752842867842917,0.8884881107405871
comgenvid,L0,0.5,2,0.8725722466654431,0.8854987101714851
comgenvid,L0,0.6,2,0.8698707471689129,0.8820472384586109
comgenvid,L0,0.8,2,0.8638111294090803,0.8727363185476611
comgenvid,L1,0.2,2,0.8552670249651539,0.8613140905934012
comgenvid,L1,0.4,2,0.8551405374973339,0.8609047391806179
comgenvid,L1,0.5,2,0.8551089156303788,0.8608070800882647
comgenvid,L1,0.6,2,0.8550965148982397,0.8607725375935336
comgenvid,L1,0.8,2,0.8550710933973542,0.8606954584096191
comgenvid,L2,0.2,2,0.8743257101899297,0.8796915770843481
comgenvid,L2,0.4,2,0.8758528603528752,0.8840614516535638
comgenvid,L2,0.5,2,0.874689671678216,0.8834058980299816
comgenvid,L2,0.6,2,0.8725920878368659,0.8813390998334714
comgenvid,L2,0.8,2,0.866089763939663,0.8735358177976924
comgenvid,L3,0.2,2,0.8813070123660101,0.8935813265013584
comgenvid,L3,0.4,2,0.8748189493107674,0.8883032762244769
comgenvid,L3,0.5,2,0.8722674986731217,0.8855289588618016
comgenvid,L3,0.6,2,0.8697377493167198,0.8821973481598138
comgenvid,L3,0.8,2,0.8639329666023482,0.8729148701498145
comgenvid,P0,0.2,2,0.882381535805874,0.8944720460538733
comgenvid,P0,0.4,2,0.8755536926900165,0.8886698155592829
comgenvid,P0,0.5,2,0.8727808889836856,0.8856844570853837
comgenvid,P0,0.6,2,0.8698853180291765,0.8819265934172456
comgenvid,P0,0.8,2,0.8637302146318719,0.8725653755178742
genvideo,L0,0.2,8,0.8331645645963861,0.8199486222657113
genvideo,L0,0.4,8,0.8368054394616695,0.825198750580733
genvideo,L0,0.5,8,0.8369380086426503,0.826960456360409
genvideo,L0,0.6,8,0.8354575581193264,0.8260705313997946
genvideo,L0,0.8,8,0.8284408329380076,0.819547469935033
genvideo,L1,0.2,8,0.8133988570410334,0.809722568049757
genvideo,L1,0.4,8,0.8130104741870167,0.8088703710549614
genvideo,L1,0.5,8,0.8128717728820494,0.8086308860989363
genvideo,L1,0.6,8,0.8127049186818922,0.8075476316953621
genvideo,L1,0.8,8,0.8120911148657829,0.8060347009843398
genvideo,L2,0.2,8,0.8096478879830076,0.7955517651359814
genvideo,L2,0.4,8,0.8198104829395587,0.8086541082086531
genvideo,L2,0.5,8,0.8235427308171149,0.813470669236748
genvideo,L2,0.6,8,0.8262967561615617,0.817397577133164
genvideo,L2,0.8,8,0.8261853075591745,0.8181539481567147
genvideo,L3,0.2,8,0.8055871241762691,0.7863482847023053
genvideo,L3,0.4,8,0.8151388448405047,0.7999717330381838
genvideo,L3,0.5,8,0.8183012676969814,0.8057749994020859
genvideo,L3,0.6,8,0.819648351565363,0.809012100510645
genvideo,L3,0.8,8,0.8184489530045412,0.8104468121905561
genvideo,P0,0.2,8,0.8374944573012917,0.8236183666798492
genvideo,P0,0.4,8,0.8408197858649281,0.8283972588003687
genvideo,P0,0.5,8,0.8400249317133758,0.8284971507749477
genvideo,P0,0.6,8,0.8381664001861135,0.8273605934508632
genvideo,P0,0.8,8,0.8299144888416684,0.8198632830714067
videofeedback,L0,0.2,10,0.8225444444444445,0.8285653593348916
videofeedback,L0,0.4,10,0.8460244444444445,0.8519607594014641
videofeedback,L0,0.5,10,0.8547088888888889,0.8614983355543929
videofeedback,L0,0.6,10,0.8614844444444445,0.8691580133812099
videofeedback,L0,0.8,10,0.86799,0.8755071370633045
videofeedback,L1,0.2,10,0.852435,0.8626388430788999
videofeedback,L1,0.4,10,0.8525261111111112,0.8637274266705086
videofeedback,L1,0.5,10,0.8525761111111111,0.8638602446050523
videofeedback,L1,0.6,10,0.8526194444444444,0.8639328949930108
videofeedback,L1,0.8,10,0.8526883333333334,0.8640065268917818
videofeedback,L2,0.2,10,0.7615027777777778,0.7753519837752707
videofeedback,L2,0.4,10,0.7968761111111111,0.8099347587737205
videofeedback,L2,0.5,10,0.8130038888888889,0.8265714973816681
videofeedback,L2,0.6,10,0.8277016666666667,0.8413755127147835
videofeedback,L2,0.8,10,0.8523705555555555,0.8636306453526071
videofeedback,L3,0.2,10,0.8053222222222223,0.8137137829053097
videofeedback,L3,0.4,10,0.8327522222222223,0.8407288276279846
videofeedback,L3,0.5,10,0.8431022222222222,0.8519624853540908
videofeedback,L3,0.6,10,0.8511288888888888,0.8612605968196503
videofeedback,L3,0.8,10,0.8610333333333333,0.8709536408080829
videofeedback,P0,0.2,10,0.8254644444444444,0.8313467467310296
videofeedback,P0,0.4,10,0.8486766666666667,0.8548628622482862
videofeedback,P0,0.5,10,0.8569366666666667,0.8640686032711431
videofeedback,P0,0.6,10,0.8630822222222223,0.8708495371461982
videofeedback,P0,0.8,10,0.8682022222222223,0.8757236159488961
