dataset,generator,local,alpha_global,auc,ap
comgenvid,Sora,L0,0.2,0.8696769857292375,0.8825479186933711
comgenvid,Sora,L0,0.4,0.8635361431738929,0.8781871439388497
comgenvid,Sora,L0,0.5,0.8608923070818101,0.8753842601482533
comgenvid,Sora,L0,0.6,0.858269552234364,0.8722152204320951
comgenvid,Sora,L0,0.8,0.8521299497522334,0.8629877380719242
comgenvid,Sora,L1,0.2,0.8431226779629069,0.851280356468866
comgenvid,Sora,L1,0.4,0.8429751092504502,0.8507993747056042
comgenvid,Sora,L1,0.5,0.8429416272736743,0.8507004122145967
comgenvid,Sora,L1,0.6,0.8429329467611768,0.850674774884206
comgenvid,Sora,L1,0.8,0.8429019449308287,0.850580032439474
comgenvid,Sora,L2,0.2,0.8607881409318406,0.8649112405117232
comgenvid,Sora,L2,0.4,0.8630599550597466,0.871756480586362
comgenvid,Sora,L2,0.5,0.8621881835903592,0.8720132912428074
comgenvid,Sora,L2,0.6,0.8603082325980527,0.8704684931533279
comgenvid,Sora,L2,0.8,0.8538982941552868,0.8632447739296036
comgenvid,Sora,L3,0.2,0.8691468544302856,0.8823346085572121
comgenvid,Sora,L3,0.4,0.8631411798552587,0.8782163615099652
comgenvid,Sora,L3,0.5,0.8606610334274136,0.875606827215887
comgenvid,Sora,L3,0.6,0.8582081686102748,0.8724673007244745
comgenvid,Sora,L3,0.8,0.8522830987941528,0.8632253111699317
comgenvid,Sora,P0,0.2,0.8706963259110818,0.8838497457393509
comgenvid,Sora,P0,0.4,0.8640544937773126,0.8787888615126744
comgenvid,Sora,P0,0.5,0.8613213724138272,0.8760205455720357
comgenvid,Sora,P0,0.6,0.8584146408003929,0.872306320394342
comgenvid,Sora,P0,0.8,0.8521063883611689,0.8629039618829164
comgenvid,VEO3,L0,0.2,0.8943550627229033,0.9057469547164465
comgenvid,VEO3,L0,0.4,0.8870324303946905,0.8987890775423244
comgenvid,VEO3,L0,0.5,0.8842521862490762,0.8956131601947168
comgenvid,VEO3,L0,0.6,0.8814719421034618,0.8918792564851268
