dataset,subset,source_model,filename,B2,B8,P0,final_selected
comgenvid,annotated,Sora,-ahmed-_776843120%2Fmd.mp4,0.0119937603013892,0.0094341832004296,0.0,0.007196256180833519
comgenvid,annotated,Sora,0065464654_4804233%2Fmd.mp4,0.0226777725453261,0.0239246845191766,0.0004999999888241,0.013806663522725299
comgenvid,annotated,Sora,050221_138598904%2Fmd.mp4,0.005783494231222,0.0048128527327957,0.0,0.0034700965387331997
comgenvid,annotated,Sora,09045_552603156%2Fmd.mp4,0.1820402637155639,0.2205315795559756,0.00699999993667,0.11202415820400632
comgenvid,annotated,Sora,111111111111_421748285%2Fmd.mp4,0.0270779373675535,0.0282608966487616,0.0,0.0162467624205321
comgenvid,annotated,Sora,1121231231231231_643574533%2Fmd.mp4,0.1026312691311514,0.1531688667738721,0.0059999998658895,0.06397876142504665
comgenvid,annotated,Sora,12345-90086_161537791%2Fmd.mp4,0.2589474923475394,0.2531541268267518,0.0079999999143183,0.15856849537425094
comgenvid,annotated,Sora,12348822_520388045%2Fmd.mp4,0.0038556628208146,0.0097103350404373,0.0,0.00231339769248876
comgenvid,annotated,Sora,1235311_468903194%2Fmd.mp4,0.004385448551919,0.0249398678879415,0.0004999999888241,0.0028312691266810398
comgenvid,annotated,Sora,1554545_990274538%2Fmd.mp4,0.0024134683305862,0.0210240525123383,0.0,0.0014480809983517201
comgenvid,annotated,Sora,1656511_927926754%2Fmd.mp4,0.0081380974805745,0.0083928703233684,0.0,0.0048828584883447
comgenvid,annotated,Sora,1tree2_75260605%2Fmd.mp4,0.0192194490228396,0.0123561688163646,0.0,0.01153166941370376
comgenvid,annotated,Sora,2111132_923581868%2Fmd.mp4,0.0106692959736284,0.0125735445802209,0.0,0.00640157758417704
comgenvid,annotated,Sora,22225591_159614590%2Fmd.mp4,0.0357899693901577,0.0614033113870167,0.0004999999888241,0.02167398162962426
comgenvid,annotated,Sora,22322777_980901699%2Fmd.mp4,0.0076524605603955,0.0210107927174533,0.0,0.0045914763362373
comgenvid,annotated,Sora,23234111213123123123_474219769%2Fmd.mp4,0.0251206734165293,0.0154257609500768,0.0,0.01507240404991758
comgenvid,annotated,Sora,23446k_310435470%2Fmd.mp4,0.0799829291264421,0.0628543035364274,0.0,0.04798975747586526
comgenvid,annotated,Sora,247axel_879229487%2Fmd.mp4,0.0896809512597127,0.1227602794302585,0.0049999998882412,0.055808570711124106
comgenvid,annotated,Sora,2592108_968226828%2Fmd.mp4,0.2678214033435366,0.3237552690500368,0.0054999998770654,0.16289284195694811
comgenvid,annotated,Sora,2kota_345048458%2Fmd.mp4,0.0454438427125029,0.0398929252645142,0.0009999999776482,0.02766630561856102
comgenvid,annotated,Sora,2mas_968402667%2Fmd.mp4,0.1808040970096538,0.2213917597251862,0.0059999998658895,0.11088245815214808
comgenvid,annotated,Sora,331212222122_15392619%2Fmd.mp4,0.00389981163174,0.0108911239661579,0.0004999999888241,0.00253988697457364
comgenvid,annotated,Sora,35h_783477259%2Fmd.mp4,0.3960736990817047,0.3905535209684168,0.0059999998658895,0.24004421939537862
comgenvid,annotated,Sora,360video_921703662%2Fmd.mp4,0.0115228396515187,0.010023244432219,0.0,0.0069137037909112195
comgenvid,annotated,Sora,3769_109597890%2Fmd.mp4,0.1151106663527195,0.0841665178824725,0.0,0.0690663998116317
comgenvid,annotated,Sora,3dq_200412742%2Fmd.mp4,0.0387920885330821,0.0415555834201804,0.0,0.02327525311984926
comgenvid,annotated,Sora,40-_747442607%2Fmd.mp4,0.2794472568872145,0.2005069870437724,0.0014999999664723,0.1682683541189176
comgenvid,annotated,Sora,444enki_753218487%2Fmd.mp4,0.0052537085001177,0.0131875609314147,0.0,0.00315222510007062
comgenvid,annotated,Sora,454555555555555555555555_393753335%2Fmd.mp4,0.0129650341417471,0.0219604098466681,0.0,0.00777902048504826
comgenvid,annotated,Sora,54888787787_225275064%2Fmd.mp4,0.1039115846479868,0.0883069029644092,0.0,0.06234695078879208
comgenvid,annotated,Sora,5ej_26436982%2Fmd.mp4,0.1047209795149517,0.1527736953397007,0.0139999996870756,0.06843258758380126
comgenvid,annotated,Sora,624329_926004613%2Fmd.mp4,0.0225600423828584,0.0305678269216908,0.0,0.01353602542971504
comgenvid,annotated,Sora,7adi1_961703618%2Fmd.mp4,0.0755974805745231,0.0502819275568573,0.0,0.045358488344713864
