selection,target_dataset,local,alpha_global,selection_ap,target_auc,target_ap
worst_case,comgenvid,P0,0.5,0.8284971507749477,0.8727808889836856,0.8856844570853837
worst_case,genvideo,P0,0.5,0.8284971507749477,0.8400249317133758,0.8284971507749477
worst_case,videofeedback,P0,0.5,0.8284971507749477,0.8569366666666667,0.8640686032711431
fixed_alpha_0.6,comgenvid,P0,0.6,0.8600455746714356,0.8698853180291765,0.8819265934172456
fixed_alpha_0.6,genvideo,P0,0.6,0.8600455746714356,0.8381664001861135,0.8273605934508632
fixed_alpha_0.6,videofeedback,P0,0.6,0.8600455746714356,0.8630822222222223,0.8708495371461982
leave_one_dataset_out,comgenvid,P0,0.6,0.8491050652985307,0.8698853180291765,0.8819265934172456
target_oracle_diagnostic,comgenvid,P0,0.2,0.8944720460538733,0.882381535805874,0.8944720460538733
leave_one_dataset_out,genvideo,P0,0.6,0.8763880652817219,0.8381664001861135,0.8273605934508632
target_oracle_diagnostic,genvideo,P0,0.5,0.8284971507749477,0.8400249317133758,0.8284971507749477
leave_one_dataset_out,videofeedback,P0,0.2,0.8590452063668612,0.8254644444444444,0.8313467467310296
target_oracle_diagnostic,videofeedback,P0,0.8,0.8757236159488961,0.8682022222222223,0.8757236159488961
