dataset,generator,config,config_name,n_real,n_fake,auc,ap
comgenvid,Sora,B0,Global spatial,898,898,0.8131265469913344,0.841027752163664
comgenvid,Sora,B1,Global first-order temporal,898,898,0.8186895154289909,0.8040006936074169
comgenvid,Sora,B2,Original STALL,898,898,0.8428746633201224,0.8504976186554407
comgenvid,Sora,B3,Raw D3 percentile,898,898,0.7003710299056056,0.675322097563047
comgenvid,Sora,B4,STALL + raw D3,898,898,0.7982183868135575,0.8014290866561906
comgenvid,Sora,B5,Patch spatial,898,898,0.8254559749207594,0.8476016177459424
comgenvid,Sora,B6,Patch same-grid D2,898,898,0.917369581500092,0.917307387595742
comgenvid,Sora,B7,Current patch,898,898,0.9191317255370758,0.9205764238742471
comgenvid,Sora,B8,Current global + patch,898,898,0.9098838795442482,0.9122114534995781
comgenvid,VEO3,B0,Global spatial,898,898,0.8597216779678672,0.8884867888823812
comgenvid,VEO3,B1,Global first-order temporal,898,898,0.8280991909762351,0.8056596533748077
comgenvid,VEO3,B2,Original STALL,898,898,0.867219160619243,0.8707429166425819
comgenvid,VEO3,B3,Raw D3 percentile,898,898,0.7838887207900755,0.7550317091148737
comgenvid,VEO3,B4,STALL + raw D3,898,898,0.8576656365791837,0.8505952878133336
comgenvid,VEO3,B5,Patch spatial,898,898,0.831671221868939,0.8425028997206562
comgenvid,VEO3,B6,Patch same-grid D2,898,898,0.9387968065634594,0.9422946498400168
comgenvid,VEO3,B7,Current patch,898,898,0.9385413514813914,0.9424062876171785
comgenvid,VEO3,B8,Current global + patch,898,898,0.9298639391669683,0.9338903094565238
videofeedback,AnimateDiff,B0,Global spatial,300,300,0.8409055555555556,0.8749176679373223
videofeedback,AnimateDiff,B1,Global first-order temporal,300,300,0.8198444444444444,0.8272189608243448
videofeedback,AnimateDiff,B2,Original STALL,300,300,0.85375,0.8721029584803806
videofeedback,AnimateDiff,B3,Raw D3 percentile,300,300,0.5357666666666667,0.5185707268675306
videofeedback,AnimateDiff,B4,STALL + raw D3,300,300,0.6781555555555556,0.7063857357324211
videofeedback,AnimateDiff,B5,Patch spatial,300,300,0.6499444444444444,0.6844733055435894
videofeedback,AnimateDiff,B6,Patch same-grid D2,300,300,0.8094277777777777,0.8120991630805463
videofeedback,AnimateDiff,B7,Current patch,300,300,0.8037333333333333,0.8135277247746413
videofeedback,AnimateDiff,B8,Current global + patch,300,300,0.8575111111111112,0.8764879553246354
videofeedback,Fast-SVD,B0,Global spatial,300,300,0.8536611111111111,0.8670146361890494
videofeedback,Fast-SVD,B1,Global first-order temporal,300,300,0.8763722222222221,0.8720792823274736
videofeedback,Fast-SVD,B2,Original STALL,300,300,0.8918,0.8922000002877204
videofeedback,Fast-SVD,B3,Raw D3 percentile,300,300,0.7780166666666667,0.7821402860291563
videofeedback,Fast-SVD,B4,STALL + raw D3,300,300,0.8639,0.8734143103703251
videofeedback,Fast-SVD,B5,Patch spatial,300,300,0.7258,0.7319000009605798
videofeedback,Fast-SVD,B6,Patch same-grid D2,300,300,0.8600166666666667,0.8908154763774372
videofeedback,Fast-SVD,B7,Current patch,300,300,0.8572555555555557,0.8895195581668135
videofeedback,Fast-SVD,B8,Current global + patch,300,300,0.8999222222222223,0.9107266507064921
videofeedback,LVDM,B0,Global spatial,300,300,0.8446444444444445,0.8810859479524414
videofeedback,LVDM,B1,Global first-order temporal,300,300,0.8691000000000001,0.8898730088954294
videofeedback,LVDM,B2,Original STALL,300,300,0.8920166666666667,0.9121665024110185
videofeedback,LVDM,B3,Raw D3 percentile,300,300,0.4066388888888889,0.488079810316569
videofeedback,LVDM,B4,STALL + raw D3,300,300,0.6027111111111112,0.6965932269328764
videofeedback,LVDM,B5,Patch spatial,300,300,0.9031111111111112,0.9255737976949017
videofeedback,LVDM,B6,Patch same-grid D2,300,300,0.8407222222222223,0.8510733636389773
videofeedback,LVDM,B7,Current patch,300,300,0.8557333333333333,0.867540934933851
videofeedback,LVDM,B8,Current global + patch,300,300,0.9025000000000002,0.9136098265700833
videofeedback,LaVie-base,B0,Global spatial,300,300,0.7817722222222223,0.8096946590247445
videofeedback,LaVie-base,B1,Global first-order temporal,300,300,0.8348500000000001,0.8349037738403162
videofeedback,LaVie-base,B2,Original STALL,300,300,0.8378166666666667,0.8491625029795792
videofeedback,LaVie-base,B3,Raw D3 percentile,300,300,0.49492777777777786,0.4645550655761443
videofeedback,LaVie-base,B4,STALL + raw D3,300,300,0.6297111111111111,0.6512567787775534
videofeedback,LaVie-base,B5,Patch spatial,300,300,0.6727555555555556,0.6577420291770929
videofeedback,LaVie-base,B6,Patch same-grid D2,300,300,0.7687166666666666,0.7729584653109515
videofeedback,LaVie-base,B7,Current patch,300,300,0.7676166666666666,0.7757752718191252
videofeedback,LaVie-base,B8,Current global + patch,300,300,0.8249666666666666,0.8402206136913549
videofeedback,ModelScope,B0,Global spatial,300,300,0.7430333333333333,0.7683011399353548
videofeedback,ModelScope,B1,Global first-order temporal,300,300,0.844111111111111,0.8567897821134957
videofeedback,ModelScope,B2,Original STALL,300,300,0.8239055555555556,0.840434611018831
videofeedback,ModelScope,B3,Raw D3 percentile,300,300,0.4947722222222222,0.5143132171934768
videofeedback,ModelScope,B4,STALL + raw D3,300,300,0.6420888888888889,0.6920848046532677
videofeedback,ModelScope,B5,Patch spatial,300,300,0.8442888888888889,0.865127245571176
videofeedback,ModelScope,B6,Patch same-grid D2,300,300,0.8071944444444445,0.8052220822548009
videofeedback,ModelScope,B7,Current patch,300,300,0.8184111111111112,0.8203408026123662
videofeedback,ModelScope,B8,Current global + patch,300,300,0.8526444444444444,0.8582473807505715
videofeedback,Pika,B0,Global spatial,300,300,0.8307777777777778,0.8722260829400003
videofeedback,Pika,B1,Global first-order temporal,300,300,0.8086055555555556,0.8009730610453095
videofeedback,Pika,B2,Original STALL,300,300,0.8430944444444445,0.8577286569111402
videofeedback,Pika,B3,Raw D3 percentile,300,300,0.8764666666666667,0.8732828274996689
videofeedback,Pika,B4,STALL + raw D3,300,300,0.9134666666666666,0.9150531692574411
videofeedback,Pika,B5,Patch spatial,300,300,0.6054444444444445,0.597134975179417
videofeedback,Pika,B6,Patch same-grid D2,300,300,0.8849944444444444,0.905115797163693
videofeedback,Pika,B7,Current patch,300,300,0.8675222222222222,0.8945235640531336
videofeedback,Pika,B8,Current global + patch,300,300,0.8916666666666667,0.9113225167213904
videofeedback,SoRA-Clip,B0,Global spatial,300,300,0.7920166666666667,0.7867372377341635
videofeedback,SoRA-Clip,B1,Global first-order temporal,300,300,0.8019444444444445,0.8063326810908449
videofeedback,SoRA-Clip,B2,Original STALL,300,300,0.816288888888889,0.8184827133174929
videofeedback,SoRA-Clip,B3,Raw D3 percentile,300,300,0.5371111111111111,0.5174501879603502
videofeedback,SoRA-Clip,B4,STALL + raw D3,300,300,0.6671555555555555,0.6806250785048568
videofeedback,SoRA-Clip,B5,Patch spatial,300,300,0.6841222222222223,0.6668144412158119
videofeedback,SoRA-Clip,B6,Patch same-grid D2,300,300,0.7663,0.7713903165415035
videofeedback,SoRA-Clip,B7,Current patch,300,300,0.7662000000000001,0.7711853385421952
videofeedback,SoRA-Clip,B8,Current global + patch,300,300,0.8111555555555555,0.8221009435086101
videofeedback,Text2Video-Zero,B0,Global spatial,300,300,0.7355833333333334,0.7484448696849003
videofeedback,Text2Video-Zero,B1,Global first-order temporal,300,300,0.8488222222222223,0.8338246963658018
videofeedback,Text2Video-Zero,B2,Original STALL,300,300,0.8228277777777778,0.8191776765270993
videofeedback,Text2Video-Zero,B3,Raw D3 percentile,300,300,0.1324722222222222,0.33119535427638597
videofeedback,Text2Video-Zero,B4,STALL + raw D3,300,300,0.3375444444444444,0.49257473466619844
videofeedback,Text2Video-Zero,B5,Patch spatial,300,300,0.7414944444444443,0.7489180943923474
videofeedback,Text2Video-Zero,B6,Patch same-grid D2,300,300,0.6147666666666667,0.640360692633509
videofeedback,Text2Video-Zero,B7,Current patch,300,300,0.6330888888888888,0.6546642088051542
videofeedback,Text2Video-Zero,B8,Current global + patch,300,300,0.7325444444444444,0.751736316650563
videofeedback,VideoCrafter2,B0,Global spatial,300,300,0.9012611111111113,0.9210970182368954
videofeedback,VideoCrafter2,B1,Global first-order temporal,300,300,0.9304166666666667,0.9335052913092238
videofeedback,VideoCrafter2,B2,Original STALL,300,300,0.9437888888888888,0.9486000927842748
videofeedback,VideoCrafter2,B3,Raw D3 percentile,300,300,0.7228777777777777,0.7348558639570631
videofeedback,VideoCrafter2,B4,STALL + raw D3,300,300,0.8407,0.857355321905916
videofeedback,VideoCrafter2,B5,Patch spatial,300,300,0.6947611111111112,0.711995802244941
videofeedback,VideoCrafter2,B6,Patch same-grid D2,300,300,0.8346722222222223,0.8424245805957324
videofeedback,VideoCrafter2,B7,Current patch,300,300,0.8304444444444445,0.8418067324506615
videofeedback,VideoCrafter2,B8,Current global + patch,300,300,0.9014777777777778,0.91369944833115
videofeedback,ZeroScope-576w,B0,Global spatial,300,300,0.6824611111111112,0.7207815307248351
videofeedback,ZeroScope-576w,B1,Global first-order temporal,300,300,0.8581944444444444,0.8803520514783368
videofeedback,ZeroScope-576w,B2,Original STALL,300,300,0.8022444444444445,0.8303803295587338
