dataset,scope,comparison,new_config,base_config,metric,delta,ci95_low,ci95_high,bootstrap_iterations
comgenvid,generator_macro,raw_d3,G1,G0,auc,0.012004218729073701,0.0038104969717410635,0.020198459767064636,1000
comgenvid,generator_macro,raw_d3,G1,G0,ap,0.011395799165438425,0.004227771399403328,0.01873726140817583,1000
comgenvid,generator_macro,two_sided_d3,G2,G0,auc,-0.006399087802143877,-0.014864618107052929,0.0023318336714599525,1000
comgenvid,generator_macro,two_sided_d3,G2,G0,ap,-0.010062949756068196,-0.01757446666223146,-0.002313219027396918,1000
comgenvid,generator_macro,motion_conditioned_d3,G3,G0,auc,-0.027918078283341863,-0.03723176441337101,-0.017726094798637,1000
comgenvid,generator_macro,motion_conditioned_d3,G3,G0,ap,-0.0209216205692217,-0.029320878360516025,-0.013023567392429545,1000
comgenvid,generator_macro,time_normalized_conditioned_d3,G4,G0,auc,-0.031234654093977687,-0.04085194114860548,-0.02148589602730138,1000
comgenvid,generator_macro,time_normalized_conditioned_d3,G4,G0,ap,-0.022290172340542647,-0.030509101064930044,-0.014428452957193243,1000
videofeedback,generator_macro,raw_d3,G1,G0,auc,-0.09902944444444443,-0.10909422222222222,-0.08920904166666667,1000
videofeedback,generator_macro,raw_d3,G1,G0,ap,-0.06661808524060396,-0.07367193757174828,-0.05958308667923392,1000
videofeedback,generator_macro,two_sided_d3,G2,G0,auc,-0.06895333333333334,-0.07874405555555553,-0.05962468055555556,1000
videofeedback,generator_macro,two_sided_d3,G2,G0,ap,-0.048078778419478586,-0.05498860503466572,-0.04139349393106231,1000
videofeedback,generator_macro,motion_conditioned_d3,G3,G0,auc,-0.06980222222222222,-0.07866798611111114,-0.06072827777777779,1000
videofeedback,generator_macro,motion_conditioned_d3,G3,G0,ap,-0.04745911458187235,-0.05427365279921033,-0.040334082168289834,1000
videofeedback,generator_macro,time_normalized_conditioned_d3,G4,G0,auc,-0.06980222222222222,-0.08005773611111108,-0.060331041666666675,1000
videofeedback,generator_macro,time_normalized_conditioned_d3,G4,G0,ap,-0.04745911458187235,-0.054824284171754334,-0.03973153011413611,1000
genvideo,generator_macro,raw_d3,G1,G0,auc,0.010418808270810237,0.001341362682128424,0.019011255743792706,1000
genvideo,generator_macro,raw_d3,G1,G0,ap,0.024102027419539554,0.01672183353282125,0.03042102731239147,1000
genvideo,generator_macro,two_sided_d3,G2,G0,auc,-0.0660789324602784,-0.07677435775390135,-0.05546287477695369,1000
genvideo,generator_macro,two_sided_d3,G2,G0,ap,-0.046687951343002826,-0.05468906311810746,-0.0393447932705719,1000
genvideo,generator_macro,motion_conditioned_d3,G3,G0,auc,-0.0785713350390349,-0.09011786516128695,-0.06766998745464553,1000
genvideo,generator_macro,motion_conditioned_d3,G3,G0,ap,-0.045281261117811236,-0.05340375481506653,-0.038232425068663464,1000
genvideo,generator_macro,time_normalized_conditioned_d3,G4,G0,auc,-0.05984374921995911,-0.0707524071233294,-0.050251686515772324,1000
genvideo,generator_macro,time_normalized_conditioned_d3,G4,G0,ap,-0.03263252519960931,-0.04109570920178456,-0.025173289935448696,1000
