dataset,config,config_name,n_generators,auc,ap
comgenvid,G0,Original STALL,2,0.8550462919330757,0.8606184526970211
comgenvid,G1,STALL + raw D3,2,0.8670505106621494,0.8720142518624595
comgenvid,G2,STALL + two-sided D3,2,0.8486472041309319,0.8505555029409528
comgenvid,G3,STALL + motion-conditioned D3,2,0.8271282136497339,0.8396968321277993
comgenvid,G4,STALL + time-normalized conditional D3,2,0.823811637839098,0.8383282803564784
genvideo,G0,Original STALL,8,0.8085388426956153,0.8036163615161529
genvideo,G1,STALL + raw D3,8,0.8189576509664256,0.8277183889356924
genvideo,G2,STALL + two-sided D3,8,0.7424599102353369,0.75692841017315
genvideo,G3,STALL + motion-conditioned D3,8,0.7299675076565804,0.7583351003983416
genvideo,G4,STALL + time-normalized conditional D3,8,0.7486950934756562,0.7709838363165435
videofeedback,G0,Original STALL,10,0.8527516666666667,0.8640400991906299
videofeedback,G1,STALL + raw D3,10,0.7537222222222223,0.7974220139500259
videofeedback,G2,STALL + two-sided D3,10,0.7837983333333334,0.8159613207711512
videofeedback,G3,STALL + motion-conditioned D3,10,0.7829494444444445,0.8165809846087575
videofeedback,G4,STALL + time-normalized conditional D3,10,0.7829494444444445,0.8165809846087575
Macro-3,G0,Original STALL,20,0.8387789337651191,0.8427583044679346
Macro-3,G1,STALL + raw D3,20,0.8132434612835991,0.8323848849160592
Macro-3,G2,STALL + two-sided D3,20,0.7916351492332007,0.8078150779617514
Macro-3,G3,STALL + motion-conditioned D3,20,0.7800150552502529,0.8048709723782995
Macro-3,G4,STALL + time-normalized conditional D3,20,0.7851520585863995,0.8086310337605932
