dataset,generator,config,delta_auc_vs_G0,delta_ap_vs_G0
comgenvid,Sora,G1,0.0004904489561062819,0.0010611982581048007
comgenvid,VEO3,G1,0.02351798850204112,0.02173040007277205
videofeedback,AnimateDiff,G1,-0.08123888888888886,-0.05925798190983189
videofeedback,Fast-SVD,G1,0.00040000000000006697,0.005721299776650146
videofeedback,LVDM,G1,-0.1624888888888889,-0.10288106710719802
videofeedback,LaVie-base,G1,-0.10712222222222223,-0.08572069655425907
videofeedback,ModelScope,G1,-0.09922222222222221,-0.07041362553082209
videofeedback,Pika,G1,0.07707777777777758,0.06630178634773565
videofeedback,SoRA-Clip,G1,-0.07496111111111103,-0.06229846921906901
videofeedback,Text2Video-Zero,G1,-0.2823055555555555,-0.17722344236538135
videofeedback,VideoCrafter2,G1,-0.050488888888888805,-0.040197501419499515
videofeedback,ZeroScope-576w,G1,-0.2099444444444445,-0.1402111544243645
genvideo,Crafter,G1,0.03645597555454949,0.04472770196464371
genvideo,Gen2,G1,0.05959934887628637,0.05911456153302841
genvideo,Lavie,G1,-0.03433469387755106,-0.013720867645387602
genvideo,ModelScope,G1,-0.017330612244897736,0.011736459562436408
genvideo,MorphStudio,G1,-0.026235714285714362,-0.007948780046674986
genvideo,Show_1,G1,0.013545918367346865,0.028424240252513666
genvideo,Sora,G1,0.04049744897959173,0.0463059352821058
genvideo,WildScrape,G1,0.011152794796870591,0.024176968453651027
comgenvid,Sora,G2,-0.016673404397795744,-0.019535549909960093
comgenvid,VEO3,G2,0.00387522879350799,-0.0005903496021762988
videofeedback,AnimateDiff,G2,-0.07818333333333338,-0.055028788332954326
videofeedback,Fast-SVD,G2,-0.07314444444444435,-0.0643187367451844
videofeedback,LVDM,G2,-0.1428222222222223,-0.09503196872251007
videofeedback,LaVie-base,G2,-0.03261666666666663,-0.02364717893624957
videofeedback,ModelScope,G2,-0.11201111111111106,-0.08195169982722206
videofeedback,Pika,G2,0.025555555555555443,0.010481745521650931
videofeedback,SoRA-Clip,G2,-0.11231666666666662,-0.06973470152818506
videofeedback,Text2Video-Zero,G2,0.03723888888888893,0.04668313391556134
videofeedback,VideoCrafter2,G2,-0.13685555555555562,-0.10454331712029208
videofeedback,ZeroScope-576w,G2,-0.06437777777777787,-0.04369627241940055
genvideo,Crafter,G2,-0.03973800362154811,-0.03449109923365867
genvideo,Gen2,G2,0.024524784709094805,0.018541689991600996
genvideo,Lavie,G2,-0.1097923469387756,-0.08152260970444969
genvideo,ModelScope,G2,-0.10537142857142845,-0.0666813972759932
genvideo,MorphStudio,G2,-0.11749693877551026,-0.08625078947033171
genvideo,Show_1,G2,-0.08110306122448985,-0.06491432323860691
genvideo,Sora,G2,-0.03156887755102045,-0.018070717323614427
genvideo,WildScrape,G2,-0.06808558770854933,-0.04011436448896899
comgenvid,Sora,G3,-0.03668508588747077,-0.029221622468469932
comgenvid,VEO3,G3,-0.019151070679212956,-0.012621618669973467
videofeedback,AnimateDiff,G3,-0.0330611111111111,-0.010542730063775041
videofeedback,Fast-SVD,G3,-0.12267777777777766,-0.0789217329875549
videofeedback,LVDM,G3,-0.12319999999999998,-0.08971308934748856
videofeedback,LaVie-base,G3,-0.04770555555555556,-0.03623937506853636
videofeedback,ModelScope,G3,-0.08595555555555556,-0.06536535588257675
videofeedback,Pika,G3,-0.009500000000000064,-0.004508318449494952
videofeedback,SoRA-Clip,G3,-0.08417222222222209,-0.04790083991373961
videofeedback,Text2Video-Zero,G3,-0.02997222222222229,-0.018518273052513523
videofeedback,VideoCrafter2,G3,-0.1134666666666666,-0.07617538097706411
videofeedback,ZeroScope-576w,G3,-0.048311111111111305,-0.04670605007597972
genvideo,Crafter,G3,-0.09533442734268904,-0.04223095179110414
genvideo,Gen2,G3,-0.061351869355177446,-0.040318376639839726
genvideo,Lavie,G3,-0.11864974489795932,-0.0764733471578104
genvideo,ModelScope,G3,-0.06482244897959166,-0.036259897095334837
genvideo,MorphStudio,G3,-0.12890918367346937,-0.08895217648476217
genvideo,Show_1,G3,-0.10105510204081636,-0.058839162756339825
genvideo,Sora,G3,0.009247448979591844,0.010278683489382545
genvideo,WildScrape,G3,-0.06769535300216789,-0.029454860506681335
comgenvid,Sora,G4,-0.057065069121680856,-0.04107715943991719
comgenvid,VEO3,G4,-0.005404239066274519,-0.0035031852411681053
