dataset,generator,config,config_name,n_real,n_fake,auc,ap
comgenvid,Sora,G0,Original STALL,898,898,0.8428734232469085,0.850495913584602
comgenvid,Sora,G1,STALL + raw D3,898,898,0.8433638722030148,0.8515571118427068
comgenvid,Sora,G2,STALL + two-sided D3,898,898,0.8262000188491128,0.8309603636746419
comgenvid,Sora,G3,STALL + motion-conditioned D3,898,898,0.8061883373594377,0.821274291116132
comgenvid,Sora,G4,STALL + time-normalized conditional D3,898,898,0.7858083541252276,0.8094187541446848
comgenvid,VEO3,G0,Original STALL,898,898,0.867219160619243,0.8707409918094402
comgenvid,VEO3,G1,STALL + raw D3,898,898,0.8907371491212841,0.8924713918822123
comgenvid,VEO3,G2,STALL + two-sided D3,898,898,0.871094389412751,0.8701506422072639
comgenvid,VEO3,G3,STALL + motion-conditioned D3,898,898,0.84806808994003,0.8581193731394667
comgenvid,VEO3,G4,STALL + time-normalized conditional D3,898,898,0.8618149215529685,0.8672378065682721
videofeedback,AnimateDiff,G0,Original STALL,300,300,0.85375,0.8721029584803806
videofeedback,AnimateDiff,G1,STALL + raw D3,300,300,0.7725111111111111,0.8128449765705487
videofeedback,AnimateDiff,G2,STALL + two-sided D3,300,300,0.7755666666666666,0.8170741701474262
videofeedback,AnimateDiff,G3,STALL + motion-conditioned D3,300,300,0.8206888888888889,0.8615602284166055
videofeedback,AnimateDiff,G4,STALL + time-normalized conditional D3,300,300,0.8206888888888889,0.8615602284166055
videofeedback,Fast-SVD,G0,Original STALL,300,300,0.8917999999999999,0.8922000002877205
videofeedback,Fast-SVD,G1,STALL + raw D3,300,300,0.8922,0.8979213000643707
videofeedback,Fast-SVD,G2,STALL + two-sided D3,300,300,0.8186555555555556,0.8278812635425361
videofeedback,Fast-SVD,G3,STALL + motion-conditioned D3,300,300,0.7691222222222223,0.8132782673001656
videofeedback,Fast-SVD,G4,STALL + time-normalized conditional D3,300,300,0.7691222222222223,0.8132782673001656
videofeedback,LVDM,G0,Original STALL,300,300,0.8920111111111111,0.9121635136119941
videofeedback,LVDM,G1,STALL + raw D3,300,300,0.7295222222222222,0.8092824465047961
