dataset,scope,comparison,new_config,base_config,metric,delta,ci95_low,ci95_high,bootstrap_iterations
comgenvid,generator_macro,global_residual,L1,L0,auc,-0.30962520027182394,-0.32195570551485364,-0.29725165673781373,1000
comgenvid,generator_macro,global_residual,L1,L0,ap,-0.2989910071870773,-0.31094887381985553,-0.28678144797081784,1000
comgenvid,generator_macro,spatial_median_residual,L2,L0,auc,-0.057851275539307745,-0.06810540994340303,-0.04748780543003267,1000
comgenvid,generator_macro,spatial_median_residual,L2,L0,ap,-0.043217343598674185,-0.05205821424056953,-0.03391621526313108,1000
comgenvid,generator_macro,persistent_aggregation,L3,L0,auc,-0.0006532085654336051,-0.00415485755278998,0.0026856343098496933,1000
comgenvid,generator_macro,persistent_aggregation,L3,L0,ap,-0.0007188996940088455,-0.003740018406884811,0.0021840307638312986,1000
comgenvid,generator_macro,add_local_spatial,P0,L0,auc,0.004095341788979301,-0.002083540012202263,0.009786789562055719,1000
comgenvid,generator_macro,add_local_spatial,P0,L0,ap,0.02759035514747904,0.02354847866835402,0.03168205808643758,1000
genvideo,generator_macro,global_residual,L1,L0,auc,-0.2907522475564742,-0.30283414878418086,-0.2777034226026294,1000
genvideo,generator_macro,global_residual,L1,L0,ap,-0.2752931933624438,-0.2880653269730176,-0.26330590810926124,1000
genvideo,generator_macro,spatial_median_residual,L2,L0,auc,-0.02200934821206739,-0.02811996798096077,-0.016759753713238665,1000
genvideo,generator_macro,spatial_median_residual,L2,L0,ap,-0.020294945445541585,-0.025738985093079866,-0.014950861862445645,1000
genvideo,generator_macro,persistent_aggregation,L3,L0,auc,-0.03561673962554954,-0.04012072465190805,-0.03077557771915265,1000
genvideo,generator_macro,persistent_aggregation,L3,L0,ap,-0.042612115142048185,-0.046919089937914,-0.036977334634077895,1000
genvideo,generator_macro,add_local_spatial,P0,L0,auc,0.0030275184344199374,0.0018873412237100644,0.004200062783385625,1000
genvideo,generator_macro,add_local_spatial,P0,L0,ap,0.0059855775580008735,0.004824937855754181,0.007157523001888234,1000
videofeedback,generator_macro,global_residual,L1,L0,auc,-0.2727327777777778,-0.2846324166666667,-0.26207975,1000
videofeedback,generator_macro,global_residual,L1,L0,ap,-0.28199593012036933,-0.2942641428069226,-0.27196096702343536,1000
videofeedback,generator_macro,spatial_median_residual,L2,L0,auc,-0.06146222222222222,-0.06552676388888892,-0.05739572222222221,1000
videofeedback,generator_macro,spatial_median_residual,L2,L0,ap,-0.05214349184873003,-0.05591868842201641,-0.048124211981766855,1000
videofeedback,generator_macro,persistent_aggregation,L3,L0,auc,-0.030168333333333318,-0.03531136111111115,-0.024942000000000044,1000
videofeedback,generator_macro,persistent_aggregation,L3,L0,ap,-0.023407884643558786,-0.028602124753587314,-0.017953825398637144,1000
videofeedback,generator_macro,add_local_spatial,P0,L0,auc,0.0012922222222222501,0.0006514583333333837,0.0019520416666666833,1000
videofeedback,generator_macro,add_local_spatial,P0,L0,ap,0.002892638714110318,0.0022807151985563398,0.003525709609243015,1000
