dataset,config,config_name,n_generators,auc,ap
comgenvid,L0,Same-grid D2,2,0.8385892803111095,0.827820504836174
comgenvid,L1,Global-residual D2,2,0.5289640800392856,0.5288294976490968
comgenvid,L2,Spatial-median residual D2,2,0.7807380047718018,0.7846031612374998
comgenvid,L3,Persistent same-grid D2,2,0.8379360717456759,0.8271016051421651
comgenvid,Ls,Local spatial,2,0.7272846488856701,0.7472537246320361
comgenvid,P0,Leakage-free spatial + D2,2,0.8426846221000888,0.8554108599836531
genvideo,L0,Same-grid D2,8,0.8100807446803252,0.7945953022995913
genvideo,L1,Global-residual D2,8,0.519328497123851,0.5193021089371475
genvideo,L2,Spatial-median residual D2,8,0.7880713964682579,0.7743003568540496
genvideo,L3,Persistent same-grid D2,8,0.7744640050547758,0.7519831871575431
genvideo,Ls,Local spatial,8,0.7203850738049702,0.7095217563151626
genvideo,P0,Leakage-free spatial + D2,8,0.8131082631147452,0.8005808798575922
videofeedback,L0,Same-grid D2,10,0.7807305555555556,0.7897181523425916
videofeedback,L1,Global-residual D2,10,0.5079977777777778,0.5077222222222222
videofeedback,L2,Spatial-median residual D2,10,0.7192683333333333,0.7375746604938616
videofeedback,L3,Persistent same-grid D2,10,0.7505622222222222,0.7663102676990328
videofeedback,Ls,Local spatial,10,0.648683888888889,0.6443993467956595
videofeedback,P0,Leakage-free spatial + D2,10,0.7820227777777778,0.792610791056702
Macro-3,L0,Same-grid D2,20,0.8098001935156635,0.8040446531594524
Macro-3,L1,Global-residual D2,20,0.5187634516469715,0.5186179429361555
Macro-3,L2,Spatial-median residual D2,20,0.7626925781911309,0.765492726195137
Macro-3,L3,Persistent same-grid D2,20,0.7876540996742246,0.7817983533329137
Macro-3,Ls,Local spatial,20,0.6987845371931765,0.7003916092476193
Macro-3,P0,Leakage-free spatial + D2,20,0.8126052209975372,0.816200843632649
