dataset,generator,config,delta_auc_vs_L0,delta_ap_vs_L0
comgenvid,Sora,L1,-0.2993009707293117,-0.28710218184519776
comgenvid,VEO3,L1,-0.31994942981433616,-0.3108798325289568
genvideo,Crafter,L1,-0.256408442734269,-0.2279507681451236
genvideo,Gen2,L1,-0.34627310438983416,-0.3570541350926927
genvideo,Lavie,L1,-0.28923010204081634,-0.2770753682679188
genvideo,ModelScope,L1,-0.30038979591836745,-0.2920940220658228
genvideo,MorphStudio,L1,-0.259472448979592,-0.2352342893688708
genvideo,Show_1,L1,-0.2886928571428572,-0.27741227572481686
genvideo,Sora,L1,-0.3694196428571428,-0.37903355307091435
genvideo,WildScrape,L1,-0.21613158638891505,-0.1564911351633903
videofeedback,AnimateDiff,L1,-0.2731888888888887,-0.2825763762397209
videofeedback,Fast-SVD,L1,-0.31418333333333337,-0.3477578656532587
videofeedback,LVDM,L1,-0.32552222222222227,-0.33294762819197243
videofeedback,LaVie-base,L1,-0.23772222222222228,-0.24312174123792507
videofeedback,ModelScope,L1,-0.26454999999999995,-0.25244658778347306
videofeedback,Pika,L1,-0.35806111111111116,-0.37222733287554943
videofeedback,SoRA-Clip,L1,-0.2169944444444445,-0.21623347771513934
videofeedback,Text2Video-Zero,L1,-0.08085000000000009,-0.11743128227622679
videofeedback,VideoCrafter2,L1,-0.29881666666666673,-0.30756041614408114
videofeedback,ZeroScope-576w,L1,-0.357438888888889,-0.3476565930863469
comgenvid,Sora,L2,-0.057675185142930685,-0.043304659077068375
comgenvid,VEO3,L2,-0.058027365935684805,-0.043130028120279995
genvideo,Crafter,L2,-0.010666591217745713,-0.015105769906335165
genvideo,Gen2,L2,-0.03511210880067217,-0.02249803817879914
genvideo,Lavie,L2,-0.04087270408163268,-0.03874783423113348
genvideo,ModelScope,L2,0.01285612244897949,0.006003004697335168
genvideo,MorphStudio,L2,-0.032770408163265485,-0.03660837375963
genvideo,Show_1,L2,-0.022350000000000092,-0.02430068609816849
genvideo,Sora,L2,-0.030133928571428492,-0.031555546285513714
genvideo,WildScrape,L2,-0.01702516731077397,0.000453680197912143
videofeedback,AnimateDiff,L2,-0.03641111111111095,-0.03435094597118471
videofeedback,Fast-SVD,L2,-0.03867777777777781,-0.029388006556537616
videofeedback,LVDM,L2,-0.08703888888888878,-0.06985713340665767
videofeedback,LaVie-base,L2,-0.07801111111111114,-0.05837276613625575
videofeedback,ModelScope,L2,-0.06243888888888882,-0.06424907184859141
videofeedback,Pika,L2,-0.042788888888888876,-0.038689088471552835
videofeedback,SoRA-Clip,L2,-0.03517222222222227,-0.042768652455895895
videofeedback,Text2Video-Zero,L2,-0.11667777777777788,-0.0820104378143508
videofeedback,VideoCrafter2,L2,-0.04117222222222228,-0.03288038061367238
videofeedback,ZeroScope-576w,L2,-0.07623333333333338,-0.06886843521260122
comgenvid,Sora,L3,-0.0005716737516181514,-0.00044941641402107546
comgenvid,VEO3,L3,-0.0007347433792490587,-0.0009883829739966155
genvideo,Crafter,L3,-0.039257016749660534,-0.05156532177623696
genvideo,Gen2,L3,-0.05216498634740607,-0.05114376953899957
genvideo,Lavie,L3,-0.012920663265306054,-0.013481267046813183
genvideo,ModelScope,L3,-0.058329591836734695,-0.067895575637693
genvideo,MorphStudio,L3,-0.04419897959183694,-0.045679206248325
genvideo,Show_1,L3,-0.0348397959183675,-0.05181915637699974
genvideo,Sora,L3,-0.016262755102040782,-0.013315041854500054
genvideo,WildScrape,L3,-0.02696012819304372,-0.04599758265681797
videofeedback,AnimateDiff,L3,-0.06703888888888854,-0.051130627288847985
videofeedback,Fast-SVD,L3,-0.032783333333333275,-0.035000477509393835
videofeedback,LVDM,L3,-0.04871111111111115,-0.03393165248792418
videofeedback,LaVie-base,L3,-0.0037222222222222934,0.0008727590026055276
videofeedback,ModelScope,L3,-0.018683333333333274,-0.014686828691047316
videofeedback,Pika,L3,-0.038899999999999935,-0.034637828208955
videofeedback,SoRA-Clip,L3,-0.011288888888888904,-0.005189868814893583
videofeedback,Text2Video-Zero,L3,-0.017311111111111166,-0.02772304769504086
videofeedback,VideoCrafter2,L3,-0.018444444444444485,-0.00593758233049646
videofeedback,ZeroScope-576w,L3,-0.04480000000000017,-0.02671369241159416
comgenvid,Sora,P0,0.004631053417393893,0.028708071435789573
comgenvid,VEO3,P0,0.0035596301605647085,0.026472638859168507
genvideo,Crafter,P0,0.00530500226346764,0.0066242904373715605
genvideo,Gen2,P0,0.0008924070573408383,0.0054371760283198345
genvideo,Lavie,P0,0.002044132653061248,0.005645643333968442
genvideo,ModelScope,P0,0.0029765306122447877,0.006658852174479701
genvideo,MorphStudio,P0,0.003997959183673405,0.007374381730246404
genvideo,Show_1,P0,0.0029040816326529884,0.004227351086147468
genvideo,Sora,P0,0.0027104591836735192,0.00671152655798779
