dataset,generator,config,config_name,n_real,n_fake,auc,ap
comgenvid,Sora,Ls,Local spatial,898,898,0.7241624545513166,0.7492711161372039
comgenvid,Sora,L0,Same-grid D2,898,898,0.82827776151904,0.8163028747429953
comgenvid,Sora,L1,Global-residual D2,898,898,0.5289767907897283,0.5292006928977976
comgenvid,Sora,L2,Spatial-median residual D2,898,898,0.7706025763761093,0.772998215665927
comgenvid,Sora,L3,Persistent same-grid D2,898,898,0.8277060877674218,0.8158534583289743
comgenvid,Sora,P0,Leakage-free spatial + D2,898,898,0.8329088149364339,0.8450109461787849
comgenvid,VEO3,Ls,Local spatial,898,898,0.7304068432200236,0.7452363331268683
comgenvid,VEO3,L0,Same-grid D2,898,898,0.8489007991031791,0.8393381349293527
comgenvid,VEO3,L1,Global-residual D2,898,898,0.5289513692888429,0.5284583024003959
comgenvid,VEO3,L2,Spatial-median residual D2,898,898,0.7908734331674943,0.7962081068090727
comgenvid,VEO3,L3,Persistent same-grid D2,898,898,0.84816605572393,0.8383497519553561
comgenvid,VEO3,P0,Leakage-free spatial + D2,898,898,0.8524604292637438,0.8658107737885212
genvideo,Crafter,Ls,Local spatial,188,188,0.7339718198279764,0.7204902730291418
genvideo,Crafter,L0,Same-grid D2,188,188,0.7750254640108647,0.7465677894217194
genvideo,Crafter,L1,Global-residual D2,188,188,0.5186170212765957,0.5186170212765958
genvideo,Crafter,L2,Spatial-median residual D2,188,188,0.764358872793119,0.7314620195153843
genvideo,Crafter,L3,Persistent same-grid D2,188,188,0.7357684472612042,0.6950024676454825
genvideo,Crafter,P0,Leakage-free spatial + D2,188,188,0.7803304662743323,0.753192079859091
genvideo,Gen2,Ls,Local spatial,1380,1380,0.7199474900231044,0.7204116968793721
genvideo,Gen2,L0,Same-grid D2,1380,1380,0.8698212035286705,0.8803032277934402
genvideo,Gen2,L1,Global-residual D2,1380,1380,0.5235480991388364,0.5232490927007475
genvideo,Gen2,L2,Spatial-median residual D2,1380,1380,0.8347090947279984,0.857805189614641
genvideo,Gen2,L3,Persistent same-grid D2,1380,1380,0.8176562171812645,0.8291594582544406
genvideo,Gen2,P0,Leakage-free spatial + D2,1380,1380,0.8707136105860114,0.88574040382176
genvideo,Lavie,Ls,Local spatial,1400,1400,0.7175642857142858,0.7055242659774301
genvideo,Lavie,L0,Same-grid D2,1400,1400,0.8120857142857143,0.7995634422854045
genvideo,Lavie,L1,Global-residual D2,1400,1400,0.522855612244898,0.5224880740174858
genvideo,Lavie,L2,Spatial-median residual D2,1400,1400,0.7712130102040816,0.7608156080542711
genvideo,Lavie,L3,Persistent same-grid D2,1400,1400,0.7991650510204082,0.7860821752385914
genvideo,Lavie,P0,Leakage-free spatial + D2,1400,1400,0.8141298469387755,0.805209085619373
genvideo,ModelScope,Ls,Local spatial,700,700,0.7203714285714286,0.7118410440714843
genvideo,ModelScope,L0,Same-grid D2,700,700,0.8196755102040817,0.8113797363515372
genvideo,ModelScope,L1,Global-residual D2,700,700,0.5192857142857142,0.5192857142857144
