dataset,subset,source_model,filename,L0,L1,L2,L3,Ls,P0
comgenvid,annotated,Sora,-ahmed-_776843120%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,0065464654_4804233%2Fmd.mp4,0.0,0.0,0.0,0.0,0.004999999888241291,0.0004999999888241291
comgenvid,annotated,Sora,050221_138598904%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,09045_552603156%2Fmd.mp4,0.004999999888241291,0.0,0.054999999701976776,0.004999999888241291,0.02500000037252903,0.006999999936670066
comgenvid,annotated,Sora,111111111111_421748285%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,1121231231231231_643574533%2Fmd.mp4,0.004999999888241291,0.0,0.03500000014901161,0.004999999888241291,0.014999999664723873,0.00599999986588955
comgenvid,annotated,Sora,12345-90086_161537791%2Fmd.mp4,0.004999999888241291,0.0,0.04500000178813934,0.004999999888241291,0.03500000014901161,0.007999999914318323
comgenvid,annotated,Sora,12348822_520388045%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,1235311_468903194%2Fmd.mp4,0.0,0.0,0.0,0.0,0.004999999888241291,0.0004999999888241291
comgenvid,annotated,Sora,1554545_990274538%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,1656511_927926754%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,1tree2_75260605%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,2111132_923581868%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,22225591_159614590%2Fmd.mp4,0.0,0.0,0.0,0.0,0.004999999888241291,0.0004999999888241291
comgenvid,annotated,Sora,22322777_980901699%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,23234111213123123123_474219769%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,23446k_310435470%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,247axel_879229487%2Fmd.mp4,0.004999999888241291,0.0,0.03500000014901161,0.004999999888241291,0.004999999888241291,0.004999999888241292
comgenvid,annotated,Sora,2592108_968226828%2Fmd.mp4,0.004999999888241291,0.0,0.17499999701976776,0.004999999888241291,0.009999999776482582,0.0054999998770654205
comgenvid,annotated,Sora,2kota_345048458%2Fmd.mp4,0.0,0.0,0.0,0.0,0.009999999776482582,0.0009999999776482583
comgenvid,annotated,Sora,2mas_968402667%2Fmd.mp4,0.004999999888241291,0.0,0.0,0.004999999888241291,0.014999999664723873,0.00599999986588955
comgenvid,annotated,Sora,331212222122_15392619%2Fmd.mp4,0.0,0.0,0.0,0.0,0.004999999888241291,0.0004999999888241291
comgenvid,annotated,Sora,35h_783477259%2Fmd.mp4,0.004999999888241291,0.0,0.0,0.004999999888241291,0.014999999664723873,0.00599999986588955
comgenvid,annotated,Sora,360video_921703662%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,3769_109597890%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,3dq_200412742%2Fmd.mp4,0.0,0.0,0.004999999888241291,0.0,0.0,0.0
comgenvid,annotated,Sora,40-_747442607%2Fmd.mp4,0.0,0.0,0.004999999888241291,0.0,0.014999999664723873,0.0014999999664723875
comgenvid,annotated,Sora,444enki_753218487%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,454555555555555555555555_393753335%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,54888787787_225275064%2Fmd.mp4,0.0,0.0,0.019999999552965164,0.0,0.0,0.0
comgenvid,annotated,Sora,5ej_26436982%2Fmd.mp4,0.014999999664723873,0.0,0.15000000596046448,0.004999999888241291,0.004999999888241291,0.013999999687075616
comgenvid,annotated,Sora,624329_926004613%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
