source_model,encoder,loss,n_total,n_ok,n_failed,d3_official_real_ap,real_auc,fake_ap_with_neg_score,fake_auc_with_neg_score,metrics_path
Crafter,XCLIP-16,l2,2000,2000,0,0.827356612284557,0.842826,0.862873537120591,0.8428260000000001,Crafter_head1000_XCLIP-16_l2_metrics.csv
Gen2,XCLIP-16,l2,2000,2000,0,0.9150692688265638,0.9111049999999998,0.9104166610967132,0.911105,Gen2_head1000_XCLIP-16_l2_metrics.csv
HotShot,XCLIP-16,l2,1700,1700,0,0.8287239787882915,0.7762371428571428,0.7050522171850606,0.7762371428571428,HotShot_head1000_XCLIP-16_l2_metrics.csv
Lavie,XCLIP-16,l2,2000,2000,0,0.7646905181541117,0.7812490000000001,0.7845522052375742,0.781249,Lavie_head1000_XCLIP-16_l2_metrics.csv
ModelScope,XCLIP-16,l2,1700,1700,0,0.7595866126616663,0.7163200000000001,0.6381463033208117,0.7163200000000001,ModelScope_head1000_XCLIP-16_l2_metrics.csv
MoonValley,XCLIP-16,l2,1626,1626,0,0.9262668464413965,0.8970766773162939,0.8697534237629418,0.8970766773162939,MoonValley_head1000_XCLIP-16_l2_metrics.csv
MorphStudio,XCLIP-16,l2,1700,1700,0,0.8284831829052307,0.7650457142857143,0.7032710662133755,0.7650457142857143,MorphStudio_head1000_XCLIP-16_l2_metrics.csv
Show_1,XCLIP-16,l2,1700,1700,0,0.8828480389103297,0.8349771428571429,0.7658476038995214,0.8349771428571429,Show_1_head1000_XCLIP-16_l2_metrics.csv
Sora,XCLIP-16,l2,1056,1056,0,0.9811560581931384,0.7733392857142857,0.2313269699780356,0.7733392857142857,Sora_head1000_XCLIP-16_l2_metrics.csv
WildScrape,XCLIP-16,l2,1544,1544,0,0.8150742792636196,0.7132150735294117,0.5556113529921817,0.7132150735294117,WildScrape_head1000_XCLIP-16_l2_metrics.csv
