content_path,label,type_id,source_model,filename,n_read_frames,encoder,loss,d3_second_order_std,status,error
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2801,0,Real Video,MSR-VTT,video2801.mp4,16,XCLIP-16,l2,4.709959983825684,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2802,0,Real Video,MSR-VTT,video2802.mp4,16,XCLIP-16,l2,2.3506722450256348,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2803,0,Real Video,MSR-VTT,video2803.mp4,16,XCLIP-16,l2,3.957540512084961,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2804,0,Real Video,MSR-VTT,video2804.mp4,16,XCLIP-16,l2,4.970879077911377,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2805,0,Real Video,MSR-VTT,video2805.mp4,16,XCLIP-16,l2,1.1755932569503784,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2806,0,Real Video,MSR-VTT,video2806.mp4,16,XCLIP-16,l2,2.325873374938965,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2807,0,Real Video,MSR-VTT,video2807.mp4,16,XCLIP-16,l2,2.059532880783081,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2808,0,Real Video,MSR-VTT,video2808.mp4,16,XCLIP-16,l2,2.646763801574707,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2809,0,Real Video,MSR-VTT,video2809.mp4,16,XCLIP-16,l2,2.6775810718536377,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video281,0,Real Video,MSR-VTT,video281.mp4,16,XCLIP-16,l2,3.801079034805298,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2810,0,Real Video,MSR-VTT,video2810.mp4,16,XCLIP-16,l2,3.5937016010284424,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2811,0,Real Video,MSR-VTT,video2811.mp4,16,XCLIP-16,l2,1.2053321599960327,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2812,0,Real Video,MSR-VTT,video2812.mp4,16,XCLIP-16,l2,6.017962455749512,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2813,0,Real Video,MSR-VTT,video2813.mp4,16,XCLIP-16,l2,4.71698522567749,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2814,0,Real Video,MSR-VTT,video2814.mp4,16,XCLIP-16,l2,2.159529685974121,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2815,0,Real Video,MSR-VTT,video2815.mp4,16,XCLIP-16,l2,8.338685989379883,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2816,0,Real Video,MSR-VTT,video2816.mp4,16,XCLIP-16,l2,8.28095531463623,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2817,0,Real Video,MSR-VTT,video2817.mp4,16,XCLIP-16,l2,2.4042305946350098,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2818,0,Real Video,MSR-VTT,video2818.mp4,16,XCLIP-16,l2,2.0975027084350586,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2819,0,Real Video,MSR-VTT,video2819.mp4,16,XCLIP-16,l2,6.428750514984131,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video282,0,Real Video,MSR-VTT,video282.mp4,16,XCLIP-16,l2,3.2399189472198486,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2820,0,Real Video,MSR-VTT,video2820.mp4,16,XCLIP-16,l2,2.7974393367767334,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2821,0,Real Video,MSR-VTT,video2821.mp4,16,XCLIP-16,l2,4.268647193908691,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2822,0,Real Video,MSR-VTT,video2822.mp4,16,XCLIP-16,l2,3.7843639850616455,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2823,0,Real Video,MSR-VTT,video2823.mp4,16,XCLIP-16,l2,3.277429342269897,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2824,0,Real Video,MSR-VTT,video2824.mp4,16,XCLIP-16,l2,2.009974479675293,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2825,0,Real Video,MSR-VTT,video2825.mp4,16,XCLIP-16,l2,0.9890015721321106,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2826,0,Real Video,MSR-VTT,video2826.mp4,16,XCLIP-16,l2,1.9825761318206787,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2827,0,Real Video,MSR-VTT,video2827.mp4,16,XCLIP-16,l2,7.556744575500488,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2828,0,Real Video,MSR-VTT,video2828.mp4,16,XCLIP-16,l2,1.4216248989105225,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2829,0,Real Video,MSR-VTT,video2829.mp4,16,XCLIP-16,l2,2.8148016929626465,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video283,0,Real Video,MSR-VTT,video283.mp4,16,XCLIP-16,l2,9.562692642211914,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2830,0,Real Video,MSR-VTT,video2830.mp4,16,XCLIP-16,l2,6.551474094390869,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2831,0,Real Video,MSR-VTT,video2831.mp4,16,XCLIP-16,l2,2.6468026638031006,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2832,0,Real Video,MSR-VTT,video2832.mp4,16,XCLIP-16,l2,1.077322244644165,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2833,0,Real Video,MSR-VTT,video2833.mp4,16,XCLIP-16,l2,2.7949910163879395,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2834,0,Real Video,MSR-VTT,video2834.mp4,16,XCLIP-16,l2,7.028549671173096,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2835,0,Real Video,MSR-VTT,video2835.mp4,16,XCLIP-16,l2,1.9468955993652344,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2836,0,Real Video,MSR-VTT,video2836.mp4,16,XCLIP-16,l2,3.2416062355041504,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2837,0,Real Video,MSR-VTT,video2837.mp4,16,XCLIP-16,l2,2.7816286087036133,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2838,0,Real Video,MSR-VTT,video2838.mp4,16,XCLIP-16,l2,4.496223449707031,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2839,0,Real Video,MSR-VTT,video2839.mp4,16,XCLIP-16,l2,2.292099714279175,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video284,0,Real Video,MSR-VTT,video284.mp4,16,XCLIP-16,l2,3.618641376495361,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2840,0,Real Video,MSR-VTT,video2840.mp4,16,XCLIP-16,l2,2.4635915756225586,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2841,0,Real Video,MSR-VTT,video2841.mp4,16,XCLIP-16,l2,6.67759370803833,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2842,0,Real Video,MSR-VTT,video2842.mp4,16,XCLIP-16,l2,2.018712282180786,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2843,0,Real Video,MSR-VTT,video2843.mp4,16,XCLIP-16,l2,8.116310119628906,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2844,0,Real Video,MSR-VTT,video2844.mp4,16,XCLIP-16,l2,5.340581893920898,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2845,0,Real Video,MSR-VTT,video2845.mp4,16,XCLIP-16,l2,6.075048446655273,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2846,0,Real Video,MSR-VTT,video2846.mp4,16,XCLIP-16,l2,6.501182556152344,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2847,0,Real Video,MSR-VTT,video2847.mp4,16,XCLIP-16,l2,1.8143564462661743,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2848,0,Real Video,MSR-VTT,video2848.mp4,16,XCLIP-16,l2,2.3308210372924805,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2849,0,Real Video,MSR-VTT,video2849.mp4,16,XCLIP-16,l2,0.8876242637634277,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video285,0,Real Video,MSR-VTT,video285.mp4,16,XCLIP-16,l2,2.367507219314575,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2850,0,Real Video,MSR-VTT,video2850.mp4,16,XCLIP-16,l2,3.143219232559204,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2851,0,Real Video,MSR-VTT,video2851.mp4,16,XCLIP-16,l2,4.547445774078369,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2852,0,Real Video,MSR-VTT,video2852.mp4,16,XCLIP-16,l2,7.587310791015625,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2853,0,Real Video,MSR-VTT,video2853.mp4,16,XCLIP-16,l2,2.50456166267395,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2854,0,Real Video,MSR-VTT,video2854.mp4,16,XCLIP-16,l2,7.478724002838135,ok,
cache/d3_frames/genvideo_xclip16_official/real/MSR-VTT/video2855,0,Real Video,MSR-VTT,video2855.mp4,16,XCLIP-16,l2,3.5334742069244385,ok,
