dataset,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant,method,observation
comgenvid,0.9167483048199165,0.9216015031022864,0.9138904949225257,0.07126948775055679,0.30734966592427615,0.35523385300668153,full,完整主线,fc3
genvideo,0.8892450957598173,0.8735102031076163,0.8946116582081215,0.14722609146853374,0.3094510597454541,0.48070174937762034,full,完整主线,fc3
videofeedback,0.8383911111111111,0.8522201963641811,0.8096269487959284,0.024333333333333335,0.10900000000000001,0.5056666666666667,full,完整主线,fc3
Macro-3,0.8814615038969483,0.8824439675246946,0.8727097006421918,0.08094297085080795,0.24193357522324344,0.44720075635032286,full,完整主线,fc3
comgenvid,0.8998089047177346,0.9087608146956674,0.8932569341924141,0.055122494432071276,0.2706013363028953,0.3986636971046771,global_only,去Local,fc3
genvideo,0.8804683210947798,0.8638334367602545,0.882334844532904,0.08542772163067107,0.2116187981753509,0.5218295243719215,global_only,去Local,fc3
videofeedback,0.8369877777777779,0.8560731334018932,0.8077044101955085,0.028666666666666667,0.12733333333333333,0.48933333333333334,global_only,去Local,fc3
Macro-3,0.8724216678634308,0.8762224616192716,0.8610987296402756,0.05640562757646967,0.20318448927052649,0.469942184936644,global_only,去Local,fc3
comgenvid,0.8968671410360067,0.8972737863265313,0.899514529970886,0.10022271714922049,0.30902004454342985,0.45657015590200445,local_only,去Global,fc3
genvideo,0.8595832581409615,0.8457562631101646,0.8675729393120463,0.09524489747040783,0.2933441870209729,0.5747389098059492,local_only,去Global,fc3
videofeedback,0.7808244444444444,0.7879565512542105,0.7584311754713536,0.016666666666666666,0.06033333333333333,0.6393333333333333,local_only,去Global,fc3
Macro-3,0.8457582812071376,0.8436622002303021,0.8418395482514286,0.07071142709543166,0.22089918829924537,0.5568807996804289,local_only,去Global,fc3
comgenvid,0.9021870551237345,0.9058022230479972,0.9029460981370283,0.042316258351893093,0.33407572383073497,0.3975501113585746,without_gs,去Global空间,fc3
genvideo,0.8622236393922896,0.8421692968253953,0.8701035270712449,0.15488503243730337,0.245661308598954,0.5577344682540395,without_gs,去Global空间,fc3
videofeedback,0.8527283333333333,0.8615370053508856,0.838842807220398,0.058333333333333334,0.15033333333333335,0.4806666666666667,without_gs,去Global空间,fc3
Macro-3,0.8723796759497858,0.8698361750747594,0.8706308108095571,0.08517820804084326,0.2433567885876741,0.4786504154264269,without_gs,去Global空间,fc3
comgenvid,0.9161791112147262,0.9234830576203101,0.9074339238909668,0.06124721603563474,0.2544543429844098,0.34743875278396436,without_gt,去Global时序,fc3
genvideo,0.89972771203888,0.8913567709388976,0.9009714263915551,0.12917204793595766,0.31798486433812634,0.43747705529631087,without_gt,去Global时序,fc3
videofeedback,0.8107272222222223,0.8287716310258624,0.7667105033762663,0.022666666666666665,0.061,0.5426666666666666,without_gt,去Global时序,fc3
Macro-3,0.8755446818252762,0.8812038198616902,0.8583719512195961,0.07102864354608636,0.21114640244084537,0.4425274915823139,without_gt,去Global时序,fc3
