dataset,metric,delta,source_groups,generator_cells,ci95_low,ci95_high,contrast
comgenvid,auc,0.016939400102182034,4091.0,2.0,0.010624362772845505,0.02329037069735106,full minus global_only
comgenvid,ap_real,0.012840688406619005,4091.0,2.0,0.006841201296059976,0.019552608209794466,full minus global_only
genvideo,auc,0.008776774665037443,13623.0,8.0,0.002312968425624225,0.01562105029489429,full minus global_only
genvideo,ap_real,0.009676766347361823,13623.0,8.0,0.0025721225518542438,0.016406588989736192,full minus global_only
videofeedback,auc,0.0014033333333333341,3500.0,10.0,-0.012838425913436003,0.014827324298303104,full minus global_only
videofeedback,ap_real,-0.0038529370377121674,3500.0,10.0,-0.015479087222711683,0.00818653995322173,full minus global_only
Macro-3,auc,0.009039836033517603,,,0.003385485346739921,0.014605392845338724,full minus global_only
Macro-3,ap_real,0.006221505905422887,,,0.0012125128061540862,0.011520445935543194,full minus global_only
comgenvid,auc,0.01988116378390986,4091.0,2.0,0.013590754440761863,0.026204907606313547,full minus local_only
comgenvid,ap_real,0.024327716775755126,4091.0,2.0,0.017999382942385223,0.031992648252340085,full minus local_only
genvideo,auc,0.029661837618855796,13623.0,8.0,0.023528138212526205,0.036131119133949854,full minus local_only
genvideo,ap_real,0.02775393999745164,13623.0,8.0,0.02101695204972866,0.03580318891490486,full minus local_only
videofeedback,auc,0.057566666666666724,3500.0,10.0,0.042645636950789816,0.07318186897204931,full minus local_only
videofeedback,ap_real,0.0642636451099706,3500.0,10.0,0.0507934565797095,0.07798977553880636,full minus local_only
Macro-3,auc,0.03570322268981079,,,0.03012700643261613,0.04142475242431581,full minus local_only
Macro-3,ap_real,0.03878176729439246,,,0.03294420596620644,0.0443995206760873,full minus local_only
comgenvid,auc,0.01456124969618211,4091.0,2.0,0.010381877430134353,0.018704559900884578,full minus without_gs
comgenvid,ap_real,0.015799280054289322,4091.0,2.0,0.011419839357469463,0.020549788376542793,full minus without_gs
genvideo,auc,0.027021456367527646,13623.0,8.0,0.022595701056501074,0.03196454619106248,full minus without_gs
genvideo,ap_real,0.03134090628222093,13623.0,8.0,0.0258729648347816,0.03635745839282876,full minus without_gs
videofeedback,auc,-0.014337222222222158,3500.0,10.0,-0.023010187226175143,-0.005695700370782438,full minus without_gs
videofeedback,ap_real,-0.00931680898670455,3500.0,10.0,-0.015724115204534865,-0.0027345670248369244,full minus without_gs
Macro-3,auc,0.009081827947162533,,,0.005557094878943938,0.012424207994624922,full minus without_gs
Macro-3,ap_real,0.012607792449935235,,,0.009451976213958628,0.015779653729836095,full minus without_gs
comgenvid,auc,0.0005691936051904767,4091.0,2.0,-0.002621887069533721,0.004087451033527141,full minus without_gt
comgenvid,ap_real,-0.0018815545180236315,4091.0,2.0,-0.005002243876886883,0.001300987839982852,full minus without_gt
genvideo,auc,-0.010482616279062773,13623.0,8.0,-0.013822764320542698,-0.007306308464383325,full minus without_gt
genvideo,ap_real,-0.017846567831281412,13623.0,8.0,-0.022244253150814356,-0.013058926487098683,full minus without_gt
videofeedback,auc,0.027663888888888932,3500.0,10.0,0.01947456675313972,0.035685396261708954,full minus without_gt
videofeedback,ap_real,0.02344856533831876,3500.0,10.0,0.017130930489477336,0.029791524182905205,full minus without_gt
Macro-3,auc,0.005916822071672212,,,0.002874470737646884,0.008870439916745618,full minus without_gt
Macro-3,ap_real,0.0012401476630045719,,,-0.0014143668843963825,0.004003495326486127,full minus without_gt
comgenvid,auc,0.05373392245078151,4091.0,2.0,0.04140613639375358,0.06684255026882233,full minus official_global
comgenvid,ap_real,0.04930686894678726,4091.0,2.0,0.035946109737791825,0.06319548129998792,full minus official_global
genvideo,auc,0.047112435106315756,13623.0,8.0,0.03340229585496602,0.061057877599410004,full minus official_global
genvideo,ap_real,0.04961566653893984,13623.0,8.0,0.03367423063849003,0.06642430298447963,full minus official_global
videofeedback,auc,-0.015160555555555521,3500.0,10.0,-0.03618765190466091,0.004767124456913844,full minus official_global
videofeedback,ap_real,-0.01452239013875537,3500.0,10.0,-0.031053867827902315,0.0017270842330545787,full minus official_global
Macro-3,auc,0.028561934000513916,,,0.019364764835627477,0.03786183491079141,full minus official_global
Macro-3,ap_real,0.028133381782323913,,,0.01985546235235166,0.03744420875594436,full minus official_global
comgenvid,auc,0.005571648950154107,4091.0,2.0,0.004465755052453617,0.0067729519575267065,full minus local_d1_target
comgenvid,ap_real,0.0049773360707483505,4091.0,2.0,0.003889583355453673,0.006279871595297635,full minus local_d1_target
genvideo,auc,0.004138025090526229,13623.0,8.0,0.002672440449872926,0.005575156403365275,full minus local_d1_target
genvideo,ap_real,0.0058229206291239705,13623.0,8.0,0.004361496475766367,0.007525236790711025,full minus local_d1_target
videofeedback,auc,0.0052188888888889395,3500.0,10.0,0.0018167724815874628,0.008264493216786241,full minus local_d1_target
videofeedback,ap_real,0.00858738692809482,3500.0,10.0,0.005460036149326741,0.011856802472449442,full minus local_d1_target
Macro-3,auc,0.004976187643189758,,,0.003633572212910884,0.006187882890753914,full minus local_d1_target
Macro-3,ap_real,0.006462547875989047,,,0.005188952410485204,0.0077457011757510255,full minus local_d1_target
comgenvid,auc,0.2786283302166161,4091.0,2.0,0.2506500357895215,0.30876079091554554,full minus local_raw_d2_target
comgenvid,ap_real,0.19879625352984182,4091.0,2.0,0.16951395712164666,0.2302185795181402,full minus local_raw_d2_target
genvideo,auc,0.29106371349346,13623.0,8.0,0.2673556560528794,0.3148326715034253,full minus local_raw_d2_target
genvideo,ap_real,0.21767405288730368,13623.0,8.0,0.19249572156497222,0.24326110478712162,full minus local_raw_d2_target
videofeedback,auc,0.17337888888888892,3500.0,10.0,0.13654816464910266,0.21106040060050726,full minus local_raw_d2_target
videofeedback,ap_real,0.1070091205977137,3500.0,10.0,0.07735750245024806,0.13797361774925648,full minus local_raw_d2_target
Macro-3,auc,0.24769031086632168,,,0.22972780285900352,0.2661270550218222,full minus local_raw_d2_target
Macro-3,ap_real,0.1744931423382864,,,0.15811438974133515,0.19111037202354964,full minus local_raw_d2_target
comgenvid,auc,0.1985862545324676,4091.0,2.0,0.1784852707930921,0.2208058333148489,full minus local_d2_norm_target
comgenvid,ap_real,0.17090840728961543,4091.0,2.0,0.14764004845800205,0.19613920275184968,full minus local_d2_norm_target
genvideo,auc,0.3314816407509297,13623.0,8.0,0.30758035434280506,0.35603297497781605,full minus local_d2_norm_target
genvideo,ap_real,0.289064250138453,13623.0,8.0,0.2634423209703715,0.31391416019319524,full minus local_d2_norm_target
videofeedback,auc,0.10337000000000003,3500.0,10.0,0.07022917682471304,0.13775216925421516,full minus local_d2_norm_target
videofeedback,ap_real,0.07569199633937941,3500.0,10.0,0.04942010603934958,0.10527207218026002,full minus local_d2_norm_target
Macro-3,auc,0.2111459650944658,,,0.1957722803740594,0.22702965220577095,full minus local_d2_norm_target
Macro-3,ap_real,0.17855488458914928,,,0.16423395597369858,0.19339145351198553,full minus local_d2_norm_target
comgenvid,auc,0.03624640998804579,4091.0,2.0,0.028473087797264283,0.04382313285943042,full minus global_d2_target
comgenvid,ap_real,0.03601376332411049,4091.0,2.0,0.026633191595389846,0.046272080008018704,full minus global_d2_target
genvideo,auc,0.02580795047864215,13623.0,8.0,0.018672795667279585,0.03299827912060376,full minus global_d2_target
genvideo,ap_real,0.028519441985745853,13623.0,8.0,0.020662238312407342,0.03721067425906135,full minus global_d2_target
videofeedback,auc,0.016508333333333392,3500.0,10.0,0.0021668835730796567,0.02994356953842136,full minus global_d2_target
videofeedback,ap_real,0.017015420286537398,3500.0,10.0,0.0035464069122659128,0.031160583454273107,full minus global_d2_target
Macro-3,auc,0.02618756460000711,,,0.020001110423015424,0.03199562716034296,full minus global_d2_target
Macro-3,ap_real,0.027182875198797914,,,0.021135749114937395,0.033287075949487065,full minus global_d2_target
comgenvid,auc,0.04922842644629738,4091.0,2.0,0.03689143780471384,0.061645222084206246,full minus global_source_local_source
comgenvid,ap_real,0.049394481166724014,4091.0,2.0,0.035892685687044984,0.06441512965143897,full minus global_source_local_source
genvideo,auc,0.037593761172173334,13623.0,8.0,0.027466158367115395,0.04902484370816431,full minus global_source_local_source
genvideo,ap_real,0.04434415599026435,13623.0,8.0,0.032405625488096564,0.05697422153534487,full minus global_source_local_source
videofeedback,auc,-0.004322777777777731,3500.0,10.0,-0.01887952576490655,0.009784265927313518,full minus global_source_local_source
videofeedback,ap_real,0.0016410286002117801,3500.0,10.0,-0.010352190244343322,0.013669648727689835,full minus global_source_local_source
Macro-3,auc,0.027499803280230994,,,0.020463441263201924,0.03476993907574641,full minus global_source_local_source
Macro-3,ap_real,0.031793221919066715,,,0.024936945530559976,0.03935557734169828,full minus global_source_local_source
comgenvid,auc,0.006721816856067153,4091.0,2.0,0.0010708659911637692,0.011870047755619513,full minus global_target_local_source
comgenvid,ap_real,0.006782344637830617,4091.0,2.0,-2.5304774324869086e-05,0.013243214477681354,full minus global_target_local_source
genvideo,auc,0.0031554970733085053,13623.0,8.0,-0.0017278874900577956,0.008094151140748455,full minus global_target_local_source
genvideo,ap_real,0.009057782861601166,13623.0,8.0,0.0028210803906979372,0.015880475017085213,full minus global_target_local_source
videofeedback,auc,-0.0077916666666666525,3500.0,10.0,-0.01650421728283418,0.0007094268714511779,full minus global_target_local_source
videofeedback,ap_real,-0.006547603845323524,3500.0,10.0,-0.013987661143740816,0.0007239392697267967,full minus global_target_local_source
Macro-3,auc,0.0006952157542363353,,,-0.003012082424542113,0.004391525299939243,full minus global_target_local_source
Macro-3,ap_real,0.003097507884702753,,,-0.0008352307344239903,0.007097659478586513,full minus global_target_local_source
comgenvid,auc,0.0077392969280906665,4091.0,2.0,0.002875418355815293,0.012885713659297854,full minus global_source_local_target
comgenvid,ap_real,0.00773857347447543,4091.0,2.0,0.0033293155406290006,0.012766912594112582,full minus global_source_local_target
genvideo,auc,0.010646131437225134,13623.0,8.0,0.006009786810427443,0.015281553596772145,full minus global_source_local_target
genvideo,ap_real,0.014898884932152162,13623.0,8.0,0.00902424926824948,0.021629938464640484,full minus global_source_local_target
videofeedback,auc,-0.0022188888888887925,3500.0,10.0,-0.010212699450798477,0.005993636849577884,full minus global_source_local_target
videofeedback,ap_real,0.0018218552883603634,3500.0,10.0,-0.004509096227731711,0.008702859769049338,full minus global_source_local_target
Macro-3,auc,0.0053888464921423365,,,0.0021885748616668568,0.009143949096982682,full minus global_source_local_target
Macro-3,ap_real,0.008153104564995985,,,0.004962664542327163,0.011882627226576717,full minus global_source_local_target
comgenvid,auc,0.0067236769658881035,4091.0,2.0,0.0010802623844242021,0.011877512548031726,full minus local_d2_target_mean_source_whitening
comgenvid,ap_real,0.00678391331263728,4091.0,2.0,-1.3489788516489424e-05,0.0132350998417184,full minus local_d2_target_mean_source_whitening
genvideo,auc,0.0031491374270280204,13623.0,8.0,-0.0017279117033714901,0.00808989296352315,full minus local_d2_target_mean_source_whitening
genvideo,ap_real,0.0090446169514916,13623.0,8.0,0.0028004883665527567,0.01585612587343483,full minus local_d2_target_mean_source_whitening
videofeedback,auc,-0.007799444444444348,3500.0,10.0,-0.016505256588960765,0.0007096344145530738,full minus local_d2_target_mean_source_whitening
videofeedback,ap_real,-0.006556612718647259,3500.0,10.0,-0.013984384503953017,0.0006921822468275192,full minus local_d2_target_mean_source_whitening
