dataset,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant,method,observation
comgenvid,0.9100264879638494,0.9148191584644558,0.9052783406695891,0.06514476614699331,0.272271714922049,0.3741648106904232,global_target_local_source,源均值／源白化,fc3
genvideo,0.8860895986865087,0.8644524202460151,0.8922094742234892,0.12766380715233022,0.2578699093384963,0.525928150004512,global_target_local_source,源均值／源白化,fc3
videofeedback,0.8461827777777777,0.8587678002095046,0.8192136871236493,0.018333333333333333,0.13066666666666665,0.49833333333333335,global_target_local_source,源均值／源白化,fc3
Macro-3,0.8807662881427119,0.8793464596399918,0.8722338340055759,0.07038063554421896,0.22026943030907065,0.46614209800942286,global_target_local_source,源均值／源白化,fc3
comgenvid,0.9100246278540285,0.9148175897896491,0.9052764945790832,0.06514476614699331,0.272271714922049,0.3741648106904232,local_d2_target_mean_source_whitening,目标均值／源白化,fc3
genvideo,0.8860959583327892,0.8644655861561247,0.8922136266196737,0.12766380715233022,0.2578699093384963,0.525928150004512,local_d2_target_mean_source_whitening,目标均值／源白化,fc3
videofeedback,0.8461905555555556,0.8587768090828284,0.8192377707841979,0.018333333333333333,0.13066666666666665,0.49800000000000005,local_d2_target_mean_source_whitening,目标均值／源白化,fc3
Macro-3,0.880770380580791,0.8793533283428675,0.8722426306609851,0.07038063554421896,0.22026943030907065,0.46603098689831174,local_d2_target_mean_source_whitening,目标均值／源白化,fc3
comgenvid,0.9167408643806331,0.9215961595435656,0.9138737736960794,0.07126948775055679,0.30734966592427615,0.35523385300668153,local_d2_source_mean_target_whitening,源均值／目标白化,fc3
genvideo,0.8893276899521986,0.8735466514617068,0.8947468866979488,0.15169037718281947,0.3139153454597398,0.48061246366333465,local_d2_source_mean_target_whitening,源均值／目标白化,fc3
videofeedback,0.8384077777777778,0.8522307217639395,0.8096390390160287,0.024333333333333335,0.10866666666666666,0.5056666666666667,local_d2_source_mean_target_whitening,源均值／目标白化,fc3
Macro-3,0.8814921107035364,0.882457844256404,0.8727532331366857,0.0824310660889032,0.24331055935022752,0.447170994445561,local_d2_source_mean_target_whitening,源均值／目标白化,fc3
comgenvid,0.9167483048199165,0.9216015031022864,0.9138904949225257,0.07126948775055679,0.30734966592427615,0.35523385300668153,full,目标均值／目标完整白化,fc3
genvideo,0.8892450957598173,0.8735102031076163,0.8946116582081215,0.14722609146853374,0.3094510597454541,0.48070174937762034,full,目标均值／目标完整白化,fc3
videofeedback,0.8383911111111111,0.8522201963641811,0.8096269487959284,0.024333333333333335,0.10900000000000001,0.5056666666666667,full,目标均值／目标完整白化,fc3
Macro-3,0.8814615038969483,0.8824439675246946,0.8727097006421918,0.08094297085080795,0.24193357522324344,0.44720075635032286,full,目标均值／目标完整白化,fc3
comgenvid,0.9288489392413728,0.9328914731127596,0.927854909565142,0.11748329621380846,0.37806236080178174,0.29955456570155903,local_d2_target_diagonal,目标对角白化,fc3
genvideo,0.8980363269006063,0.8846438104678191,0.9000185613139726,0.13114725068781452,0.3081694296859597,0.452218023039488,local_d2_target_diagonal,目标对角白化,fc3
videofeedback,0.7828577777777779,0.7973861789686777,0.7628459604046343,0.10666666666666666,0.118,0.5983333333333334,local_d2_target_diagonal,目标对角白化,fc3
Macro-3,0.8699143479732522,0.8716404875164189,0.8635731437612497,0.11843240452276321,0.2680772634959138,0.45003530735812686,local_d2_target_diagonal,目标对角白化,fc3
