dataset,generator,n_real,n_fake,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant,method,observation
comgenvid,Sora,898,898,0.8943866845898583,0.8976333894931593,0.890596099519847,0.053452115812917596,0.24164810690423164,0.43318485523385303,global_target_local_source,源均值／源白化,fc3
comgenvid,VEO3,898,898,0.9256662913378406,0.9320049274357524,0.9199605818193313,0.07683741648106904,0.3028953229398664,0.3151447661469933,global_target_local_source,源均值／源白化,fc3
genvideo,Crafter,188,188,0.870246717971933,0.8262041720206975,0.89110494713046,0.20212765957446807,0.21808510638297873,0.7074468085106383,global_target_local_source,源均值／源白化,fc3
genvideo,Gen2,1380,1380,0.9502194917034237,0.9571102524131546,0.9397226287084932,0.034057971014492754,0.3144927536231884,0.21159420289855072,global_target_local_source,源均值／源白化,fc3
genvideo,Lavie,1400,1400,0.9011012755102041,0.8850637199151974,0.9002500634324555,0.027857142857142858,0.25214285714285717,0.4764285714285714,global_target_local_source,源均值／源白化,fc3
genvideo,ModelScope,700,700,0.8764591836734694,0.8762041906383253,0.8747762542212539,0.11,0.22857142857142856,0.5171428571428571,global_target_local_source,源均值／源白化,fc3
genvideo,MorphStudio,700,700,0.8817591836734693,0.8683426010929751,0.8827575669869869,0.09857142857142857,0.25142857142857145,0.5542857142857143,global_target_local_source,源均值／源白化,fc3
genvideo,Show_1,700,700,0.8803734693877553,0.8501629466797422,0.8878649123315074,0.11,0.25857142857142856,0.6128571428571429,global_target_local_source,源均值／源白化,fc3
genvideo,Sora,56,56,0.9298469387755103,0.9327018622579695,0.933236436894703,0.35714285714285715,0.35714285714285715,0.25,global_target_local_source,源均值／源白化,fc3
genvideo,WildScrape,515,515,0.7987105287963051,0.719829616950059,0.8279629840820535,0.08155339805825243,0.1825242718446602,0.8776699029126214,global_target_local_source,源均值／源白化,fc3
videofeedback,AnimateDiff,300,300,0.8518055555555556,0.8704125498664335,0.8130914831584026,0.013333333333333334,0.08,0.45666666666666667,global_target_local_source,源均值／源白化,fc3
videofeedback,Fast-SVD,300,300,0.9131666666666666,0.9222100641005913,0.8985560776716248,0.02666666666666667,0.22333333333333333,0.34,global_target_local_source,源均值／源白化,fc3
videofeedback,LVDM,300,300,0.895811111111111,0.9118344181828608,0.8644611857253486,0.006666666666666667,0.12,0.3333333333333333,global_target_local_source,源均值／源白化,fc3
videofeedback,LaVie-base,300,300,0.8312611111111112,0.841403039425625,0.8113429436020445,0.02666666666666667,0.12333333333333334,0.5866666666666667,global_target_local_source,源均值／源白化,fc3
videofeedback,ModelScope,300,300,0.8282333333333334,0.8349856577045693,0.8070299853528697,0.01,0.13,0.5866666666666667,global_target_local_source,源均值／源白化,fc3
videofeedback,Pika,300,300,0.8734444444444445,0.8972168334937577,0.8400738236084554,0.013333333333333334,0.13666666666666666,0.42,global_target_local_source,源均值／源白化,fc3
videofeedback,SoRA-Clip,300,300,0.8008666666666667,0.8157298735311826,0.7893136055510763,0.023333333333333334,0.14666666666666667,0.6133333333333333,global_target_local_source,源均值／源白化,fc3
videofeedback,Text2Video-Zero,300,300,0.7571500000000001,0.7560837044045595,0.7272710719813718,0.013333333333333334,0.05333333333333334,0.73,global_target_local_source,源均值／源白化,fc3
videofeedback,VideoCrafter2,300,300,0.9170055555555556,0.9220409911961449,0.906714593535558,0.04666666666666667,0.25333333333333335,0.32,global_target_local_source,源均值／源白化,fc3
videofeedback,ZeroScope-576w,300,300,0.7930833333333334,0.815760870189322,0.73428210104974,0.0033333333333333335,0.04,0.5966666666666667,global_target_local_source,源均值／源白化,fc3
comgenvid,Sora,898,898,0.8943854445166443,0.897629253199681,0.8905980307622469,0.053452115812917596,0.24164810690423164,0.43318485523385303,local_d2_target_mean_source_whitening,目标均值／源白化,fc3
