dataset,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant,method,observation
comgenvid,0.8550469119696826,0.8606198446424453,0.8431956925269022,0.02282850779510022,0.16258351893095768,0.5183741648106904,official_single_window,原版STALL单窗,official
genvideo,0.8085403886330192,0.8036178088828625,0.7910502103533922,0.022070329757510363,0.0753517335214265,0.6530611526244727,official_single_window,原版STALL单窗,official
videofeedback,0.8571555555555556,0.8694185037883088,0.8360105617346919,0.028333333333333332,0.13633333333333333,0.48533333333333334,official_single_window,原版STALL单窗,official
Macro-3,0.8402476187194191,0.8445520524378721,0.8234188215383288,0.024410723628647973,0.12475619526190584,0.5522562169228322,official_single_window,原版STALL单窗,official
comgenvid,0.8630143823691351,0.8722946341554991,0.8518902105072572,0.07516703786191536,0.16425389755011136,0.48106904231625836,official_global,官方Global＋FC3,fc3
genvideo,0.8421326606535016,0.8238945365686764,0.841885104517707,0.049473693045471244,0.17610041878314245,0.6353673371174359,official_global,官方Global＋FC3,fc3
videofeedback,0.8535516666666666,0.8667425865029366,0.8310376348877535,0.028333333333333332,0.15666666666666668,0.4876666666666667,official_global,官方Global＋FC3,fc3
Macro-3,0.8528995698964345,0.8543105857423706,0.8416043166375727,0.05099135474690664,0.1656736609999735,0.5347010153667869,official_global,官方Global＋FC3,fc3
comgenvid,0.8998089047177346,0.9087608146956674,0.8932569341924141,0.055122494432071276,0.2706013363028953,0.3986636971046771,global_only,目标Global＋FC3,fc3
genvideo,0.8804683210947798,0.8638334367602545,0.882334844532904,0.08542772163067107,0.2116187981753509,0.5218295243719215,global_only,目标Global＋FC3,fc3
videofeedback,0.8369877777777779,0.8560731334018932,0.8077044101955085,0.028666666666666667,0.12733333333333333,0.48933333333333334,global_only,目标Global＋FC3,fc3
Macro-3,0.8724216678634308,0.8762224616192716,0.8610987296402756,0.05640562757646967,0.20318448927052649,0.469942184936644,global_only,目标Global＋FC3,fc3
comgenvid,0.9167483048199165,0.9216015031022864,0.9138904949225257,0.07126948775055679,0.30734966592427615,0.35523385300668153,full,完整主线,fc3
genvideo,0.8892450957598173,0.8735102031076163,0.8946116582081215,0.14722609146853374,0.3094510597454541,0.48070174937762034,full,完整主线,fc3
videofeedback,0.8383911111111111,0.8522201963641811,0.8096269487959284,0.024333333333333335,0.10900000000000001,0.5056666666666667,full,完整主线,fc3
Macro-3,0.8814615038969483,0.8824439675246946,0.8727097006421918,0.08094297085080795,0.24193357522324344,0.44720075635032286,full,完整主线,fc3
