dataset,generator,n_real,n_fake,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant,method,observation
comgenvid,Sora,898,898,0.8428752833567292,0.8504967127917613,0.829659905751719,0.024498886414253896,0.1492204899777283,0.5423162583518931,official_single_window,原版STALL单窗,official
comgenvid,VEO3,898,898,0.8672185405826359,0.8707429764931294,0.8567314793020855,0.021158129175946547,0.1759465478841871,0.49443207126948774,official_single_window,原版STALL单窗,official
genvideo,Crafter,188,188,0.7989616342236305,0.7886960648272836,0.7853605395257315,0.010638297872340425,0.09574468085106383,0.6914893617021277,official_single_window,原版STALL单窗,official
genvideo,Gen2,1380,1380,0.8782789855072464,0.8884887609487736,0.8598193229740775,0.021014492753623187,0.11231884057971014,0.4420289855072464,official_single_window,原版STALL单窗,official
genvideo,Lavie,1400,1400,0.852422193877551,0.8474074773311387,0.8406537612510969,0.020714285714285713,0.11142857142857143,0.5885714285714285,official_single_window,原版STALL单窗,official
genvideo,ModelScope,700,700,0.774388775510204,0.7783083672284112,0.7489470743691302,0.005714285714285714,0.04285714285714286,0.7028571428571428,official_single_window,原版STALL单窗,official
genvideo,MorphStudio,700,700,0.8245795918367347,0.8354707036321812,0.7951181492727214,0.008571428571428572,0.05142857142857143,0.5585714285714286,official_single_window,原版STALL单窗,official
genvideo,Show_1,700,700,0.8169367346938775,0.8025211407287791,0.8019260070565273,0.012857142857142857,0.06285714285714286,0.6614285714285715,official_single_window,原版STALL单窗,official
genvideo,Sora,56,56,0.7971938775510204,0.812250384150452,0.7755242795621388,0.08928571428571429,0.08928571428571429,0.6785714285714286,official_single_window,原版STALL单窗,official
genvideo,WildScrape,515,515,0.7255613158638892,0.6757995722158799,0.721052548815714,0.007766990291262136,0.036893203883495145,0.9009708737864077,official_single_window,原版STALL单窗,official
videofeedback,AnimateDiff,300,300,0.8587888888888889,0.8773685392317042,0.8337162419264147,0.02,0.10666666666666667,0.45,official_single_window,原版STALL单窗,official
videofeedback,Fast-SVD,300,300,0.893861111111111,0.8962680561725181,0.8812091217356071,0.02,0.18333333333333332,0.44,official_single_window,原版STALL单窗,official
videofeedback,LVDM,300,300,0.8954,0.9166073609812506,0.8508511572946303,0.0,0.07333333333333333,0.33,official_single_window,原版STALL单窗,official
videofeedback,LaVie-base,300,300,0.8428055555555555,0.8548459200789157,0.828277140801501,0.03666666666666667,0.13666666666666666,0.5533333333333333,official_single_window,原版STALL单窗,official
videofeedback,ModelScope,300,300,0.8298000000000001,0.8463419043671703,0.8067916272472235,0.01,0.08666666666666667,0.5466666666666666,official_single_window,原版STALL单窗,official
videofeedback,Pika,300,300,0.8473277777777779,0.8622880435731578,0.8249983245380006,0.023333333333333334,0.1,0.5266666666666666,official_single_window,原版STALL单窗,official
videofeedback,SoRA-Clip,300,300,0.8208722222222221,0.8247391976039236,0.8201617762860645,0.03,0.15666666666666668,0.6333333333333333,official_single_window,原版STALL单窗,official
videofeedback,Text2Video-Zero,300,300,0.8280388888888889,0.8270747810294852,0.8141019119538092,0.023333333333333334,0.11,0.63,official_single_window,原版STALL单窗,official
videofeedback,VideoCrafter2,300,300,0.9445833333333333,0.9506499395646983,0.9389821568667862,0.11333333333333333,0.37,0.22333333333333333,official_single_window,原版STALL单窗,official
videofeedback,ZeroScope-576w,300,300,0.8100777777777779,0.8380012952802647,0.761016158696882,0.006666666666666667,0.04,0.52,official_single_window,原版STALL单窗,official
comgenvid,Sora,898,898,0.8512011349150055,0.8637410689854274,0.8368720302411584,0.07015590200445435,0.13808463251670378,0.4977728285077951,official_global,官方Global＋FC3,fc3
comgenvid,VEO3,898,898,0.8748276298232647,0.880848199325571,0.8669083907733559,0.0801781737193764,0.19042316258351893,0.4643652561247216,official_global,官方Global＋FC3,fc3
genvideo,Crafter,188,188,0.8346253961068357,0.807452120606142,0.8466160828310809,0.031914893617021274,0.15425531914893617,0.675531914893617,official_global,官方Global＋FC3,fc3
genvideo,Gen2,1380,1380,0.9061239760554506,0.9120208124103857,0.8981969659289636,0.02753623188405797,0.2673913043478261,0.39420289855072466,official_global,官方Global＋FC3,fc3
genvideo,Lavie,1400,1400,0.8762260204081632,0.8614627356186675,0.8786168154010494,0.03642857142857143,0.25214285714285717,0.5935714285714285,official_global,官方Global＋FC3,fc3
genvideo,ModelScope,700,700,0.805673469387755,0.7957908108934291,0.7944396159555671,0.004285714285714286,0.08857142857142856,0.6828571428571428,official_global,官方Global＋FC3,fc3
genvideo,MorphStudio,700,700,0.8603102040816326,0.8590987992982688,0.8481074026239115,0.008571428571428572,0.13428571428571429,0.5442857142857143,official_global,官方Global＋FC3,fc3
genvideo,Show_1,700,700,0.8465642857142859,0.8155576461693946,0.8461855198568077,0.011428571428571429,0.16857142857142857,0.71,official_global,官方Global＋FC3,fc3
genvideo,Sora,56,56,0.8529974489795918,0.848958474652256,0.8573182390930465,0.26785714285714285,0.26785714285714285,0.5892857142857143,official_global,官方Global＋FC3,fc3
genvideo,WildScrape,515,515,0.7545404844942973,0.6908148929008675,0.7656001944512294,0.007766990291262136,0.07572815533980583,0.8932038834951457,official_global,官方Global＋FC3,fc3
videofeedback,AnimateDiff,300,300,0.8546333333333334,0.8736376095671664,0.8293228459984232,0.02,0.12666666666666668,0.4533333333333333,official_global,官方Global＋FC3,fc3
videofeedback,Fast-SVD,300,300,0.9041944444444444,0.9085305065368371,0.8919523803627016,0.02666666666666667,0.24,0.37,official_global,官方Global＋FC3,fc3
videofeedback,LVDM,300,300,0.8915166666666667,0.9142076901054674,0.8458438401687766,0.0,0.09666666666666666,0.3433333333333333,official_global,官方Global＋FC3,fc3
videofeedback,LaVie-base,300,300,0.8380555555555554,0.8500436016372851,0.8227508076944409,0.03666666666666667,0.14666666666666667,0.5666666666666667,official_global,官方Global＋FC3,fc3
videofeedback,ModelScope,300,300,0.8255166666666667,0.8423940569366808,0.8030589915699707,0.01,0.12333333333333334,0.56,official_global,官方Global＋FC3,fc3
videofeedback,Pika,300,300,0.8404555555555555,0.8595687067359623,0.8158257283984388,0.02,0.11666666666666667,0.5133333333333333,official_global,官方Global＋FC3,fc3
videofeedback,SoRA-Clip,300,300,0.8087500000000001,0.8142070511308,0.803735225675454,0.03,0.14666666666666667,0.65,official_global,官方Global＋FC3,fc3
videofeedback,Text2Video-Zero,300,300,0.8236000000000001,0.8211948118698325,0.8089156384947737,0.023333333333333334,0.11666666666666667,0.65,official_global,官方Global＋FC3,fc3
videofeedback,VideoCrafter2,300,300,0.9424999999999999,0.9488868973300205,0.937162675155142,0.11333333333333333,0.4066666666666667,0.22666666666666666,official_global,官方Global＋FC3,fc3
videofeedback,ZeroScope-576w,300,300,0.8062944444444445,0.8347549331793129,0.7518082153594134,0.0033333333333333335,0.04666666666666667,0.5433333333333333,official_global,官方Global＋FC3,fc3
comgenvid,Sora,898,898,0.8953285201958324,0.9046277636619601,0.8874454036000431,0.0400890868596882,0.25389755011135856,0.4053452115812918,global_only,目标Global＋FC3,fc3
comgenvid,VEO3,898,898,0.9042892892396367,0.9128938657293748,0.8990684647847853,0.07015590200445435,0.2873051224944321,0.39198218262806234,global_only,目标Global＋FC3,fc3
genvideo,Crafter,188,188,0.8944092349479402,0.8873963538953924,0.8967242996903083,0.09042553191489362,0.2925531914893617,0.5478723404255319,global_only,目标Global＋FC3,fc3
genvideo,Gen2,1380,1380,0.9382023209409787,0.945898077861535,0.9269590986297626,0.04420289855072464,0.22246376811594204,0.26521739130434785,global_only,目标Global＋FC3,fc3
genvideo,Lavie,1400,1400,0.9071535714285714,0.900878266546903,0.9031021775426852,0.05,0.20714285714285716,0.40214285714285714,global_only,目标Global＋FC3,fc3
genvideo,ModelScope,700,700,0.8493622448979592,0.8409555350814564,0.8466022656619558,0.011428571428571429,0.13857142857142857,0.6014285714285714,global_only,目标Global＋FC3,fc3
genvideo,MorphStudio,700,700,0.879830612244898,0.8741864003500907,0.8760033731820281,0.024285714285714285,0.15,0.51,global_only,目标Global＋FC3,fc3
genvideo,Show_1,700,700,0.875495918367347,0.8529836298476133,0.876067064631528,0.022857142857142857,0.13714285714285715,0.5828571428571429,global_only,目标Global＋FC3,fc3
genvideo,Sora,56,56,0.9330357142857143,0.9397149820520108,0.9336667946177173,0.42857142857142855,0.42857142857142855,0.32142857142857145,global_only,目标Global＋FC3,fc3
genvideo,WildScrape,515,515,0.7662569516448299,0.6686542484470339,0.7995536823072469,0.011650485436893204,0.11650485436893204,0.9436893203883495,global_only,目标Global＋FC3,fc3
videofeedback,AnimateDiff,300,300,0.83655,0.8682514722356666,0.7923783352115622,0.013333333333333334,0.07333333333333333,0.4766666666666667,global_only,目标Global＋FC3,fc3
videofeedback,Fast-SVD,300,300,0.9079222222222223,0.9145147832539423,0.8960255706758862,0.05,0.24666666666666667,0.3233333333333333,global_only,目标Global＋FC3,fc3
videofeedback,LVDM,300,300,0.8870388888888888,0.9102722820221414,0.8459381721375058,0.01,0.07666666666666666,0.31666666666666665,global_only,目标Global＋FC3,fc3
videofeedback,LaVie-base,300,300,0.8382722222222223,0.8596154540942087,0.812342295550087,0.04,0.13,0.55,global_only,目标Global＋FC3,fc3
videofeedback,ModelScope,300,300,0.8068555555555557,0.8225383384313567,0.7804346732258853,0.013333333333333334,0.08666666666666667,0.56,global_only,目标Global＋FC3,fc3
videofeedback,Pika,300,300,0.8318666666666668,0.8424716881416563,0.8032050427167329,0.023333333333333334,0.10333333333333333,0.5166666666666667,global_only,目标Global＋FC3,fc3
videofeedback,SoRA-Clip,300,300,0.77015,0.7794369622776498,0.7617912253027919,0.023333333333333334,0.13333333333333333,0.68,global_only,目标Global＋FC3,fc3
videofeedback,Text2Video-Zero,300,300,0.8058444444444445,0.817438310127431,0.7751250754616685,0.023333333333333334,0.08666666666666667,0.64,global_only,目标Global＋FC3,fc3
videofeedback,VideoCrafter2,300,300,0.9400444444444445,0.9496989486675185,0.9301253457771415,0.08666666666666667,0.30666666666666664,0.25,global_only,目标Global＋FC3,fc3
videofeedback,ZeroScope-576w,300,300,0.7453333333333334,0.7964930947673619,0.6796783658958245,0.0033333333333333335,0.03,0.58,global_only,目标Global＋FC3,fc3
comgenvid,Sora,898,898,0.9043432324244424,0.9084042534577539,0.9029621621238269,0.06347438752783964,0.2906458797327394,0.39532293986636974,full,完整主线,fc3
comgenvid,VEO3,898,898,0.9291533772153908,0.934798752746819,0.9248188277212246,0.07906458797327394,0.32405345211581293,0.3151447661469933,full,完整主线,fc3
genvideo,Crafter,188,188,0.8904481665912177,0.8729081485214433,0.9019801245024064,0.19680851063829788,0.3776595744680851,0.4787234042553192,full,完整主线,fc3
genvideo,Gen2,1380,1380,0.9512744171392564,0.9583971899921848,0.9405649937685088,0.02681159420289855,0.32681159420289857,0.18768115942028984,full,完整主线,fc3
genvideo,Lavie,1400,1400,0.8849867346938776,0.8787121108990152,0.8818897289173506,0.02214285714285714,0.2592857142857143,0.4607142857142857,full,完整主线,fc3
genvideo,ModelScope,700,700,0.882980612244898,0.8799018030679797,0.8832271703257,0.09714285714285714,0.22857142857142856,0.5028571428571429,full,完整主线,fc3
genvideo,MorphStudio,700,700,0.881308163265306,0.8768780922094239,0.8820222571450623,0.08142857142857143,0.23285714285714285,0.49857142857142855,full,完整主线,fc3
genvideo,Show_1,700,700,0.8747102040816326,0.8511396067579132,0.882360744672692,0.09428571428571429,0.25142857142857145,0.6014285714285714,full,完整主线,fc3
genvideo,Sora,56,56,0.9496173469387755,0.953894213195792,0.9527311715638466,0.5892857142857143,0.5892857142857143,0.23214285714285715,full,完整主线,fc3
