dataset,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant,method,observation
comgenvid,0.91554884400375,0.9208685464247468,0.9105559288889749,0.021714922048997776,0.32293986636971045,0.3446547884187082,full,Uniform K1,uniform1
genvideo,0.8683914966547379,0.8588232722856597,0.8638299520126285,0.02921750939717381,0.1814798485204236,0.521776352395408,full,Uniform K1,uniform1
videofeedback,0.8369333333333333,0.8534063459300727,0.8090436770006422,0.025,0.10533333333333332,0.48900000000000005,full,Uniform K1,uniform1
Macro-3,0.8736245579972737,0.8776993882134931,0.8611431859674151,0.0253108104820572,0.20325101607448912,0.45181038027137205,full,Uniform K1,uniform1
comgenvid,0.9136009990029812,0.9184668974623187,0.9099453814647116,0.09521158129175947,0.2962138084632517,0.37750556792873047,full,Feature-change K1,fc1
genvideo,0.8866795818757724,0.8716777388876789,0.8928456065930157,0.14319692516004812,0.2953867435804333,0.48994967315712107,full,Feature-change K1,fc1
videofeedback,0.8348416666666667,0.8465320465570756,0.809016176652713,0.022333333333333337,0.11333333333333333,0.519,full,Feature-change K1,fc1
Macro-3,0.8783740825151402,0.8788922276356911,0.8706023882368134,0.08691394659504698,0.23497796179233943,0.46215174702861717,full,Feature-change K1,fc1
comgenvid,0.9199483137484437,0.9254336134706163,0.9159220610427035,0.044543429844097995,0.33351893095768376,0.34242761692650336,full,Uniform K3,uniform3
genvideo,0.8690608711590151,0.850686102327205,0.8758355049011157,0.14249688596328036,0.27337821448779254,0.5348331451011739,full,Uniform K3,uniform3
videofeedback,0.8346116666666668,0.8493583818896575,0.8049943141767117,0.034333333333333334,0.099,0.514,full,Uniform K3,uniform3
Macro-3,0.874540283858042,0.8751593658958262,0.865583960040177,0.07379121638023722,0.23529904848182545,0.4637535873425591,full,Uniform K3,uniform3
comgenvid,0.9167483048199165,0.9216015031022864,0.9138904949225257,0.07126948775055679,0.30734966592427615,0.35523385300668153,full,Feature-change K3,fc3
genvideo,0.8892450957598173,0.8735102031076163,0.8946116582081215,0.14722609146853374,0.3094510597454541,0.48070174937762034,full,Feature-change K3,fc3
videofeedback,0.8383911111111111,0.8522201963641811,0.8096269487959284,0.024333333333333335,0.10900000000000001,0.5056666666666667,full,Feature-change K3,fc3
Macro-3,0.8814615038969483,0.8824439675246946,0.8727097006421918,0.08094297085080795,0.24193357522324344,0.44720075635032286,full,Feature-change K3,fc3
