dataset,generator,n_real,n_fake,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant,method,observation
comgenvid,Sora,898,898,0.9040592556584541,0.9088656443785159,0.9004647386422144,0.0200445434298441,0.30734966592427615,0.39198218262806234,full,Uniform K1,uniform1
comgenvid,VEO3,898,898,0.9270384323490459,0.9328714484709776,0.9206471191357352,0.02338530066815145,0.33853006681514475,0.2973273942093541,full,Uniform K1,uniform1
genvideo,Crafter,188,188,0.8707559981892259,0.8576926137851282,0.8623710172536925,0.0,0.15425531914893617,0.5319148936170213,full,Uniform K1,uniform1
genvideo,Gen2,1380,1380,0.9357023209409787,0.9450346308845413,0.9230934876192719,0.06811594202898551,0.2463768115942029,0.2427536231884058,full,Uniform K1,uniform1
genvideo,Lavie,1400,1400,0.865404081632653,0.8660226095365946,0.8583048916916179,0.055,0.20142857142857143,0.48214285714285715,full,Uniform K1,uniform1
genvideo,ModelScope,700,700,0.862876530612245,0.8632456342159267,0.8579893313175768,0.011428571428571429,0.20285714285714285,0.5328571428571428,full,Uniform K1,uniform1
genvideo,MorphStudio,700,700,0.8570795918367347,0.8584498663203564,0.8512032276549734,0.01,0.19428571428571428,0.53,full,Uniform K1,uniform1
genvideo,Show_1,700,700,0.8526724489795918,0.8392672777958716,0.8518739326406883,0.01,0.19285714285714287,0.6142857142857143,full,Uniform K1,uniform1
genvideo,Sora,56,56,0.9161352040816326,0.9301061837342276,0.8912173604190916,0.07142857142857142,0.07142857142857142,0.3392857142857143,full,Uniform K1,uniform1
genvideo,WildScrape,515,515,0.7865057969648411,0.7107673620126311,0.8145863675041156,0.007766990291262136,0.1883495145631068,0.9009708737864077,full,Uniform K1,uniform1
videofeedback,AnimateDiff,300,300,0.8439,0.868120780190226,0.797383297288494,0.016666666666666666,0.04666666666666667,0.5533333333333333,full,Uniform K1,uniform1
videofeedback,Fast-SVD,300,300,0.8996166666666666,0.9165129549794171,0.8732035235833384,0.02,0.14,0.31333333333333335,full,Uniform K1,uniform1
videofeedback,LVDM,300,300,0.892988888888889,0.9057338968468788,0.8669678797886023,0.013333333333333334,0.10666666666666667,0.3333333333333333,full,Uniform K1,uniform1
videofeedback,LaVie-base,300,300,0.8250555555555554,0.8415018481807385,0.8005882056843963,0.016666666666666666,0.09333333333333334,0.5533333333333333,full,Uniform K1,uniform1
videofeedback,ModelScope,300,300,0.8199000000000001,0.8245283192515688,0.8083121187781941,0.04,0.14333333333333334,0.6066666666666667,full,Uniform K1,uniform1
videofeedback,Pika,300,300,0.8817111111111111,0.9043923577273452,0.8535206478992143,0.03333333333333333,0.13333333333333333,0.33666666666666667,full,Uniform K1,uniform1
videofeedback,SoRA-Clip,300,300,0.7604111111111111,0.7602849729235652,0.7546229972686238,0.043333333333333335,0.12,0.73,full,Uniform K1,uniform1
videofeedback,Text2Video-Zero,300,300,0.7191555555555555,0.7448045159252126,0.6833966500638355,0.02,0.03666666666666667,0.7166666666666667,full,Uniform K1,uniform1
videofeedback,VideoCrafter2,300,300,0.9045055555555556,0.9173784866583302,0.886314813884875,0.043333333333333335,0.18,0.2866666666666667,full,Uniform K1,uniform1
videofeedback,ZeroScope-576w,300,300,0.8220888888888889,0.8508053266174442,0.766126635766848,0.0033333333333333335,0.05333333333333334,0.46,full,Uniform K1,uniform1
comgenvid,Sora,898,898,0.9016876156368271,0.9054141854209637,0.8991279514030363,0.07683741648106904,0.27728285077951004,0.40757238307349664,full,Feature-change K1,fc1
comgenvid,VEO3,898,898,0.9255143823691352,0.9315196095036736,0.9207628115263868,0.11358574610244988,0.3151447661469933,0.34743875278396436,full,Feature-change K1,fc1
genvideo,Crafter,188,188,0.8879300588501585,0.8696575005132983,0.9016166676982723,0.22872340425531915,0.3882978723404255,0.48936170212765956,full,Feature-change K1,fc1
genvideo,Gen2,1380,1380,0.9494875026254989,0.9564648558958938,0.9391448526923017,0.04420289855072464,0.29057971014492756,0.20144927536231885,full,Feature-change K1,fc1
genvideo,Lavie,1400,1400,0.8848426020408162,0.8792107962620996,0.8815338814606049,0.032857142857142856,0.22857142857142856,0.4664285714285714,full,Feature-change K1,fc1
