dataset,variant,nominal_real_fpr,threshold,role,group,n,count,rate,ci95_low,ci95_high,threshold_n,reference_real_fpr
comgenvid,full,0.001,0.018875750750750753,real,all_real,898,1,0.0011135857461024498,0.00019660228203867728,0.006280654627765395,2000,0.001
comgenvid,full,0.001,0.018875750750750753,real,MSVD,898,1,0.0011135857461024498,0.00019660228203867728,0.006280654627765395,2000,0.001
comgenvid,full,0.001,0.018875750750750753,fake,Sora,1700,142,0.08352941176470588,0.07129737606011621,0.09763938582612305,2000,0.001
comgenvid,full,0.001,0.018875750750750753,fake,VEO3,1700,183,0.10764705882352942,0.09378864543899086,0.12327465989733909,2000,0.001
comgenvid,full,0.01,0.040774024024024025,real,all_real,898,3,0.0033407572383073497,0.0011367953648031576,0.009775830933796432,2000,0.01
comgenvid,full,0.01,0.040774024024024025,real,MSVD,898,3,0.0033407572383073497,0.0011367953648031576,0.009775830933796432,2000,0.01
comgenvid,full,0.01,0.040774024024024025,fake,Sora,1700,344,0.2023529411764706,0.18393593435096614,0.22211209038693938,2000,0.01
comgenvid,full,0.01,0.040774024024024025,fake,VEO3,1700,367,0.21588235294117647,0.19697655501251737,0.23606928678275607,2000,0.01
comgenvid,global_d2_target,0.001,0.012335835835835834,real,all_real,898,2,0.0022271714922048997,0.0006109833813997359,0.008083958222802095,2000,0.001
comgenvid,global_d2_target,0.001,0.012335835835835834,real,MSVD,898,2,0.0022271714922048997,0.0006109833813997359,0.008083958222802095,2000,0.001
comgenvid,global_d2_target,0.001,0.012335835835835834,fake,Sora,1700,113,0.06647058823529411,0.05557967508851512,0.07931636094278198,2000,0.001
comgenvid,global_d2_target,0.001,0.012335835835835834,fake,VEO3,1700,143,0.08411764705882353,0.07184253971674393,0.09826804030242439,2000,0.001
comgenvid,global_d2_target,0.01,0.03455467967967968,real,all_real,898,4,0.004454342984409799,0.0017335294583041335,0.011396781534693213,2000,0.01
comgenvid,global_d2_target,0.01,0.03455467967967968,real,MSVD,898,4,0.004454342984409799,0.0017335294583041335,0.011396781534693213,2000,0.01
comgenvid,global_d2_target,0.01,0.03455467967967968,fake,Sora,1700,338,0.1988235294117647,0.1805394251141686,0.21846569082616268,2000,0.01
comgenvid,global_d2_target,0.01,0.03455467967967968,fake,VEO3,1700,366,0.21529411764705883,0.19640890936671893,0.23546311429562547,2000,0.01
comgenvid,global_d2_target_only,0.001,0.0005005005005005005,real,all_real,898,0,0.0,4.336808689942018e-19,0.004259572215406312,2000,0.0
comgenvid,global_d2_target_only,0.001,0.0005005005005005005,real,MSVD,898,0,0.0,4.336808689942018e-19,0.004259572215406312,2000,0.0
comgenvid,global_d2_target_only,0.001,0.0005005005005005005,fake,Sora,1700,31,0.018235294117647058,0.012876078028386573,0.025766871102729173,2000,0.0
comgenvid,global_d2_target_only,0.001,0.0005005005005005005,fake,VEO3,1700,24,0.01411764705882353,0.009505208858064527,0.020921013342547937,2000,0.0
comgenvid,global_d2_target_only,0.01,0.012012012012012012,real,all_real,898,3,0.0033407572383073497,0.0011367953648031576,0.009775830933796432,2000,0.01
comgenvid,global_d2_target_only,0.01,0.012012012012012012,real,MSVD,898,3,0.0033407572383073497,0.0011367953648031576,0.009775830933796432,2000,0.01
comgenvid,global_d2_target_only,0.01,0.012012012012012012,fake,Sora,1700,294,0.17294117647058824,0.15570571819835063,0.19165139989310284,2000,0.01
comgenvid,global_d2_target_only,0.01,0.012012012012012012,fake,VEO3,1700,262,0.15411764705882353,0.13773564340736205,0.1720592944303621,2000,0.01
comgenvid,global_d2_target_raw,0.001,-1916.2113383256221,real,all_real,898,0,0.0,4.336808689942018e-19,0.004259572215406312,2000,0.001
comgenvid,global_d2_target_raw,0.001,-1916.2113383256221,real,MSVD,898,0,0.0,4.336808689942018e-19,0.004259572215406312,2000,0.001
comgenvid,global_d2_target_raw,0.001,-1916.2113383256221,fake,Sora,1700,121,0.0711764705882353,0.05989639925885265,0.08439018183587679,2000,0.001
comgenvid,global_d2_target_raw,0.001,-1916.2113383256221,fake,VEO3,1700,107,0.06294117647058824,0.05235307695398617,0.07550005027973669,2000,0.001
comgenvid,global_d2_target_raw,0.01,-1855.393045929569,real,all_real,898,3,0.0033407572383073497,0.0011367953648031576,0.009775830933796432,2000,0.01
comgenvid,global_d2_target_raw,0.01,-1855.393045929569,real,MSVD,898,3,0.0033407572383073497,0.0011367953648031576,0.009775830933796432,2000,0.01
comgenvid,global_d2_target_raw,0.01,-1855.393045929569,fake,Sora,1700,294,0.17294117647058824,0.15570571819835063,0.19165139989310284,2000,0.01
comgenvid,global_d2_target_raw,0.01,-1855.393045929569,fake,VEO3,1700,263,0.15470588235294117,0.13829592705012286,0.17267282892053035,2000,0.01
comgenvid,global_only,0.001,0.018583333333333334,real,all_real,898,1,0.0011135857461024498,0.00019660228203867728,0.006280654627765395,2000,0.001
comgenvid,global_only,0.001,0.018583333333333334,real,MSVD,898,1,0.0011135857461024498,0.00019660228203867728,0.006280654627765395,2000,0.001
comgenvid,global_only,0.001,0.018583333333333334,fake,Sora,1700,99,0.05823529411764706,0.048066952540852456,0.07039562962943806,2000,0.001
comgenvid,global_only,0.001,0.018583333333333334,fake,VEO3,1700,153,0.09,0.07730435292918689,0.10454440841927184,2000,0.001
comgenvid,global_only,0.01,0.041166666666666664,real,all_real,898,4,0.004454342984409799,0.0017335294583041335,0.011396781534693213,2000,0.01
comgenvid,global_only,0.01,0.041166666666666664,real,MSVD,898,4,0.004454342984409799,0.0017335294583041335,0.011396781534693213,2000,0.01
comgenvid,global_only,0.01,0.041166666666666664,fake,Sora,1700,282,0.16588235294117648,0.14895729382938436,0.18431400666692063,2000,0.01
