dataset,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant,method,observation
comgenvid,0.8675198783736192,0.8722070219355624,0.849658788659964,0.07126948775055679,0.10579064587973275,0.4832962138084632,global_source_local_source,Global源／Local源,fc3
genvideo,0.851651334587644,0.8291660471173519,0.8538027674170755,0.09156220022384712,0.20138495754004251,0.6082475962844116,global_source_local_source,Global源／Local源,fc3
videofeedback,0.8427138888888889,0.8505791677639694,0.8208693710604977,0.008333333333333335,0.15266666666666667,0.541,global_source_local_source,Global源／Local源,fc3
Macro-3,0.8539617006167174,0.8506507456056278,0.8414436423791791,0.057055007102579075,0.15328075669548064,0.5441812700309582,global_source_local_source,Global源／Local源,fc3
comgenvid,0.9090090078918259,0.913862929627811,0.9060223804804246,0.07683741648106904,0.31013363028953234,0.38028953229398665,global_source_local_target,Global源／Local目标,fc3
genvideo,0.8785989643225921,0.8586113181754641,0.8868838276093438,0.1411497857542737,0.3366189449226607,0.5337347505755489,global_source_local_target,Global源／Local目标,fc3
videofeedback,0.8406099999999999,0.8503983410758208,0.820622701263915,0.01633333333333333,0.14933333333333335,0.5143333333333333,global_source_local_target,Global源／Local目标,fc3
Macro-3,0.8760726574048059,0.8742908629596986,0.8711763031178945,0.0781068451895587,0.26536196951517543,0.47611920540095626,global_source_local_target,Global源／Local目标,fc3
comgenvid,0.9100264879638494,0.9148191584644558,0.9052783406695891,0.06514476614699331,0.272271714922049,0.3741648106904232,global_target_local_source,Global目标／Local源,fc3
genvideo,0.8860895986865087,0.8644524202460151,0.8922094742234892,0.12766380715233022,0.2578699093384963,0.525928150004512,global_target_local_source,Global目标／Local源,fc3
videofeedback,0.8461827777777777,0.8587678002095046,0.8192136871236493,0.018333333333333333,0.13066666666666665,0.49833333333333335,global_target_local_source,Global目标／Local源,fc3
Macro-3,0.8807662881427119,0.8793464596399918,0.8722338340055759,0.07038063554421896,0.22026943030907065,0.46614209800942286,global_target_local_source,Global目标／Local源,fc3
comgenvid,0.9167483048199165,0.9216015031022864,0.9138904949225257,0.07126948775055679,0.30734966592427615,0.35523385300668153,full,Global目标／Local目标,fc3
genvideo,0.8892450957598173,0.8735102031076163,0.8946116582081215,0.14722609146853374,0.3094510597454541,0.48070174937762034,full,Global目标／Local目标,fc3
videofeedback,0.8383911111111111,0.8522201963641811,0.8096269487959284,0.024333333333333335,0.10900000000000001,0.5056666666666667,full,Global目标／Local目标,fc3
Macro-3,0.8814615038969483,0.8824439675246946,0.8727097006421918,0.08094297085080795,0.24193357522324344,0.44720075635032286,full,Global目标／Local目标,fc3
