dataset,generator,n_real,n_fake,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant,method,observation
comgenvid,Sora,898,898,0.8430346327647185,0.8444402660855943,0.8234680583580357,0.053452115812917596,0.08574610244988864,0.5400890868596881,global_source_local_source,Global源／Local源,fc3
comgenvid,VEO3,898,898,0.89200512398252,0.8999737777855306,0.8758495189618923,0.08908685968819599,0.12583518930957685,0.4265033407572383,global_source_local_source,Global源／Local源,fc3
genvideo,Crafter,188,188,0.8181869624264373,0.7697114724192093,0.8437937775351523,0.14361702127659576,0.26595744680851063,0.7553191489361702,global_source_local_source,Global源／Local源,fc3
genvideo,Gen2,1380,1380,0.9265466813694603,0.9335461981263331,0.915742410058773,0.09202898550724638,0.23768115942028986,0.3094202898550725,global_source_local_source,Global源／Local源,fc3
genvideo,Lavie,1400,1400,0.8647977040816328,0.8453323273015174,0.8638274911845372,0.07,0.18357142857142858,0.595,global_source_local_source,Global源／Local源,fc3
genvideo,ModelScope,700,700,0.8390377551020409,0.838908975751017,0.8254980545211972,0.005714285714285714,0.12,0.6042857142857143,global_source_local_source,Global源／Local源,fc3
genvideo,MorphStudio,700,700,0.8514499999999999,0.833140910106278,0.8413426803148247,0.011428571428571429,0.12,0.6114285714285714,global_source_local_source,Global源／Local源,fc3
genvideo,Show_1,700,700,0.8503265306122448,0.8158151592392968,0.8505335056511801,0.007142857142857143,0.16285714285714287,0.6842857142857143,global_source_local_source,Global源／Local源,fc3
genvideo,Sora,56,56,0.8836096938775511,0.8858895638342033,0.8952665245429718,0.39285714285714285,0.39285714285714285,0.42857142857142855,global_source_local_source,Global源／Local源,fc3
genvideo,WildScrape,515,515,0.7792553492317844,0.7109837701609603,0.7944176955279678,0.009708737864077669,0.12815533980582525,0.8776699029126214,global_source_local_source,Global源／Local源,fc3
videofeedback,AnimateDiff,300,300,0.8523333333333333,0.8635393850432305,0.8230805350879278,0.01,0.11666666666666667,0.52,global_source_local_source,Global源／Local源,fc3
videofeedback,Fast-SVD,300,300,0.9020333333333332,0.9068152889599774,0.8897403704409121,0.006666666666666667,0.26666666666666666,0.43333333333333335,global_source_local_source,Global源／Local源,fc3
videofeedback,LVDM,300,300,0.8857222222222222,0.9010152323550258,0.8547258374041167,0.0,0.12666666666666668,0.42333333333333334,global_source_local_source,Global源／Local源,fc3
videofeedback,LaVie-base,300,300,0.8143833333333333,0.8214402935857662,0.7974454461563114,0.006666666666666667,0.13,0.6733333333333333,global_source_local_source,Global源／Local源,fc3
videofeedback,ModelScope,300,300,0.8308555555555557,0.8380169916272829,0.8152529080728863,0.006666666666666667,0.15666666666666668,0.5766666666666667,global_source_local_source,Global源／Local源,fc3
videofeedback,Pika,300,300,0.8779888888888889,0.9017412574368371,0.845754451900991,0.006666666666666667,0.14333333333333334,0.39,global_source_local_source,Global源／Local源,fc3
videofeedback,SoRA-Clip,300,300,0.8207666666666666,0.8304374976836542,0.8185703934615867,0.02666666666666667,0.18,0.6133333333333333,global_source_local_source,Global源／Local源,fc3
videofeedback,Text2Video-Zero,300,300,0.7366,0.725154500182791,0.7165373624890585,0.0033333333333333335,0.08333333333333333,0.7233333333333334,global_source_local_source,Global源／Local源,fc3
videofeedback,VideoCrafter2,300,300,0.8992111111111111,0.9018481219724838,0.8887675259474592,0.013333333333333334,0.26666666666666666,0.43333333333333335,global_source_local_source,Global源／Local源,fc3
videofeedback,ZeroScope-576w,300,300,0.8072444444444444,0.8157831087926447,0.7588188796437287,0.0033333333333333335,0.056666666666666664,0.6233333333333333,global_source_local_source,Global源／Local源,fc3
comgenvid,Sora,898,898,0.8923951270082985,0.897252584731718,0.8903329263882445,0.06904231625835189,0.2806236080178174,0.4443207126948775,global_source_local_target,Global源／Local目标,fc3
comgenvid,VEO3,898,898,0.9256228887753534,0.930473274523904,0.9217118345726047,0.08463251670378619,0.33964365256124723,0.31625835189309576,global_source_local_target,Global源／Local目标,fc3
genvideo,Crafter,188,188,0.863569488456315,0.8258334966862607,0.885283443971737,0.14893617021276595,0.34574468085106386,0.6382978723404256,global_source_local_target,Global源／Local目标,fc3
genvideo,Gen2,1380,1380,0.9488670972484772,0.9556394289985575,0.9412322811006362,0.07028985507246377,0.37681159420289856,0.2144927536231884,global_source_local_target,Global源／Local目标,fc3
genvideo,Lavie,1400,1400,0.8647438775510203,0.8582834644218958,0.865329220454343,0.05857142857142857,0.24928571428571428,0.5128571428571429,global_source_local_target,Global源／Local目标,fc3
genvideo,ModelScope,700,700,0.8767673469387756,0.8773783241647596,0.8781524978707681,0.06714285714285714,0.28,0.5042857142857143,global_source_local_target,Global源／Local目标,fc3
genvideo,MorphStudio,700,700,0.8736693877551021,0.8663567551173538,0.8755278615985965,0.05857142857142857,0.29428571428571426,0.5171428571428571,global_source_local_target,Global源／Local目标,fc3
genvideo,Show_1,700,700,0.8643693877551021,0.8364288313864289,0.8714996095450509,0.07,0.2814285714285714,0.5928571428571429,global_source_local_target,Global源／Local目标,fc3
genvideo,Sora,56,56,0.9362244897959184,0.9363987051657896,0.9435211399849883,0.6071428571428571,0.6071428571428571,0.39285714285714285,global_source_local_target,Global源／Local目标,fc3
genvideo,WildScrape,515,515,0.8005806390800265,0.7125715394626668,0.8345245663486303,0.04854368932038835,0.258252427184466,0.8970873786407767,global_source_local_target,Global源／Local目标,fc3
videofeedback,AnimateDiff,300,300,0.8500611111111112,0.8635053981727228,0.815389872571903,0.01,0.08666666666666667,0.52,global_source_local_target,Global源／Local目标,fc3
videofeedback,Fast-SVD,300,300,0.9093,0.9230761843863117,0.8875105868145501,0.02,0.2,0.3333333333333333,global_source_local_target,Global源／Local目标,fc3
videofeedback,LVDM,300,300,0.8940777777777775,0.9043114810939532,0.8677124651920384,0.0,0.17666666666666667,0.4066666666666667,global_source_local_target,Global源／Local目标,fc3
videofeedback,LaVie-base,300,300,0.8143666666666666,0.8253584887730618,0.7983131672080991,0.016666666666666666,0.12,0.6133333333333333,global_source_local_target,Global源／Local目标,fc3
videofeedback,ModelScope,300,300,0.8241833333333333,0.828807960659901,0.8174717299264445,0.016666666666666666,0.19,0.61,global_source_local_target,Global源／Local目标,fc3
videofeedback,Pika,300,300,0.8952666666666667,0.9146480636638684,0.867113525576904,0.013333333333333334,0.16666666666666666,0.3333333333333333,global_source_local_target,Global源／Local目标,fc3
videofeedback,SoRA-Clip,300,300,0.7979333333333332,0.8050157046662441,0.8005672880499186,0.04,0.2,0.63,global_source_local_target,Global源／Local目标,fc3
videofeedback,Text2Video-Zero,300,300,0.6983555555555555,0.7071547751680987,0.6763529910756713,0.013333333333333334,0.05,0.7366666666666667,global_source_local_target,Global源／Local目标,fc3
videofeedback,VideoCrafter2,300,300,0.8996777777777778,0.9056607523578544,0.8836705791718237,0.023333333333333334,0.23666666666666666,0.36,global_source_local_target,Global源／Local目标,fc3
videofeedback,ZeroScope-576w,300,300,0.8228777777777778,0.8264446018161917,0.7921248070517972,0.01,0.06666666666666667,0.6,global_source_local_target,Global源／Local目标,fc3
comgenvid,Sora,898,898,0.8943866845898583,0.8976333894931593,0.890596099519847,0.053452115812917596,0.24164810690423164,0.43318485523385303,global_target_local_source,Global目标／Local源,fc3
comgenvid,VEO3,898,898,0.9256662913378406,0.9320049274357524,0.9199605818193313,0.07683741648106904,0.3028953229398664,0.3151447661469933,global_target_local_source,Global目标／Local源,fc3
genvideo,Crafter,188,188,0.870246717971933,0.8262041720206975,0.89110494713046,0.20212765957446807,0.21808510638297873,0.7074468085106383,global_target_local_source,Global目标／Local源,fc3
genvideo,Gen2,1380,1380,0.9502194917034237,0.9571102524131546,0.9397226287084932,0.034057971014492754,0.3144927536231884,0.21159420289855072,global_target_local_source,Global目标／Local源,fc3
genvideo,Lavie,1400,1400,0.9011012755102041,0.8850637199151974,0.9002500634324555,0.027857142857142858,0.25214285714285717,0.4764285714285714,global_target_local_source,Global目标／Local源,fc3
genvideo,ModelScope,700,700,0.8764591836734694,0.8762041906383253,0.8747762542212539,0.11,0.22857142857142856,0.5171428571428571,global_target_local_source,Global目标／Local源,fc3
