dataset,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant,method,observation
comgenvid,0.9111766558697625,0.916624167031538,0.9080431275253379,0.06124721603563475,0.2978841870824054,0.37360801781737196,local_d1_target,Local归一化D1,fc3
genvideo,0.8851070706692911,0.8676872824784922,0.8916391150829278,0.1376691146470174,0.30081016008875194,0.493549662657605,local_d1_target,Local归一化D1,fc3
videofeedback,0.8331722222222222,0.8436328094360863,0.8057693457947999,0.018666666666666668,0.10600000000000001,0.5203333333333333,local_d1_target,Local归一化D1,fc3
Macro-3,0.8764853162537586,0.8759814196487055,0.8684838628010217,0.07252766578310627,0.2348981157237191,0.4624970046027701,local_d1_target,Local归一化D1,fc3
comgenvid,0.9167483048199165,0.9216015031022864,0.9138904949225257,0.07126948775055679,0.30734966592427615,0.35523385300668153,full,Local归一化D2,fc3
genvideo,0.8892450957598173,0.8735102031076163,0.8946116582081215,0.14722609146853374,0.3094510597454541,0.48070174937762034,full,Local归一化D2,fc3
videofeedback,0.8383911111111111,0.8522201963641811,0.8096269487959284,0.024333333333333335,0.10900000000000001,0.5056666666666667,full,Local归一化D2,fc3
Macro-3,0.8814615038969483,0.8824439675246946,0.8727097006421918,0.08094297085080795,0.24193357522324344,0.44720075635032286,full,Local归一化D2,fc3
comgenvid,0.6381199746033005,0.7228052495724446,0.5630590801888521,0.0011135857461024498,0.010579064587973275,0.6681514476614698,local_raw_d2_target,Local未归一化D2,fc3
genvideo,0.5981813822663573,0.6558361502203125,0.5577291622813807,0.007986322188449848,0.017403816360256143,0.783090564634465,local_raw_d2_target,Local未归一化D2,fc3
videofeedback,0.6650122222222222,0.7452110757664674,0.6218984819457267,0.011666666666666667,0.058666666666666666,0.5903333333333334,local_raw_d2_target,Local未归一化D2,fc3
Macro-3,0.6337711930306268,0.7079508251864081,0.5808955748053198,0.006922191533739655,0.028883182538298694,0.6805251152097561,local_raw_d2_target,Local未归一化D2,fc3
comgenvid,0.7181620502874491,0.750693095812671,0.6761780403231017,0.005011135857461025,0.04120267260579065,0.7010022271714922,local_d2_norm_target,Local D2幅度,fc3
genvideo,0.5577634550088876,0.5844459529691632,0.5377060177527835,0.004121897777908933,0.014665721122160908,0.8710676823718898,local_d2_norm_target,Local D2幅度,fc3
videofeedback,0.7350211111111111,0.7765282000248017,0.6787611549647775,0.010666666666666668,0.03133333333333334,0.6060000000000001,local_d2_norm_target,Local D2幅度,fc3
Macro-3,0.6703155388024826,0.7038890829355453,0.6308817376802209,0.006599900100678875,0.029067242353761635,0.7260233031811273,local_d2_norm_target,Local D2幅度,fc3
comgenvid,0.8805018948318708,0.885587739778176,0.8807968754786445,0.051781737193763916,0.2717149220489978,0.4760579064587973,global_d2_target,Global归一化D2,fc3
genvideo,0.8634371452811751,0.8449907611218704,0.8732383560909915,0.13462024442488527,0.2652046590373034,0.5785208149164123,global_d2_target,Global归一化D2,fc3
videofeedback,0.8218827777777777,0.8352047760776438,0.8023613237181729,0.04,0.135,0.5616666666666666,global_d2_target,Global归一化D2,fc3
Macro-3,0.8552739392969412,0.8552610923258968,0.8521321850959364,0.07546732720621639,0.22397319369543375,0.5387484626806254,global_d2_target,Global归一化D2,fc3
