dataset,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant,method,observation
comgenvid,0.8850600939479466,0.8865381707778336,0.8874003713152431,0.0757238307349666,0.3034521158129176,0.4782850779510022,local_d1_target_raw,Local D1（原始分数）,fc3
genvideo,0.8473202778374492,0.8327164518750171,0.8561311330244751,0.08777547249960761,0.25719258844291965,0.618376742737906,local_d1_target_raw,Local D1（原始分数）,fc3
videofeedback,0.7702811111111111,0.7657923247586381,0.7483235587670151,0.021,0.08399999999999999,0.6763333333333333,local_d1_target_raw,Local D1（原始分数）,fc3
Macro-3,0.8342204942988357,0.8283489824704963,0.8306183543689111,0.06149976774485807,0.21488156808527906,0.5909983846740805,local_d1_target_raw,Local D1（原始分数）,fc3
comgenvid,0.8850458331059865,0.8862941440918619,0.8870378076468832,0.0757238307349666,0.2978841870824053,0.47884187082405344,local_d1_target_only,Local D1（视频CDF后）,fc3
genvideo,0.8480563160668171,0.8343467126092633,0.8559841358564609,0.0833400593853485,0.24376510909232432,0.6150354569834184,local_d1_target_only,Local D1（视频CDF后）,fc3
videofeedback,0.7698338888888889,0.7666269034825084,0.747914585561021,0.016,0.06233333333333334,0.6743333333333333,local_d1_target_only,Local D1（视频CDF后）,fc3
Macro-3,0.8343120126872309,0.8290892533945445,0.8303121763547884,0.05835463004010503,0.20132754316935433,0.5894035537136016,local_d1_target_only,Local D1（视频CDF后）,fc3
comgenvid,0.8968426495900317,0.8974641837820792,0.8996348552119823,0.10133630289532294,0.31124721603563477,0.455456570155902,local_d2_target_raw,Local D2（原始分数）,fc3
genvideo,0.8585824625194327,0.843926999960371,0.8673751143203008,0.1023046464528529,0.29707940029159147,0.5796288565406853,local_d2_target_raw,Local D2（原始分数）,fc3
videofeedback,0.7809699999999999,0.7872492723305378,0.7588144369977725,0.03933333333333333,0.08666666666666667,0.6423333333333333,local_d2_target_raw,Local D2（原始分数）,fc3
Macro-3,0.8454650373698215,0.8428801520243293,0.841941468843352,0.08099142756050305,0.231664427664631,0.5591395866766402,local_d2_target_raw,Local D2（原始分数）,fc3
comgenvid,0.8968671410360067,0.8972737863265313,0.899514529970886,0.10022271714922049,0.30902004454342985,0.45657015590200445,local_d2_target_only,Local D2（视频CDF后）,fc3
genvideo,0.8595832581409615,0.8457562631101646,0.8675729393120463,0.09524489747040783,0.2933441870209729,0.5747389098059492,local_d2_target_only,Local D2（视频CDF后）,fc3
videofeedback,0.7808244444444444,0.7879565512542105,0.7584311754713536,0.016666666666666666,0.06033333333333333,0.6393333333333333,local_d2_target_only,Local D2（视频CDF后）,fc3
Macro-3,0.8457582812071376,0.8436622002303021,0.8418395482514286,0.07071142709543166,0.22089918829924537,0.5568807996804289,local_d2_target_only,Local D2（视频CDF后）,fc3
comgenvid,0.2657731112444879,0.36938037996483297,0.3674511466598539,0.0,0.0011135857461024498,0.9916481069042317,local_raw_d2_target_raw,未归一化D2（原始分数）,fc3
genvideo,0.22235923347088504,0.3563499424004951,0.3627034666660178,0.00017857142857142857,0.003470873786407767,0.9927778322177331,local_raw_d2_target_raw,未归一化D2（原始分数）,fc3
videofeedback,0.41620777777777784,0.5079227694733888,0.47812096889867506,0.006,0.01,0.8666666666666666,local_raw_d2_target_raw,未归一化D2（原始分数）,fc3
Macro-3,0.3014467074977169,0.4112176972795723,0.40275852740818224,0.0020595238095238097,0.004861486510836739,0.9503642019295437,local_raw_d2_target_raw,未归一化D2（原始分数）,fc3
comgenvid,0.2657898522328759,0.369532709598962,0.3678368892804742,0.0,0.0011135857461024498,0.9916481069042317,local_raw_d2_target_only,未归一化D2（视频CDF后）,fc3
genvideo,0.22080335335883305,0.35611640185233845,0.3618412908528341,0.00017857142857142857,0.0030244452149791956,0.9936468446601942,local_raw_d2_target_only,未归一化D2（视频CDF后）,fc3
videofeedback,0.4141744444444445,0.5071230754529451,0.4754273863210381,0.004333333333333333,0.010333333333333333,0.8666666666666666,local_raw_d2_target_only,未归一化D2（视频CDF后）,fc3
Macro-3,0.3002558833453845,0.4109240623014152,0.40170185548478216,0.001503968253968254,0.004823788098138326,0.9506538727436974,local_raw_d2_target_only,未归一化D2（视频CDF后）,fc3
comgenvid,0.34052162439670436,0.4028735138038137,0.39174247458405437,0.0,0.0005567928730512249,0.9866369710467706,local_d2_norm_target_raw,D2幅度（原始分数）,fc3
genvideo,0.16872500077803476,0.337339690568428,0.3399946490246222,0.00024271844660194174,0.0016461511789181691,0.9983760351966874,local_d2_norm_target_raw,D2幅度（原始分数）,fc3
videofeedback,0.5079522222222221,0.5241155984046738,0.496456243157153,0.002666666666666667,0.006,0.923,local_d2_norm_target_raw,D2幅度（原始分数）,fc3
Macro-3,0.3390662824656538,0.42144293425897184,0.4093977889219431,0.000969795037756203,0.0027343146839897982,0.9693376687478193,local_d2_norm_target_raw,D2幅度（原始分数）,fc3
comgenvid,0.3405473559158933,0.4029987206913564,0.3919440928908867,0.0,0.0005567928730512249,0.9866369710467706,local_d2_norm_target_only,D2幅度（视频CDF后）,fc3
