dataset,selector,n_measurements,n_videos,mean_seconds,median_seconds,p95_seconds,mean_unique_frames,peak_gpu_mib
comgenvid,fc1,12,6,0.4617779953405261,0.3347963932901621,1.228203248977661,23.0,1270.11669921875
comgenvid,fc3,12,6,0.5987348109483719,0.45414420031011105,1.5066502385772764,35.0,1270.11669921875
comgenvid,uniform1,12,6,0.2026060214266181,0.17036107648164034,0.4220194122754037,16.0,1270.11669921875
comgenvid,uniform3,12,6,0.5302119453748068,0.44000635854899883,1.1304731954820453,46.666666666666664,1270.11669921875
genvideo,fc1,36,18,0.29164490088199574,0.21246961504220963,0.9199208929203451,19.166666666666668,1270.24169921875
genvideo,fc3,36,18,0.3838755390089419,0.24392768926918507,1.223012217786163,24.833333333333332,1271.11669921875
genvideo,uniform1,36,18,0.16156292432505223,0.14520943723618984,0.3290945393964648,16.0,1270.24169921875
genvideo,uniform3,36,18,0.3174049768389927,0.22825956996530294,1.0570008815266192,28.944444444444443,1271.11669921875
videofeedback,fc1,48,24,0.16151297794810185,0.14942690543830395,0.24248864548280835,16.458333333333332,1270.24169921875
videofeedback,fc3,48,24,0.1936726007067288,0.162500006146729,0.2934674838557839,19.333333333333332,1270.24169921875
videofeedback,uniform1,48,24,0.1112788449972868,0.10621739737689495,0.1664267082698643,16.0,1270.24169921875
videofeedback,uniform3,48,24,0.14833826501853764,0.11268219072371721,0.24547515539452433,19.333333333333332,1270.24169921875
