dataset,video_id,selector,repeat,duration_seconds,total_seconds,coarse_decode_prepare_seconds,selection_seconds,coarse_forward_seconds,dense_decode_prepare_seconds,dense_forward_seconds,score_seconds,cdf_seconds,coarse_frames,dense_unique_frames,effective_k,observed_unique_frames,coarse_computed_frames,dense_computed_frames,peak_gpu_allocated_mib,peak_gpu_reserved_mib,rss_mib,process_peak_rss_mib,final_score
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/sakaya5_515406421%2Fmd.mp4,uniform1,0,5.0,0.16437838040292263,1.7195940017700195e-05,6.271712481975555e-05,0.0,0.07891253009438515,0.06464683450758457,0.019997766241431236,0.0007371287792921066,0,16,1,16,0,16,1270.11669921875,1382.0,1808.4453125,3117.203125,0.013375000000000001
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/ronron0319_846026845%2Fmd.mp4,uniform1,0,10.0,0.1325741410255432,2.271495759487152e-05,5.358085036277771e-05,0.0,0.053046490997076035,0.06174381263554096,0.016979573294520378,0.0007243193686008453,0,16,1,16,0,16,1270.11669921875,1382.0,1826.5234375,3117.203125,0.671625
comgenvid,comgenvid:datasets/comgenvid/real/MSVD/lw7pTwpx0K0_38_48.mp4,uniform1,0,10.01,0.46059285663068295,2.2932887077331543e-05,5.502253770828247e-05,0.0,0.3866564240306616,0.06103658676147461,0.012109067291021347,0.0007086955010890961,0,16,1,16,0,16,1270.11669921875,1382.0,1946.3359375,3117.203125,0.264625
comgenvid,comgenvid:datasets/comgenvid/real/MSVD/VxM96IYzw0Q_2_15.mp4,uniform1,0,13.013,0.12644513323903084,2.6220455765724182e-05,5.743652582168579e-05,0.0,0.04879036359488964,0.061610233038663864,0.015226833522319794,0.0007303487509489059,0,16,1,16,0,16,1270.11669921875,1382.0,1946.3359375,3117.203125,0.4465
comgenvid,comgenvid:datasets/comgenvid/fake/VEO3/d5e45073-c4e6-5614-90b6-162e5011ffed.mp4,uniform1,0,8.0,0.18298793770372868,2.121180295944214e-05,5.263090133666992e-05,0.0,0.10374248959124088,0.06107335165143013,0.017398525029420853,0.0006951093673706055,0,16,1,16,0,16,1270.11669921875,1382.0,1983.58203125,3117.203125,0.206875
comgenvid,comgenvid:datasets/comgenvid/fake/VEO3/86344334-97ae-5493-afc4-65be75e10b08.mp4,uniform1,0,8.0,0.19562912918627262,1.81589275598526e-05,4.749186336994171e-05,0.0,0.10601372830569744,0.0639499444514513,0.024879038333892822,0.0007157288491725922,0,16,1,16,0,16,1270.11669921875,1382.0,1903.6640625,3117.203125,0.397625
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/sakaya5_515406421%2Fmd.mp4,uniform1,1,5.0,0.14326027408242226,1.5733763575553894e-05,4.842132329940796e-05,0.0,0.06525028310716152,0.06171348877251148,0.01553436554968357,0.0006934236735105515,0,16,1,16,0,16,1270.11669921875,1382.0,1937.2265625,3117.203125,0.013375000000000001
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/ronron0319_846026845%2Fmd.mp4,uniform1,1,10.0,0.14543703198432922,2.1379441022872925e-05,5.058757960796356e-05,0.0,0.060529204085469246,0.061322927474975586,0.022782284766435623,0.000727066770195961,0,16,1,16,0,16,1270.11669921875,1382.0,1981.63671875,3117.203125,0.671625
comgenvid,comgenvid:datasets/comgenvid/real/MSVD/lw7pTwpx0K0_38_48.mp4,uniform1,1,10.01,0.3904593214392662,2.0928680896759033e-05,5.184859037399292e-05,0.0,0.304208941757679,0.06541127525269985,0.02005070075392723,0.0007118713110685349,0,16,1,16,0,16,1270.11669921875,1382.0,1971.59375,3117.203125,0.264625
comgenvid,comgenvid:datasets/comgenvid/real/MSVD/VxM96IYzw0Q_2_15.mp4,uniform1,1,13.013,0.12405328825116158,2.5000423192977905e-05,5.2986666560173035e-05,0.0,0.038383327424526215,0.06133788265287876,0.023554734885692596,0.000695839524269104,0,16,1,16,0,16,1270.11669921875,1382.0,1902.8125,3117.203125,0.4465
