dataset,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant,method,observation
comgenvid,0.9167483048199165,0.9216015031022864,0.9138904949225257,0.07126948775055679,0.30734966592427615,0.35523385300668153,full,完整主线,fc3
genvideo,0.8819817822756818,0.8709639520946786,0.881437983059014,0.11808347472662983,0.2676156173080018,0.4864377116883126,full,完整主线,fc3
videofeedback,0.8246856150463554,0.8386588091373463,0.7953522482724721,0.03806670205438813,0.06255110062260831,0.5464501755324404,full,完整主线,fc3
Average,0.8576024433872419,0.8599169316374855,0.8430885022361906,0.07574380197242092,0.17299641790335923,0.5037302936414493,full,完整主线,fc3
Macro-3,0.8744719007139845,0.8770747547781038,0.8635602420846706,0.07580655484385825,0.2125054612849621,0.46270724674247815,full,完整主线,fc3
comgenvid,0.8998089047177346,0.9087608146956674,0.8932569341924141,0.055122494432071276,0.2706013363028953,0.3986636971046771,global_only,去Local,fc3
genvideo,0.8725738938762412,0.862924166359822,0.8660426225912395,0.06907335028491111,0.18405359627647425,0.5186790462433154,global_only,去Local,fc3
videofeedback,0.8227058908500208,0.8435255078106337,0.7882444991318679,0.052008087036576445,0.0972172025362568,0.5290856247360024,global_only,去Local,fc3
Average,0.8510922411977438,0.8576323425611533,0.8312012862933812,0.059698584744156284,0.15004903753345034,0.5132199882060233,global_only,去Local,fc3
Macro-3,0.8650295631479988,0.871736829622041,0.8491813519718406,0.05873464391785294,0.18395737837187542,0.48214278936133165,global_only,去Local,fc3
comgenvid,0.8968671410360067,0.8972737863265313,0.899514529970886,0.10022271714922049,0.30902004454342985,0.45657015590200445,local_only,去Global,fc3
genvideo,0.8511022063453693,0.8401292823149354,0.8553890155819058,0.07648163226204055,0.2469729306300143,0.5825793523997571,local_only,去Global,fc3
videofeedback,0.7596983264336706,0.7739479937305628,0.7281585481506098,0.014444922549331064,0.019909476344160088,0.6532615691482079,local_only,去Global,fc3
Average,0.811366866795482,0.8134464489929831,0.7983766628442407,0.048876343693977746,0.14377276674664194,0.6054265694100811,local_only,去Global,fc3
Macro-3,0.8358892246050155,0.8371170207906765,0.8276873645678006,0.06371642398686403,0.1919674838392014,0.5641370258166565,local_only,去Global,fc3
comgenvid,0.9021870551237345,0.9058022230479972,0.9029460981370283,0.042316258351893093,0.33407572383073497,0.3975501113585746,without_gs,去Global空间,fc3
genvideo,0.8528491211011626,0.837615245350148,0.8549182552206919,0.1239080259498427,0.2195071390745078,0.5716617872915017,without_gs,去Global空间,fc3
videofeedback,0.8411843404779518,0.8484841654298306,0.82923090744965,0.09548044056260152,0.12613261322914457,0.5331216627053549,without_gs,去Global空间,fc3
Average,0.8515605681094158,0.8487427269272005,0.8468093361055271,0.10321728793003607,0.18481224277944078,0.5380894080604813,without_gs,去Global空间,fc3
Macro-3,0.8654068389009497,0.863967211275992,0.8623650869357901,0.08723490828811244,0.22657182537812914,0.5007778537851437,without_gs,去Global空间,fc3
comgenvid,0.9161791112147262,0.9234830576203101,0.9074339238909668,0.06124721603563474,0.2544543429844098,0.34743875278396436,without_gt,去Global时序,fc3
genvideo,0.8932038660173619,0.888257423002881,0.889630358928807,0.1048168715756032,0.2757804063039105,0.44222263008825824,without_gt,去Global时序,fc3
videofeedback,0.7929914548017691,0.8129274596874361,0.7505486830644922,0.025174575448482818,0.047254211467723774,0.5777890742219325,without_gt,去Global时序,fc3
Average,0.8472740384966319,0.8552931479057054,0.8246611717730181,0.06293841207654838,0.1646308293544733,0.49881667925616385,without_gt,去Global时序,fc3
Macro-3,0.8674581440112856,0.8748893134368757,0.8492043219614219,0.06374622101990692,0.19249632025201469,0.455816819031385,without_gt,去Global时序,fc3
