dataset,generator,n_real,n_fake,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant,method,observation
comgenvid,Sora,898,898,0.9043432324244424,0.9084042534577539,0.9029621621238269,0.06347438752783964,0.2906458797327394,0.39532293986636974,full,完整主线,fc3
comgenvid,VEO3,898,898,0.9291533772153908,0.934798752746819,0.9248188277212246,0.07906458797327394,0.32405345211581293,0.3151447661469933,full,完整主线,fc3
genvideo,Crafter,188,188,0.8904481665912177,0.8729081485214433,0.9019801245024064,0.19680851063829788,0.3776595744680851,0.4787234042553192,full,完整主线,fc3
genvideo,Gen2,1380,1380,0.9512744171392564,0.9583971899921848,0.9405649937685088,0.02681159420289855,0.32681159420289857,0.18768115942028984,full,完整主线,fc3
genvideo,HotShot,700,700,0.8238714285714286,0.8197320745801588,0.8130219374305849,0.0014285714285714286,0.11428571428571428,0.6385714285714286,full,完整主线,fc3
genvideo,Lavie,1400,1400,0.8849867346938776,0.8787121108990152,0.8818897289173506,0.02214285714285714,0.2592857142857143,0.4607142857142857,full,完整主线,fc3
genvideo,ModelScope,700,700,0.882980612244898,0.8799018030679797,0.8832271703257,0.09714285714285714,0.22857142857142856,0.5028571428571429,full,完整主线,fc3
genvideo,MoonValley,626,626,0.8819856281068501,0.9018258215056967,0.8444646274945821,0.001597444089456869,0.08626198083067092,0.3801916932907348,full,完整主线,fc3
genvideo,MorphStudio,700,700,0.881308163265306,0.8768780922094239,0.8820222571450623,0.08142857142857143,0.23285714285714285,0.49857142857142855,full,完整主线,fc3
genvideo,Show_1,700,700,0.8747102040816326,0.8511396067579132,0.882360744672692,0.09428571428571429,0.25142857142857145,0.6014285714285714,full,完整主线,fc3
genvideo,Sora,56,56,0.9496173469387755,0.953894213195792,0.9527311715638466,0.5892857142857143,0.5892857142857143,0.23214285714285715,full,完整主线,fc3
genvideo,WildScrape,515,515,0.7986351211235744,0.7162504602171778,0.8321170747694051,0.06990291262135923,0.20970873786407768,0.883495145631068,full,完整主线,fc3
videofeedback,AnimateDiff,218,218,0.8287391633700867,0.8476922849721796,0.7854606762505562,0.013761467889908258,0.03669724770642202,0.6009174311926605,full,完整主线,fc3
videofeedback,Fast-SVD,290,290,0.9090844233055886,0.9251992931846453,0.8836559445857277,0.06206896551724138,0.08275862068965517,0.30689655172413793,full,完整主线,fc3
videofeedback,Hotshot-XL,500,500,0.779772,0.8020084960004762,0.7341337027107138,0.008,0.03,0.632,full,完整主线,fc3
videofeedback,LVDM,276,276,0.8905495169082127,0.9025565907968083,0.8587995796852566,0.018115942028985508,0.028985507246376812,0.37681159420289856,full,完整主线,fc3
videofeedback,LaVie-base,258,258,0.803610059491617,0.8189265842979092,0.7741003781472425,0.023255813953488372,0.03875968992248062,0.6007751937984496,full,完整主线,fc3
videofeedback,ModelScope,246,246,0.7998297970784585,0.80169554834181,0.7754745278470686,0.024390243902439025,0.036585365853658534,0.6341463414634146,full,完整主线,fc3
videofeedback,Pika,132,132,0.8765495867768595,0.8968261361604816,0.8573177680039775,0.07575757575757576,0.12878787878787878,0.4696969696969697,full,完整主线,fc3
videofeedback,SoRA-Clip,290,290,0.7695719381688467,0.7675688427052826,0.7663372439157147,0.07241379310344828,0.09655172413793103,0.7275862068965517,full,完整主线,fc3
videofeedback,Text2Video-Zero,296,296,0.7081355003652301,0.7249321492630831,0.674185399743687,0.02027027027027027,0.02702702702702703,0.7601351351351351,full,完整主线,fc3
videofeedback,VideoCrafter2,232,232,0.9100029726516052,0.9194541377685765,0.8924540422856625,0.08620689655172414,0.16379310344827586,0.27155172413793105,full,完整主线,fc3
videofeedback,ZeroScope-576w,276,276,0.7956968073934048,0.8183868370195568,0.7469554678215853,0.014492753623188406,0.018115942028985508,0.6304347826086957,full,完整主线,fc3
comgenvid,Sora,898,898,0.8953285201958324,0.9046277636619601,0.8874454036000431,0.0400890868596882,0.25389755011135856,0.4053452115812918,global_only,去Local,fc3
