dataset,metric,delta,source_groups,generator_cells,ci95_low,ci95_high,contrast
comgenvid,auc,0.016939400102182,2487.0,2.0,0.0102331867473222,0.0242123702068481,full minus global_only
comgenvid,ap_real,0.012840688406619,2487.0,2.0,0.0066666433816089,0.0199320313927797,full minus global_only
genvideo,auc,0.0094078883994405,8365.0,10.0,0.0033296737591628,0.0162377301930005,full minus global_only
genvideo,ap_real,0.0080397857348565,8365.0,10.0,0.0017655858240869,0.0147709342221571,full minus global_only
videofeedback,auc,0.0019797241963347,3514.0,11.0,-0.0147402631061073,0.0173816438731097,full minus global_only
videofeedback,ap_real,-0.0048666986732874,3514.0,11.0,-0.0182834658564836,0.0082709414151634,full minus global_only
Macro-3,auc,0.0094423375659857,,,0.00345232911346,0.0156321894249681,full minus global_only
Macro-3,ap_real,0.0053379251560627,,,0.0001241983213932,0.0108045729760485,full minus global_only
Average,auc,0.0065102021894979,,,-0.0016594083913062,0.0142099495246216,full minus global_only
Average,ap_real,0.0022845890763322,,,-0.0047913108427648,0.0090306080466449,full minus global_only
comgenvid,auc,0.0198811637839098,2487.0,2.0,0.0135298546310665,0.026159323363293,full minus local_only
comgenvid,ap_real,0.0243277167757551,2487.0,2.0,0.0177990614675488,0.0320371698349751,full minus local_only
genvideo,auc,0.0308795759303123,8365.0,10.0,0.0250418380870209,0.0372164823196333,full minus local_only
genvideo,ap_real,0.030834669779743,8365.0,10.0,0.0247211401049256,0.0377647883830629,full minus local_only
videofeedback,auc,0.0649872886126848,3514.0,11.0,0.048048251740671,0.0828581909436086,full minus local_only
videofeedback,ap_real,0.0647108154067835,3514.0,11.0,0.0506892218011016,0.0804895829634503,full minus local_only
Macro-3,auc,0.038582676108969,,,0.0322630147286995,0.0450859045318111,full minus local_only
Macro-3,ap_real,0.0399577339874272,,,0.0339364307507368,0.0458729078990472,full minus local_only
Average,auc,0.0462355765917598,,,0.0375462098144389,0.0556811110300053,full minus local_only
Average,ap_real,0.0464704826445026,,,0.0388029964829139,0.0543317744388635,full minus local_only
comgenvid,auc,0.0145612496961821,2487.0,2.0,0.0107998024821162,0.0189761224242156,full minus without_gs
comgenvid,ap_real,0.0157992800542893,2487.0,2.0,0.0118836156141844,0.0209092767582854,full minus without_gs
genvideo,auc,0.029132661174519,8365.0,10.0,0.0247911083405637,0.03311585643181,full minus without_gs
genvideo,ap_real,0.0333487067445305,8365.0,10.0,0.028492289648805,0.0376950565321432,full minus without_gs
videofeedback,auc,-0.0164987254315963,3514.0,11.0,-0.0237336375131285,-0.0083101803762949,full minus without_gs
videofeedback,ap_real,-0.0098253562924843,3514.0,11.0,-0.0164841761356774,-0.0031825060538987,full minus without_gs
Macro-3,auc,0.0090650618130349,,,0.0059959415330442,0.012407924514281,full minus without_gs
Macro-3,ap_real,0.0131075435021118,,,0.0100039790949847,0.0163181748798412,full minus without_gs
Average,auc,0.0060418752778258,,,0.0020351529922717,0.0104393092101314,full minus without_gs
Average,ap_real,0.011174204710285,,,0.0072974779694825,0.0148899329253266,full minus without_gs
comgenvid,auc,0.0005691936051904,2487.0,2.0,-0.002910674520704,0.0039094037423731,full minus without_gt
comgenvid,ap_real,-0.0018815545180236,2487.0,2.0,-0.0053026344572997,0.0008988925665425,full minus without_gt
genvideo,auc,-0.0112220837416803,8365.0,10.0,-0.0139252114058617,-0.0083094806597375,full minus without_gt
genvideo,ap_real,-0.0172934709082025,8365.0,10.0,-0.0211719116522388,-0.0130842115462464,full minus without_gt
videofeedback,auc,0.0316941602445863,3514.0,11.0,0.0231921410955066,0.0408551022248887,full minus without_gt
videofeedback,ap_real,0.0257313494499102,3514.0,11.0,0.0196464519686569,0.0322392462686916,full minus without_gt
Macro-3,auc,0.0070137567026988,,,0.0036670813738291,0.0103147215246737,full minus without_gt
Macro-3,ap_real,0.002185441341228,,,-0.000674502100586,0.0048799551883582,full minus without_gt
Average,auc,0.0103284048906098,,,0.0060345400266598,0.0149451959262926,full minus without_gt
Average,ap_real,0.00462378373178,,,0.0010457604325574,0.0081966616090737,full minus without_gt
comgenvid,auc,0.0537339224507815,2487.0,2.0,0.0411957430782938,0.0676227093579213,full minus official_global
comgenvid,ap_real,0.0493068689467872,2487.0,2.0,0.0360754253114936,0.0642201379882077,full minus official_global
genvideo,auc,0.0567458562732112,8365.0,10.0,0.0441471847981453,0.0703032851201493,full minus official_global
genvideo,ap_real,0.0577631603026831,8365.0,10.0,0.0433448953090298,0.0722301413234264,full minus official_global
videofeedback,auc,-0.0176322105523235,3514.0,11.0,-0.03832123718198,0.0032959770912464,full minus official_global
videofeedback,ap_real,-0.0154403371852364,3514.0,11.0,-0.0319994385495373,0.0024075033118104,full minus official_global
Macro-3,auc,0.0309491893905563,,,0.0214021734455374,0.0401075149589532,full minus official_global
Macro-3,ap_real,0.0305432306880779,,,0.0218507944288461,0.0390457669666573,full minus official_global
Average,auc,0.0209118300677441,,,0.009662750895908,0.0324653552228674,full minus official_global
Average,ap_real,0.0220174622557741,,,0.011324136612212,0.0324236614073704,full minus official_global
comgenvid,auc,0.0055716489501541,2487.0,2.0,0.0044368782736729,0.0068057570305017,full minus local_d1_target
comgenvid,ap_real,0.0049773360707483,2487.0,2.0,0.0038068910529934,0.0063471763148546,full minus local_d1_target
genvideo,auc,0.0040571786836934,8365.0,10.0,0.0024456230639965,0.0056231974178806,full minus local_d1_target
genvideo,ap_real,0.0059566096671349,8365.0,10.0,0.0044447613668286,0.0073236065198234,full minus local_d1_target
videofeedback,auc,0.007428148655573,3514.0,11.0,0.0041568048380165,0.010525212800134,full minus local_d1_target
videofeedback,ap_real,0.0107309338808559,3514.0,11.0,0.007374190072292,0.0142783108744803,full minus local_d1_target
Macro-3,auc,0.0056856587631402,,,0.0044719067495289,0.0069054118882859,full minus local_d1_target
Macro-3,ap_real,0.0072216265395797,,,0.0059824309422432,0.0085981785156015,full minus local_d1_target
Average,auc,0.0058010747803715,,,0.0041132079998843,0.0074169829325484,full minus local_d1_target
Average,ap_real,0.0081548278914026,,,0.0063955020942254,0.0099965539243943,full minus local_d1_target
comgenvid,auc,0.2786283302166161,2487.0,2.0,0.2490753357945879,0.3097811133866035,full minus local_raw_d2_target
comgenvid,ap_real,0.1987962535298418,2487.0,2.0,0.1711477093725387,0.2331162731477893,full minus local_raw_d2_target
genvideo,auc,0.2710140299955023,8365.0,10.0,0.2482773132214914,0.294329422930505,full minus local_raw_d2_target
genvideo,ap_real,0.2008607362343989,8365.0,10.0,0.1773051981989756,0.2224318418748593,full minus local_raw_d2_target
videofeedback,auc,0.1373617286487299,3514.0,11.0,0.0973698040644212,0.1739471396246838,full minus local_raw_d2_target
videofeedback,ap_real,0.082395621078339,3514.0,11.0,0.0489278464125769,0.1128445576055871,full minus local_raw_d2_target
Macro-3,auc,0.2290013629536161,,,0.2113834729646251,0.2476882114209325,full minus local_raw_d2_target
Macro-3,ap_real,0.1606842036141933,,,0.1447382830303029,0.1768014035427021,full minus local_raw_d2_target
Average,auc,0.207755477196708,,,0.1856615147574297,0.2286498429383189,full minus local_raw_d2_target
Average,ap_real,0.1440239870115393,,,0.1252997434714415,0.1616594083171707,full minus local_raw_d2_target
comgenvid,auc,0.1985862545324676,2487.0,2.0,0.1764682229958198,0.2225805729585999,full minus local_d2_norm_target
comgenvid,ap_real,0.1709084072896154,2487.0,2.0,0.147584250449302,0.1981668840964379,full minus local_d2_norm_target
genvideo,auc,0.3093355829299045,8365.0,10.0,0.2899224851528257,0.3295642992066077,full minus local_d2_norm_target
genvideo,ap_real,0.268625410240224,8365.0,10.0,0.2452355934509552,0.2915061935120822,full minus local_d2_norm_target
videofeedback,auc,0.1198487422844285,3514.0,11.0,0.0850682170336646,0.1521766233182435,full minus local_d2_norm_target
videofeedback,ap_real,0.0829802605168868,3514.0,11.0,0.0519035330714994,0.1115701018801723,full minus local_d2_norm_target
Macro-3,auc,0.2092568599156002,,,0.1946837381881279,0.2248079217520738,full minus local_d2_norm_target
Macro-3,ap_real,0.1741713593489088,,,0.1593009083002358,0.1891961343129851,full minus local_d2_norm_target
Average,auc,0.2090810653692476,,,0.1903404368144928,0.2265841953290481,full minus local_d2_norm_target
Average,ap_real,0.1713414688116185,,,0.1540426159428193,0.1875916337687457,full minus local_d2_norm_target
comgenvid,auc,0.0362464099880457,2487.0,2.0,0.0289133330260578,0.0447424778903445,full minus global_d2_target
comgenvid,ap_real,0.0360137633241104,2487.0,2.0,0.0266735939876636,0.0469402188147421,full minus global_d2_target
genvideo,auc,0.0284710336135753,8365.0,10.0,0.0222355388359204,0.0350328477989819,full minus global_d2_target
genvideo,ap_real,0.029852058867024,8365.0,10.0,0.0225901120464234,0.0373383519859946,full minus global_d2_target
videofeedback,auc,0.0153451134918731,3514.0,11.0,-0.0009233003290409,0.0319814077589939,full minus global_d2_target
videofeedback,ap_real,0.0141555679753156,3514.0,11.0,-0.0005918984361317,0.0295882965649316,full minus global_d2_target
Macro-3,auc,0.0266875190311647,,,0.0203626526593822,0.0332494969027078,full minus global_d2_target
Macro-3,ap_real,0.02667379672215,,,0.0203254982674995,0.0334241146726974,full minus global_d2_target
Average,auc,0.022869539327063,,,0.0143991502558803,0.0314225977769097,full minus global_d2_target
Average,ap_real,0.0228808418716057,,,0.0150982273368338,0.0306076382939151,full minus global_d2_target
comgenvid,auc,0.0492284264462973,2487.0,2.0,0.0369372549440221,0.0606235533559362,full minus global_source_local_source
comgenvid,ap_real,0.049394481166724,2487.0,2.0,0.0359179088187259,0.0630603511194776,full minus global_source_local_source
genvideo,auc,0.0408512934954736,8365.0,10.0,0.0304716318599207,0.0508284259369115,full minus global_source_local_source
genvideo,ap_real,0.0474891936571069,8365.0,10.0,0.035578794449685,0.0578914335179584,full minus global_source_local_source
videofeedback,auc,-0.0028793510688409,3514.0,11.0,-0.017101012950873,0.0131500366950566,full minus global_source_local_source
videofeedback,ap_real,0.0030253598913763,3514.0,11.0,-0.0092442117046462,0.0161299679974519,full minus global_source_local_source
Macro-3,auc,0.02906678962431,,,0.0214725031613653,0.0361441029053666,full minus global_source_local_source
Macro-3,ap_real,0.0333030115717357,,,0.0260531010513965,0.0401447723699055,full minus global_source_local_source
Average,auc,0.0206650837430469,,,0.0124331626076219,0.0289171324145156,full minus global_source_local_source
