dataset,metric,delta,source_groups,generator_cells
comgenvid,auc,0.003147305816935453,2487.0,2.0
comgenvid,ap_real,0.003134605639967758,2487.0,2.0
genvideo,auc,0.0020524111072358965,8365.0,10.0
genvideo,ap_real,0.0014659713759499371,8365.0,10.0
videofeedback,auc,0.004262424683413929,3514.0,11.0
videofeedback,ap_real,0.005946507109625743,3514.0,11.0
Macro-3,auc,0.003154047202528426,,
Macro-3,ap_real,0.0035156947085144795,,
Average,auc,0.0032045823575557863,,
Average,ap_real,0.003753934923709481,,
