dataset,metric,ci95_low,ci95_high
comgenvid,auc,0.0011015036530181391,0.0051410252005917615
comgenvid,ap_real,0.0011080837236688678,0.00534388075923214
genvideo,auc,-0.0005511121228875271,0.005147654958543192
genvideo,ap_real,-0.0012664305162349415,0.004861109020385966
videofeedback,auc,-0.0002334968521678819,0.008966907353149573
videofeedback,ap_real,0.0021979133099051503,0.010294472577029073
Macro-3,auc,0.001310295530287266,0.005035730774136926
Macro-3,ap_real,0.0019230855106015464,0.0054316443774674785
Average,auc,0.0007866401236081273,0.005705582527273055
Average,ap_real,0.0015849996794643803,0.006238318446508976
