dataset,metric,ci95_low,ci95_high
comgenvid,auc,0.02891333302605786,0.04474247789034455
comgenvid,ap_real,0.026673593987663603,0.04694021881474214
genvideo,auc,0.022235538835920443,0.03503284779898195
genvideo,ap_real,0.022590112046423458,0.03733835198599464
videofeedback,auc,-0.000923300329040997,0.0319814077589939
videofeedback,ap_real,-0.0005918984361317549,0.029588296564931647
Macro-3,auc,0.0203626526593822,0.03324949690270782
Macro-3,ap_real,0.020325498267499506,0.03342411467269749
Average,auc,0.014399150255880374,0.031422597776909714
Average,ap_real,0.015098227336833827,0.0306076382939151
