dataset,metric,ci95_low,ci95_high
comgenvid,auc,0.01023318674732224,0.02421237020684814
comgenvid,ap_real,0.006666643381608908,0.019932031392779718
genvideo,auc,0.003329673759162892,0.016237730193000597
genvideo,ap_real,0.0017655858240869127,0.014770934222157197
videofeedback,auc,-0.014740263106107366,0.01738164387310972
videofeedback,ap_real,-0.018283465856483615,0.008270941415163402
Macro-3,auc,0.0034523291134600314,0.01563218942496816
Macro-3,ap_real,0.00012419832139326634,0.010804572976048516
Average,auc,-0.0016594083913062546,0.014209949524621669
Average,ap_real,-0.004791310842764838,0.009030608046644937
