dataset,metric,ci95_low,ci95_high
comgenvid,auc,0.03693725494402215,0.0606235533559362
comgenvid,ap_real,0.03591790881872596,0.06306035111947764
genvideo,auc,0.03047163185992075,0.05082842593691153
genvideo,ap_real,0.03557879444968505,0.05789143351795846
videofeedback,auc,-0.017101012950873042,0.01315003669505665
videofeedback,ap_real,-0.009244211704646264,0.01612996799745194
Macro-3,auc,0.021472503161365352,0.036144102905366675
Macro-3,ap_real,0.026053101051396587,0.04014477236990553
Average,auc,0.01243316260762193,0.028917132414515614
Average,ap_real,0.01823524682242537,0.03408299443147105
