dataset,metric,ci95_low,ci95_high
comgenvid,auc,0.002717324020436293,0.012299109759712983
comgenvid,ap_real,0.0031401946495592014,0.012165162090933528
genvideo,auc,0.007507179377146272,0.01659924482135665
genvideo,ap_real,0.010737353347095876,0.021787656546748076
videofeedback,auc,-0.00874830690929708,0.00843936791420532
videofeedback,ap_real,-0.0034547685507521453,0.011028906982789653
Macro-3,auc,0.0028489586469972045,0.009946469078005516
Macro-3,ap_real,0.0057194673488417495,0.01260014272773258
Average,auc,0.0015535395107578735,0.010313617667088671
Average,ap_real,0.005367384420220068,0.01369568131776936
