dataset,metric,delta,source_groups,generator_cells
comgenvid,auc,0.006721816856067153,2487.0,2.0
comgenvid,ap_real,0.006782344637830617,2487.0,2.0
genvideo,auc,0.002684475355027649,8365.0,10.0
genvideo,ap_real,0.008766884698693089,8365.0,10.0
videofeedback,auc,-0.007455167415612373,3514.0,11.0
videofeedback,ap_real,-0.0066813241719957195,3514.0,11.0
Macro-3,auc,0.0006503749318274762,,
Macro-3,ap_real,0.002955968388175996,,
Average,auc,-0.0018138458395358828,,
Average,ap_real,0.001206042190027792,,
