dataset,metric,ci95_low,ci95_high
comgenvid,auc,0.001286407502991148,0.011880317620123157
comgenvid,ap_real,0.0002085858372294916,0.012952268124121506
genvideo,auc,-0.0017903611590681643,0.007244000120829354
genvideo,ap_real,0.0031446649847144095,0.0143341788328586
videofeedback,auc,-0.017328163421048832,0.0033699692309506566
videofeedback,ap_real,-0.01488336459853371,0.001639921394566867
Macro-3,auc,-0.003554821970775966,0.004807109379068802
Macro-3,ap_real,-0.0009724000453893691,0.006685278902719732
Average,auc,-0.00720441063776945,0.003652796045019203
Average,ap_real,-0.0033540472973211154,0.005849111258447533
