dataset,metric,ci95_low,ci95_high
comgenvid,auc,0.004436878273672992,0.00680575703050173
comgenvid,ap_real,0.0038068910529934106,0.00634717631485463
genvideo,auc,0.0024456230639965607,0.005623197417880613
genvideo,ap_real,0.004444761366828696,0.007323606519823446
videofeedback,auc,0.004156804838016594,0.010525212800134064
videofeedback,ap_real,0.007374190072292022,0.01427831087448031
Macro-3,auc,0.004471906749528982,0.0069054118882859875
Macro-3,ap_real,0.005982430942243293,0.008598178515601565
Average,auc,0.004113207999884361,0.00741698293254847
Average,ap_real,0.006395502094225476,0.00999655392439435
