dataset,metric,ci95_low,ci95_high
comgenvid,auc,0.17646822299581982,0.22258057295859998
comgenvid,ap_real,0.14758425044930207,0.19816688409643798
genvideo,auc,0.2899224851528257,0.3295642992066077
genvideo,ap_real,0.2452355934509552,0.2915061935120822
videofeedback,auc,0.08506821703366461,0.15217662331824355
videofeedback,ap_real,0.05190353307149949,0.11157010188017236
Macro-3,auc,0.1946837381881279,0.2248079217520738
Macro-3,ap_real,0.1593009083002358,0.18919613431298515
Average,auc,0.1903404368144928,0.2265841953290481
Average,ap_real,0.15404261594281932,0.18759163376874577
