dataset,metric,delta,source_groups,generator_cells
comgenvid,auc,7.44043928352367e-06,2487.0,2.0
comgenvid,ap_real,5.343558720893871e-06,2487.0,2.0
genvideo,auc,-6.41359326262303e-05,8365.0,10.0
genvideo,ap_real,-2.6100175111531955e-05,8365.0,10.0
videofeedback,auc,-6.077457334728965e-06,3514.0,11.0
videofeedback,ap_real,-3.2353519153255856e-06,3514.0,11.0
Macro-3,auc,-2.092431689247853e-05,,
Macro-3,ap_real,-7.997322768654557e-06,,
Average,auc,-3.0144803407707574e-05,,
Average,ap_real,-1.2430587162700576e-05,,
