dataset,metric,ci95_low,ci95_high
comgenvid,auc,-9.570164810368542e-06,2.5419045694267948e-05
comgenvid,ap_real,-1.0757201213258681e-05,2.166042133401186e-05
genvideo,auc,-0.00032709317435891227,1.2090958023882038e-05
genvideo,ap_real,-0.00016226327234356575,2.1224314416116988e-05
videofeedback,auc,-4.2443673102522294e-05,2.885027411764723e-05
videofeedback,ap_real,-3.379922816842255e-05,2.9106487925250156e-05
Macro-3,auc,-0.00010970977699652211,1.2334718477503951e-05
Macro-3,ap_real,-5.4044046466261665e-05,1.3897229853059011e-05
Average,auc,-0.00014591220109139364,1.2037837809912875e-05
Average,ap_real,-7.18381882713728e-05,1.5294842941888267e-05
