dataset,metric,delta,source_groups,generator_cells
comgenvid,auc,-0.012100634421456202,2487.0,2.0
comgenvid,ap_real,-0.011289970010473105,2487.0,2.0
genvideo,auc,-0.005934612404751327,8365.0,10.0
genvideo,ap_real,-0.008042273684235823,8365.0,10.0
videofeedback,auc,0.06468069659148466,3514.0,11.0
videofeedback,ap_real,0.059680992836286716,3514.0,11.0
Macro-3,auc,0.015548483255092378,,
Macro-3,ap_real,0.013449583047192596,,
Average,auc,0.027301750852865462,,
Average,ap_real,0.024064706275471713,,
