dataset,metric,ci95_low,ci95_high
comgenvid,auc,-0.019264422661045923,-0.00510954251628068
comgenvid,ap_real,-0.019674075519543664,-0.004241204275096427
genvideo,auc,-0.01138463039280086,-0.00016803653980070068
genvideo,ap_real,-0.013382191463608351,-0.001665545145012972
videofeedback,auc,0.05048391149276888,0.07798607565546908
videofeedback,ap_real,0.046957453658247085,0.07306724373463609
Macro-3,auc,0.009543646564463304,0.02113166531839015
Macro-3,ap_real,0.008092158208317024,0.018893405673893315
Average,auc,0.019874029475534398,0.03453014886723151
Average,ap_real,0.01760198242133314,0.031065097309359767
