dataset,metric,delta,source_groups,generator_cells
comgenvid,auc,0.0067236769658881035,2487.0,2.0
comgenvid,ap_real,0.00678391331263728,2487.0,2.0
genvideo,auc,0.0026803828184862265,8365.0,10.0
genvideo,ap_real,0.008756433447066137,8365.0,10.0
videofeedback,auc,-0.007465696930969828,3514.0,11.0
videofeedback,ap_real,-0.0066927050140989505,3514.0,11.0
Macro-3,auc,0.0006461209511348341,,
Macro-3,ap_real,0.002949213915201489,,
Average,auc,-0.0018204993097404188,,
Average,ap_real,0.0011961915626455422,,
