dataset,metric,ci95_low,ci95_high
comgenvid,auc,0.0012859395723620578,0.011863055044705167
comgenvid,ap_real,0.00021473200403178156,0.012941754803273238
genvideo,auc,-0.0017878056186898343,0.007236702533444928
genvideo,ap_real,0.0031270457826301362,0.014331627843584575
videofeedback,auc,-0.017348657280624447,0.003364932467631437
videofeedback,ap_real,-0.014911319828127566,0.0016303508325190617
Macro-3,auc,-0.0035567541989144367,0.004802514340073436
Macro-3,ap_real,-0.0009845212514148574,0.006670374101239239
Average,auc,-0.007215712497463423,0.003643066315358634
Average,ap_real,-0.0033598960001418932,0.005834081456021329
