dataset,metric,ci95_low,ci95_high
comgenvid,auc,0.013529854631066547,0.026159323363293064
comgenvid,ap_real,0.017799061467548886,0.03203716983497519
genvideo,auc,0.025041838087020943,0.03721648231963333
genvideo,ap_real,0.024721140104925644,0.037764788383062964
videofeedback,auc,0.04804825174067102,0.08285819094360863
videofeedback,ap_real,0.05068922180110162,0.08048958296345032
Macro-3,auc,0.0322630147286995,0.04508590453181111
Macro-3,ap_real,0.03393643075073683,0.04587290789904726
Average,auc,0.03754620981443897,0.05568111103000539
Average,ap_real,0.03880299648291391,0.05433177443886355
