dataset,metric,ci95_low,ci95_high
comgenvid,auc,0.2490753357945879,0.3097811133866035
comgenvid,ap_real,0.17114770937253873,0.23311627314778935
genvideo,auc,0.24827731322149146,0.29432942293050507
genvideo,ap_real,0.17730519819897567,0.22243184187485932
videofeedback,auc,0.09736980406442124,0.17394713962468383
videofeedback,ap_real,0.04892784641257695,0.11284455760558716
Macro-3,auc,0.2113834729646251,0.24768821142093253
Macro-3,ap_real,0.14473828303030298,0.17680140354270216
Average,auc,0.18566151475742973,0.22864984293831894
Average,ap_real,0.12529974347144154,0.16165940831717077
