dataset,metric,ci95_low,ci95_high
comgenvid,auc,0.0478237745796646,0.07580670704653185
comgenvid,ap_real,0.04603502372073855,0.0776392648504785
genvideo,auc,0.06851712866186718,0.09983508080527925
genvideo,ap_real,0.057922383458626915,0.08985368659129063
videofeedback,auc,-0.03917446704581094,0.00210234354686577
videofeedback,ap_real,-0.03378939773416801,0.0009301831548917367
Macro-3,auc,0.032695881086982494,0.05181786300259508
Macro-3,ap_real,0.030183527451320854,0.048465386120727795
Average,auc,0.021503350612443833,0.04480691798853838
Average,ap_real,0.018490971214011248,0.04003639768908118
