dataset,metric,ci95_low,ci95_high
comgenvid,auc,0.04119574307829387,0.0676227093579213
comgenvid,ap_real,0.036075425311493686,0.06422013798820779
genvideo,auc,0.04414718479814537,0.07030328512014931
genvideo,ap_real,0.04334489530902988,0.0722301413234264
videofeedback,auc,-0.03832123718198003,0.0032959770912464785
videofeedback,ap_real,-0.03199943854953739,0.002407503311810406
Macro-3,auc,0.02140217344553744,0.040107514958953275
Macro-3,ap_real,0.021850794428846125,0.03904576696665737
Average,auc,0.009662750895908083,0.03246535522286741
Average,ap_real,0.011324136612212042,0.03242366140737043
