dataset,metric,delta,source_groups,generator_cells
comgenvid,auc,0.0011994608161665643,2487.0,2.0
comgenvid,ap_real,0.0007329566775396978,2487.0,2.0
genvideo,auc,0.016682879284063534,8365.0,10.0
genvideo,ap_real,0.011749544657565248,8365.0,10.0
videofeedback,auc,0.0016813354559839435,3514.0,11.0
videofeedback,ap_real,-0.0006656650124759315,3514.0,11.0
Macro-3,auc,0.006521225185404681,,
Macro-3,ap_real,0.003938945440876338,,
Average,auc,0.008161843673425732,,
Average,ap_real,0.004853871512760723,,
