dataset,metric,ci95_low,ci95_high
comgenvid,auc,-0.003990356837016752,0.006693573284175035
comgenvid,ap_real,-0.0042868211578692954,0.005789444920109214
genvideo,auc,0.008947346478439236,0.025800427974193327
genvideo,ap_real,0.005452577565129131,0.018756191645810716
videofeedback,auc,-0.003171209454371915,0.006522192675905571
videofeedback,ap_real,-0.004184886139013094,0.003065483956541382
Macro-3,auc,0.002933938834747528,0.010427979750797647
Macro-3,ap_real,0.0008653125370164619,0.007145746008658821
Average,auc,0.004015365714982909,0.012840519463074039
Average,ap_real,0.001439947710549534,0.008543600001074576
