dataset,metric,ci95_low,ci95_high
comgenvid,auc,0.010799802482116297,0.018976122424215678
comgenvid,ap_real,0.01188361561418445,0.020909276758285487
genvideo,auc,0.02479110834056373,0.033115856431810024
genvideo,ap_real,0.02849228964880508,0.03769505653214329
videofeedback,auc,-0.02373363751312851,-0.008310180376294999
videofeedback,ap_real,-0.016484176135677455,-0.0031825060538987976
Macro-3,auc,0.0059959415330442505,0.012407924514281042
Macro-3,ap_real,0.010003979094984785,0.016318174879841246
Average,auc,0.002035152992271705,0.010439309210131437
Average,ap_real,0.007297477969482503,0.014889932925326683
