dataset,metric,delta,source_groups,generator_cells
comgenvid,auc,0.0005691936051904767,2487.0,2.0
comgenvid,ap_real,-0.0018815545180236315,2487.0,2.0
genvideo,auc,-0.011222083741680312,8365.0,10.0
genvideo,ap_real,-0.017293470908202525,8365.0,10.0
videofeedback,auc,0.03169416024458631,3514.0,11.0
videofeedback,ap_real,0.02573134944991028,3514.0,11.0
Macro-3,auc,0.007013756702698825,,
Macro-3,ap_real,0.002185441341228041,,
Average,auc,0.010328404890609879,,
Average,ap_real,0.004623783731780025,,
