dataset,metric,ci95_low,ci95_high
comgenvid,auc,-0.002910674520704054,0.003909403742373164
comgenvid,ap_real,-0.0053026344572997585,0.000898892566542565
genvideo,auc,-0.01392521140586178,-0.008309480659737595
genvideo,ap_real,-0.021171911652238855,-0.013084211546246468
videofeedback,auc,0.023192141095506633,0.04085510222488872
videofeedback,ap_real,0.019646451968656917,0.0322392462686916
Macro-3,auc,0.003667081373829123,0.010314721524673755
Macro-3,ap_real,-0.0006745021005860571,0.004879955188358259
Average,auc,0.006034540026659817,0.014945195926292664
Average,ap_real,0.0010457604325574427,0.00819666160907372
